N	3gram	Propp_Russ_1	FransuaR
1	в большинстве случаев	2	6
2	в том что	15	6
3	как и в	1	4
4	в настоящее время	3	3
5	в связи с	4	3
6	с точки зрения	3	2
7	как мы видели	1	2
8	в данном случае	1	2
9	в то время	1	2
10	на две части	1	2
11	были связаны с	1	2
12	о том что	4	2
13	более широкой и	1	2
14	можно сказать что	1	2
15	как мы уже	1	2
16	мы видим что	1	2
17	а следовательно и	1	1
18	том что эти	1	1
19	еще далеко не	1	1
20	сказать что в	1	1
21	по отношению к	1	1
22	на самом деле	1	1
23	подобно тому как	1	1
24	в году под	1	1
25	том что это	1	1
26	но и другие	1	1
27	вместе с тем	6	1
28	в отличие от	1	1
29	на самом же	1	1
30	в этом отношении	1	1
31	может быть и	2	1
32	говорит о том	1	1
33	и в других	4	1
34	и могут быть	1	1
35	и некоторые другие	2	1
36	в первой половине	1	1
37	приносят с собой	1	1
38	не потому что	1	1
39	новый год с	1	1
40	состоит в том	8	1
41	и в этом	1	1
42	но и всей	1	1
43	все же не	2	1
44	кроме того в	1	1
45	друг к другу	2	1
46	такое же значение	1	1
47	и наконец в	1	1
48	самом же деле	1	1
49	потому что они	1	1
50	мы можем судить	1	1
51	во всех этих	1	1
52	в одном и	1	1
53	мы не можем	3	1
54	и как бы	1	1
55	в этом ряду	1	1
56	мы не будем	2	1
57	а позже и	1	1
58	вопрос о том	1	1
59	один из самых	1	1
60	как мы видим	1	1
61	связанные с ним	1	1
62	после того как	2	1
63	в особенности же	1	1
64	можно было бы	1	1
65	друг с другом	1	1
66	и из устных	1	1
67	как мы знаем	1	1
