N	2gram	Losev_Vlad_1	VLabPisa
1	таким образом	3	27
2	в этом	14	26
3	и в	31	25
4	и т	2	24
5	не только	24	22
6	может быть	6	21
7	хотя бы	2	20
8	и не	17	19
9	не может	6	17
10	т д	2	15
11	в его	12	15
12	в письме	8	14
13	этом отношении	1	13
14	в том	11	13
15	прежде всего	1	13
16	в частности	2	12
17	как это	7	12
18	все это	5	12
19	в силу	1	11
20	вот что	3	11
21	с другой	3	11
22	из них	2	11
23	в качестве	6	10
24	не могут	1	10
25	о том	11	10
26	письме к	10	10
27	то же	6	9
28	что в	14	9
29	об этом	7	9
30	по этому	2	9
31	для него	7	9
32	но и	19	9
33	к этому	6	9
34	в своем	4	8
35	ни один	1	8
36	все эти	3	8
37	не следует	1	8
38	на основании	2	8
39	другой стороны	3	8
40	в году	30	7
41	во всех	1	7
42	по отношению	1	7
43	он пишет	3	7
44	из этих	2	7
45	было бы	2	7
46	как и	4	7
47	том что	14	7
48	этому поводу	1	7
49	говорит о	1	7
50	не было	5	7
51	а не	1	7
52	вместе с	3	7
53	же в	1	7
54	это и	2	6
55	более или	3	6
56	в себе	4	6
57	в нем	4	6
58	главным образом	4	6
59	это не	1	6
60	или менее	3	6
61	их в	1	6
62	том же	1	6
63	и его	7	6
64	в то	8	6
65	так и	6	6
66	в порядке	1	6
67	у него	15	6
68	в основном	1	6
69	то что	18	6
70	одним из	2	5
71	и есть	1	5
72	в их	1	5
73	все же	3	5
74	не в	5	5
75	тому что	1	5
76	же время	4	5
77	связи с	1	5
78	произведения как	1	5
79	один из	4	5
80	он говорит	2	5
81	в результате	2	5
82	сказать что	7	5
83	только в	9	5
84	их и	1	4
85	с его	11	4
86	в этой	4	4
87	когда он	5	4
88	в самом	2	4
89	в целом	3	4
90	что все	2	4
91	них не	1	4
92	в них	2	4
93	в философии	2	4
94	даже в	2	4
95	одна из	1	4
96	никогда не	9	4
97	вот почему	1	4
98	к тому	3	4
99	для его	2	4
100	познания и	1	4
101	можно сказать	6	4
102	с ними	2	4
103	что он	12	4
104	в одном	1	4
105	как раз	7	4
106	в связи	3	4
107	приведенных выше	1	4
108	в своей	4	4
109	в котором	6	3
110	из его	4	3
111	в основных	1	3
112	и он	3	3
113	видели что	1	3
114	но как	5	3
115	явлений и	1	3
116	нет и	2	3
117	что они	3	3
118	мая года	1	3
119	и как	4	3
120	и к	6	3
121	в противоположность	1	3
122	и по	8	3
123	далеко не	1	3
124	что не	1	3
125	с тем	2	3
126	во время	3	3
127	точки зрения	2	3
128	это делает	2	3
129	к н	5	3
130	а вот	1	3
131	этой области	2	3
132	вполне естественно	1	3
133	как о	1	3
134	это мы	2	3
135	у л	1	3
136	со своим	5	3
137	сводится к	1	3
138	не столь	1	3
139	у нас	6	3
140	значит и	1	3
141	она не	1	3
142	значительной мере	1	3
143	а значит	1	3
144	образом в	2	3
145	никак не	4	3
146	в значительной	1	3
147	что и	5	3
148	и мир	1	3
149	говорит в	1	3
150	того что	2	3
151	января года	3	3
152	даже и	9	3
153	в конце	9	3
154	именно в	1	3
155	попал в	1	3
156	мы знаем	2	3
157	можно утверждать	1	3
158	него в	2	3
159	так же	1	3
160	по поводу	12	3
161	пишет в	1	3
162	по существу	2	3
163	толстого в	3	3
164	писал в	1	3
165	и от	5	3
166	или в	1	3
167	бы в	1	3
168	только что	2	3
169	жизни и	5	3
170	как на	2	3
171	ее в	1	3
172	к с	4	2
173	как известно	1	2
174	ту же	1	2
175	также и	10	2
176	и через	3	2
177	видеть в	1	2
178	по его	2	2
179	мы имеем	1	2
180	в которой	4	2
181	но даже	2	2
182	в ней	1	2
183	еще не	2	2
184	что его	4	2
185	в различных	1	2
186	в чем	2	2
187	но не	3	2
188	в общем	3	2
189	относится к	1	2
190	отнюдь не	3	2
191	этом же	1	2
192	и слова	1	2
193	хотя и	4	2
194	но в	12	2
195	не приходится	1	2
196	он в	3	2
197	как он	4	2
198	что она	2	2
199	после этого	1	2
200	он не	10	2
201	том чтобы	2	2
202	так например	2	2
203	человека в	1	2
204	в каждом	1	2
205	говорил что	1	2
206	заключается в	1	2
207	с другими	1	2
208	ума и	2	2
209	в жизни	3	2
210	одному тому	1	2
211	он и	6	2
212	и для	2	2
213	этот труд	1	2
214	года и	2	2
215	что такое	2	2
216	всяком случае	2	2
217	не столько	2	2
218	знаем что	2	2
219	от его	1	2
220	действительность в	1	2
221	которые в	1	2
222	если бы	1	2
223	не менее	2	2
224	в науке	3	2
225	не по	2	2
226	пока еще	2	2
227	того чтобы	2	2
228	только не	1	2
229	не вполне	1	2
230	и весь	2	2
231	свидетельствуют о	3	2
232	в области	1	2
233	человеческого познания	1	2
234	от того	1	2
235	нет ни	1	2
236	силу чего	1	2
237	же самое	1	2
238	другом месте	1	2
239	в стихотворении	1	2
240	а толстой	6	2
241	для того	2	2
242	на это	2	2
243	мысль о	1	2
244	только то	1	2
245	роль в	1	2
246	представляют собою	1	2
247	он сам	2	2
248	и даже	15	2
249	во всяком	2	2
250	но к	1	2
251	на вопрос	1	2
252	а толстая	1	2
253	лишь в	2	2
254	и просто	3	2
255	от них	1	2
256	во всей	1	2
257	вообще и	1	2
258	конце концов	3	2
259	но с	1	2
260	о его	2	2
261	что даже	1	2
262	с одной	1	2
263	апреля года	1	2
264	одной из	2	2
265	целого ряда	1	2
266	у них	1	2
267	слова не	1	2
268	чего бы	1	2
269	ни с	4	2
