N	3gram	Voloshinov_1	NovoeSre
1	не может быть	2	4
2	в наши дни	1	3
3	равно как и	2	2
4	вместе с тем	2	2
5	с другой стороны	1	2
6	вопрос о том	1	2
7	в том и	1	2
8	это связано с	1	1
9	и того же	1	1
10	нужно помнить что	1	1
11	и в жизни	1	1
12	в своем развитии	1	1
13	только потому что	2	1
14	было так много	1	1
15	одного и того	1	1
16	мы должны перейти	1	1
17	до сих пор	1	1
18	и во всех	1	1
19	и не может	1	1
20	в зависимости от	5	1
21	в человеческом обществе	1	1
22	должно было быть	1	1
23	эти слова в	2	1
24	но и в	3	1
25	в нем ничего	1	1
26	и для того	2	1
27	заключает в себе	4	1
28	можно было бы	1	1
29	не будет уже	1	1
30	и в наши	1	1
31	не только в	3	1
32	и не могут	1	1
33	на это не	1	1
34	всех своих сторон	1	1
35	со всех своих	1	1
36	не должно быть	2	1
37	о том что	2	1
38	в значительной степени	2	1
39	в социальной жизни	1	1
40	та или иная	1	1
41	должны помнить что	1	1
42	в большинстве случаев	1	1
43	в том что	1	1
44	как и в	1	1
