N	3gram	Nazirov_Tr_1	slovoVRo
1	и т п	1	33
2	не может быть	1	15
3	в отличие от	2	12
4	в этом случае	1	6
5	то же время	5	4
6	в том что	2	4
7	в то же	5	4
8	но все же	2	4
9	но в то	2	3
10	так и в	3	3
11	во всяком случае	1	2
12	у него нет	1	2
13	и в истории	1	2
14	хотя бы и	1	2
15	не могут быть	1	2
16	необходимо отметить что	1	2
17	в связи с	1	2
18	не только о	1	2
19	в чем же	1	1
20	своей и чужой	1	1
21	с самого начала	1	1
22	о том что	2	1
23	роль в романе	1	1
24	отцах и детях	1	1
25	во всем его	1	1
26	как и в	1	1
27	не только не	1	1
28	в той же	1	1
29	что он не	1	1
30	романа и в	1	1
31	между этими двумя	2	1
32	и не может	1	1
33	бы и не	1	1
34	это очень важно	2	1
35	в применении к	1	1
36	и до конца	1	1
37	в отцах и	1	1
38	и в дальнейшем	2	1
39	в основном на	1	1
40	оно сливается с	1	1
41	что уже не	1	1
42	том что он	1	1
43	в известной степени	1	1
44	наших дней на	1	1
45	это как бы	1	1
46	тем не менее	1	1
47	от силы и	1	1
