N	2gram	Bakhtin_sl_2	Narrotol
1	не только	24	26
2	а не	14	17
3	но и	21	15
4	и не	22	14
5	при этом	7	14
6	в том	5	14
7	в качестве	1	14
8	в этом	16	13
9	и в	39	13
10	том что	5	13
11	в частности	1	11
12	только в	5	11
13	может быть	37	10
14	в данном	2	10
15	так и	15	9
16	то есть	26	9
17	а в	4	9
18	в себе	2	8
19	не может	20	8
20	не в	9	8
21	то что	2	8
22	к себе	1	7
23	все же	6	6
24	можно сказать	1	6
25	прежде всего	8	6
26	и т.п	2	6
27	жизни в	2	6
28	того что	1	6
29	никогда не	7	6
30	героя в	3	6
31	и к	6	6
32	ничего не	1	6
33	в его	7	6
34	у него	3	6
35	но в	6	6
36	в рамках	1	6
37	а также	3	6
38	как бы	7	6
39	в своем	6	6
40	в форме	2	5
41	о том	2	5
42	место в	1	5
43	отношению к	4	5
44	таким образом	8	5
45	точки зрения	8	5
46	в нем	19	5
47	в отличие	12	5
48	хотя и	2	5
49	по отношению	4	5
50	на него	2	5
51	как в	13	5
52	в той	4	5
53	отличие от	13	5
54	в то	4	5
55	на протяжении	2	5
56	тем не	1	5
57	не столько	3	5
58	далеко не	2	5
59	одной стороны	5	5
60	и тем	1	5
61	с одной	5	5
62	он не	2	5
63	с другой	5	5
64	что он	2	5
65	в другом	2	4
66	как и	6	4
67	в герое	1	4
68	в литературе	1	4
69	жизни и	6	4
70	не менее	4	4
71	и все	5	4
72	в какой	1	4
73	с ним	7	4
74	в конце	1	4
75	как это	3	4
76	в своей	1	4
77	об этом	1	4
78	для него	7	4
79	в себя	2	4
80	то же	4	4
81	и уже	1	4
82	отнюдь не	1	4
83	уже не	5	4
84	в этой	1	4
85	как у	1	4
86	в мире	1	4
87	что в	3	4
88	же в	1	4
89	обо мне	1	4
90	не является	1	4
91	мира в	1	4
92	перед нами	3	4
93	все что	2	4
94	все эти	6	3
95	как к	3	3
96	же время	4	3
97	на том	1	3
98	одна из	4	3
99	как по	1	3
100	как раз	1	3
101	действующих лиц	2	3
102	того чтобы	2	3
103	того или	1	3
104	он является	1	3
105	или даже	3	3
106	по своей	1	3
107	но не	6	3
108	между собой	1	3
109	той или	5	3
110	в таком	4	3
111	этом отношении	3	3
112	между тем	3	3
113	это не	5	3
114	к ней	2	3
115	и даже	7	3
116	и сам	1	3
117	да и	1	3
118	и его	33	3
119	в целом	1	3
120	к его	2	3
121	сказать что	3	3
122	мира и	5	3
123	один из	5	3
124	за пределами	1	3
125	нам в	1	3
126	в слове	6	3
127	характер и	1	3
128	представить себе	1	3
129	человек в	6	3
130	с ними	5	3
131	точку зрения	3	3
132	так сказать	6	3
133	и для	5	3
134	с его	7	3
135	в состав	3	3
136	или иного	1	3
137	а как	1	3
138	никак не	1	3
139	или иной	5	3
140	о нем	2	3
141	и по	1	3
142	со своим	9	2
143	его смысла	1	2
144	и здесь	2	2
145	для нас	5	2
146	еще не	7	2
147	все те	1	2
148	достоевского и	1	2
149	говорить о	3	2
150	с нею	1	2
151	но он	2	2
152	говорит о	1	2
153	в виде	2	2
154	здесь не	4	2
155	т п	33	2
156	в самую	1	2
157	должна быть	3	2
158	в чужой	2	2
159	однако на	1	2
160	зависит от	1	2
161	вовсе не	10	2
162	ведет к	1	2
163	на то	1	2
164	в сознании	1	2
165	и иные	1	2
166	хотя бы	3	2
167	мы не	2	2
168	и внутренней	2	2
169	жизни на	1	2
170	те же	2	2
171	в нашем	2	2
172	одно из	1	2
173	со всеми	2	2
174	вступает в	1	2
175	оно не	8	2
176	и личность	1	2
177	все то	1	2
178	в самом	1	2
179	превращается в	1	2
180	зрения на	2	2
181	но зато	1	2
182	дело с	4	2
183	не все	2	2
184	может служить	1	2
185	и т	35	2
186	текста и	1	2
187	его внутренней	1	2
188	с точки	3	2
189	на фоне	4	2
190	себя не	1	2
191	гуманитарных науках	1	2
192	он может	1	2
193	они не	2	2
194	в других	1	2
195	интерес к	1	2
196	и служит	1	2
197	как он	2	2
198	в чем	3	2
199	во второй	1	2
200	подчеркнуть что	2	2
201	к своему	9	2
202	представления о	1	2
203	высказывания как	1	2
204	только не	1	2
205	с таким	2	2
206	как о	2	2
207	именно в	2	2
208	могли бы	1	2
209	как уже	2	2
210	в направлении	1	2
211	в процессе	13	2
212	и что	1	2
213	однако не	1	2
214	в результате	2	2
215	что и	3	2
216	роль в	2	2
217	несмотря на	1	2
218	в своих	1	2
219	однако в	2	2
220	часто не	1	2
221	себя в	8	2
222	той же	3	2
223	в него	7	2
224	в области	2	2
225	которая не	1	2
226	в составе	1	2
227	в ней	3	2
228	что она	1	2
229	с другим	1	2
230	должен был	1	2
231	и более	2	2
232	а во	1	2
233	только на	1	2
234	он сам	1	2
235	героя и	5	2
236	или иначе	1	2
237	от его	1	2
238	но это	3	2
239	не обязательно	1	2
240	в свою	3	2
241	в евгении	1	1
242	есть на	2	1
243	может не	2	1
244	может и	2	1
245	и чисто	2	1
246	приводит к	1	1
247	не знает	2	1
