N	2gram	Nazirov_Tv_1	Analitik
1	не только	7	22
2	тогда как	1	20
3	и в	21	18
4	как и	12	14
5	так и	2	14
6	в этом	6	14
7	и его	6	13
8	но и	3	13
9	том что	11	12
10	в качестве	2	12
11	и не	7	12
12	в частности	2	12
13	при этом	7	11
14	ивана петровича	1	10
15	то есть	12	10
16	а в	6	10
17	как бы	17	10
18	что в	12	9
19	может быть	5	9
20	а не	5	9
21	в том	7	9
22	со своей	1	8
23	с его	11	8
24	всего лишь	1	8
25	своего рода	4	8
26	не случайно	4	8
27	и даже	3	8
28	в первой	2	8
29	по отношению	1	7
30	в русской	5	7
31	как раз	1	7
32	в его	13	7
33	с другой	3	7
34	во второй	2	7
35	но не	3	7
36	отношению к	1	7
37	и самого	1	6
38	еще не	1	6
39	в этой	5	6
40	он не	8	6
41	в их	3	6
42	не в	2	6
43	к тому	2	6
44	для него	6	6
45	о том	6	6
46	того же	2	5
47	той же	3	5
48	мы имеем	1	5
49	как правило	1	5
50	в самом	3	5
51	однако в	2	5
52	в мире	4	5
53	в сущности	1	5
54	что и	2	5
55	между тем	1	5
56	уже не	3	5
57	в конце	1	5
58	никогда не	3	5
59	в свою	7	5
60	прежде всего	4	5
61	я в	1	5
62	другой стороны	1	5
63	представляет собой	3	5
64	принадлежит к	1	4
65	и на	7	4
66	столь же	1	4
67	а и	1	4
68	что он	6	4
69	отнюдь не	5	4
70	в своем	4	4
71	и как	4	4
72	что по	1	4
73	и к	1	4
74	таким образом	5	4
75	приводит к	2	4
76	сильвио и	1	4
77	по себе	1	4
78	тем самым	7	4
79	в одном	1	4
80	ли не	1	4
81	не менее	6	4
82	свою очередь	1	4
83	шекспира и	1	4
84	и сам	1	4
85	внимание на	1	4
86	можно сказать	2	4
87	русской литературе	4	4
88	крайней мере	2	4
89	себя в	1	4
90	не есть	1	4
91	далеко не	3	4
92	по крайней	2	4
93	о чем	1	4
94	в данном	2	4
95	все же	5	4
96	перед нами	2	4
97	героя и	2	4
98	я и	3	3
99	его не	1	3
100	который в	3	3
101	говорить о	1	3
102	в целом	4	3
103	уже в	3	3
104	если в	2	3
105	как говорит	1	3
106	как в	8	3
107	с этим	1	3
108	роль в	1	3
109	тому же	1	3
110	ключ к	1	3
111	у пушкина	2	3
112	в году	7	3
113	то же	13	3
114	в каждом	3	3
115	не будет	2	3
116	его в	1	3
117	лишь на	1	3
118	и того	2	3
119	одного и	1	3
120	не столько	2	3
121	все это	10	3
122	в то	15	3
123	дело не	3	3
124	только не	1	3
125	же время	12	3
126	личности в	2	3
127	указывает на	1	3
128	с ее	3	3
129	в ее	1	3
130	данном случае	2	3
131	так в	1	3
132	жизнь и	1	3
133	мысль о	2	3
134	восходит к	1	3
135	путь к	1	3
136	именно в	2	3
137	было бы	1	3
138	в финале	4	3
139	что не	2	3
140	не было	1	3
141	он и	1	3
142	его как	2	3
143	как это	1	3
144	к жизни	2	3
145	авторская позиция	1	3
146	пока еще	1	3
147	восходящая к	1	3
148	к этому	2	3
149	во сне	1	3
150	самом деле	2	2
151	от своей	1	2
152	в первом	2	2
153	по преимуществу	2	2
154	уже по	1	2
155	в литературу	1	2
156	есть не	2	2
157	на себя	1	2
158	и он	2	2
159	в ней	2	2
160	не от	1	2
161	нам представляется	1	2
162	из повести	3	2
163	во всех	1	2
164	со всеми	3	2
165	конечном счете	4	2
166	отличие от	2	2
167	это и	3	2
168	на первой	1	2
169	по сути	4	2
170	как к	2	2
171	нам кажется	1	2
172	когда он	2	2
173	как уже	1	2
174	но в	7	2
175	бы и	1	2
176	все эти	1	2
177	в себе	2	2
178	так сказать	2	2
179	на его	3	2
180	наш взгляд	1	2
181	что она	2	2
182	в нем	3	2
183	о которой	1	2
184	и вот	1	2
185	о его	1	2
186	и по	3	2
187	этом он	2	2
188	это не	4	2
189	с самим	1	2
190	авторской позиции	3	2
191	в жизни	2	2
192	а вот	1	2
193	в них	1	2
194	о которых	1	2
195	пушкина и	1	2
196	с тем	1	2
197	не мог	2	2
198	в принципе	2	2
199	современное литературоведение	1	2
200	в отличие	2	2
201	тем не	2	2
202	даже в	3	2
203	вплоть до	1	2
204	дело в	3	2
205	одна из	2	2
206	писал он	1	2
207	которого он	2	2
208	как формы	1	2
209	на наш	1	2
210	в момент	4	2
211	могут быть	2	2
212	подход к	1	2
213	фраза повести	1	2
214	в себя	2	2
215	в дальнейшем	3	2
216	об этом	2	2
217	лицо его	2	2
218	и здесь	1	2
219	в глаза	2	2
220	в конечном	4	2
221	в глазах	1	2
222	анекдота не	1	2
223	один из	4	2
224	но с	1	2
225	только в	5	2
226	то в	2	2
227	и ее	1	2
228	с одной	1	2
229	все они	1	2
230	но сам	1	2
231	для всех	1	2
232	как справедливо	1	2
233	нуждается в	1	2
234	тем что	1	2
235	одной стороны	1	2
236	как сам	1	2
237	в романе	10	2
238	говорит о	3	2
239	в соответствии	3	2
240	на эту	4	2
241	связь с	1	2
242	не может	4	2
243	вместе с	2	2
244	по своему	1	2
245	да и	1	2
246	в глубине	1	2
247	картине мира	1	2
248	и от	4	2
249	хотя и	3	2
250	и все	6	2
251	же в	1	2
252	хотя в	1	2
253	личности и	2	2
254	то что	8	2
255	сказать что	2	2
256	в искусстве	1	2
257	гораздо более	2	2
258	оба они	1	1
259	как известно	1	1
260	и развитие	1	1
261	человека и	4	1
262	и фактически	1	1
263	связана с	1	1
264	рассматривать в	3	1
265	спальню и	1	1
266	на самом	3	1
267	и есть	1	1
268	не признает	1	1
269	из самых	1	1
270	и до	1	1
271	не имеют	4	1
272	намек на	2	1
273	мы уже	1	1
274	побуждает его	1	1
275	собой как	1	1
276	на первом	2	1
277	что если	1	1
278	единство и	1	1
279	сути дела	3	1
280	слово о	1	1
281	никак не	1	1
282	что иное	1	1
283	основного действия	1	1
284	как было	1	1
285	в полной	1	1
286	на практике	1	1
287	я не	3	1
288	к преступлению	1	1
289	не способен	1	1
290	проявляется в	1	1
291	в таком	1	1
292	он был	1	1
293	между собой	1	1
294	он сам	6	1
295	иное как	1	1
296	время в	3	1
297	всего этого	1	1
298	у бальзака	1	1
299	в сюжете	1	1
300	тут и	3	1
301	тем как	1	1
302	иного рода	1	1
303	симпатию к	1	1
304	не все	1	1
305	человеческих отношений	3	1
306	и место	1	1
307	говорилось выше	1	1
308	в истории	1	1
309	из уст	1	1
310	в полном	1	1
311	говорит что	2	1
312	один ряд	1	1
313	себе не	2	1
314	и внутренних	1	1
315	или иную	1	1
316	для которого	1	1
317	сливается с	3	1
318	к чему	1	1
319	та же	4	1
320	он идет	1	1
321	и у	2	1
322	зависим от	1	1
323	поскольку в	1	1
324	но без	2	1
325	в известном	1	1
326	это тот	1	1
327	на смену	2	1
328	у а	1	1
329	вследствие этого	1	1
330	в записках	4	1
331	в статье	1	1
332	конструктивный момент	1	1
333	обратившись к	1	1
334	все другие	1	1
335	отказа от	1	1
336	выше уже	1	1
337	но само	1	1
338	первой части	3	1
339	свою собственную	1	1
340	чем у	1	1
341	и обстоятельств	1	1
342	его можно	1	1
343	в большой	1	1
344	существеннее другое	1	1
345	в нее	1	1
346	от других	2	1
347	мы обнаруживаем	1	1
348	человека в	6	1
349	здесь мы	2	1
350	повести здесь	1	1
351	а затем	2	1
352	а по	2	1
353	это было	1	1
354	в художественном	1	1
355	заключается в	1	1
356	который и	1	1
357	свое я	4	1
358	центральное место	1	1
359	по мысли	1	1
360	этого персонажа	1	1
361	мировой литературы	1	1
362	он любил	1	1
363	в один	2	1
364	всех этих	1	1
365	менее чем	1	1
