N	4gram	Propp_Isto_3	Myshleni
1	в то время как	2	5
2	в силу того что	1	5
3	заключается в том что	1	5
4	одной и той же	1	3
5	состоит в том что	2	2
6	мы имеем дело с	1	1
7	есть не что иное	1	1
8	точно так же как	1	1
9	не что иное как	3	1
10	только в связи с	2	1
11	на этот вопрос можно	1	1
12	этот вопрос можно дать	1	1
13	с этой точки зрения	1	1
14	но вместе с тем	1	1
15	частный случай более общего	1	1
16	только частный случай более	1	1
17	в том что в	1	1
18	таким образом мы можем	1	1
19	иначе обстоит дело с	1	1
20	но в этом случае	1	1
21	сказывается в том что	1	1
