N	2gram	Berdyaev_N_1	Marksizm
1	может быть	7	26
2	и не	11	26
3	не может	16	24
4	и в	16	19
5	и его	1	19
6	в этом	7	16
7	прежде всего	4	13
8	как и	7	12
9	и пр	3	12
10	так и	2	11
11	и для	4	11
12	в нем	5	10
13	и т.п	2	10
14	в самом	1	10
15	лишь в	6	9
16	только в	1	9
17	не только	5	8
18	друг друга	1	8
19	до сих	1	8
20	но и	3	8
21	сих пор	1	8
22	то что	4	8
23	во всех	3	7
24	в ее	3	7
25	но в	2	7
26	все эти	2	7
27	бытия в	2	7
28	а не	17	7
29	так же	2	7
30	мы не	2	6
31	и того	1	6
32	в его	1	6
33	в том	8	6
34	в смысле	2	6
35	другой стороны	2	6
36	того же	1	6
37	отличие от	1	5
38	конечно не	3	5
39	по преимуществу	1	5
40	одного и	1	5
41	в отличие	1	5
42	не в	6	5
43	того чтобы	2	5
44	совершается в	1	5
45	и все	4	5
46	в конце	1	5
47	с другой	3	5
48	за пределы	3	5
49	и потому	4	5
50	хотя бы	2	5
51	во всяком	1	5
52	переход от	1	4
53	оно может	1	4
54	вопрос о	3	4
55	и на	2	4
56	нет и	2	4
57	как в	3	4
58	к одному	1	4
59	не будет	7	4
60	было бы	1	4
61	не столько	1	4
62	мысли и	2	4
63	не менее	4	4
64	по себе	1	4
65	в ней	5	4
66	еще не	3	4
67	от того	1	4
68	для того	1	4
69	с этим	2	4
70	а в	2	4
71	жизни в	3	4
72	сказать что	3	4
73	что в	9	4
74	формы и	2	3
75	он может	1	3
76	и есть	10	3
77	в нашу	2	3
78	не имеют	2	3
79	высшей степени	6	3
80	в сущности	1	3
81	в большинстве	1	3
82	в истории	3	3
83	и к	5	3
84	в которой	1	3
85	но все	1	3
86	он не	8	3
87	в высшей	6	3
88	том что	2	3
89	в своей	3	3
90	в котором	1	3
91	место в	2	3
92	в то	2	3
93	не имеет	4	3
94	в области	1	3
95	не могут	1	3
96	должны быть	1	3
97	не есть	3	3
98	и это	2	3
99	не существует	3	3
100	можно сказать	1	3
101	с другими	1	3
102	нуждается в	1	3
103	большинстве случаев	1	3
104	из них	1	3
105	лишь для	1	3
106	в каком	1	3
107	социальной жизни	1	3
108	не было	4	3
109	все это	5	3
110	xix века	5	3
111	и формы	2	3
112	и от	2	3
113	нет ничего	1	3
114	пр в	1	3
115	мы должны	1	3
116	это и	2	3
117	нем нет	2	2
118	же как	2	2
119	связана с	2	2
120	или к	1	2
121	мы уже	1	2
122	со всех	4	2
123	зависимости от	1	2
124	всех сторон	4	2
125	быть в	2	2
126	в чем	1	2
127	себе и	1	2
128	в своем	1	2
129	от этого	1	2
130	к единству	1	2
131	из этих	1	2
132	в себе	2	2
133	должна быть	3	2
134	можно было	2	2
135	человека в	1	2
136	от нее	1	2
137	что все	2	2
138	и с	2	2
139	этом смысле	2	2
140	в социальной	1	2
141	в новое	3	2
142	ни в	6	2
143	для них	1	2
144	должно быть	4	2
145	общества и	2	2
146	времени не	1	2
147	и более	1	2
148	мысли в	2	2
149	эти формы	3	2
150	что такое	3	2
151	в основе	3	2
152	одна из	2	2
153	понимают и	1	2
154	у нас	1	2
155	для решения	1	2
156	нет ни	1	2
157	могут быть	2	2
158	во все	1	2
159	числе и	1	2
160	к тому	3	2
161	она не	3	2
162	с ее	5	2
163	в виду	1	2
164	что само	1	2
165	культуры и	7	2
166	никогда не	6	2
167	и даже	2	2
168	о том	4	2
169	все в	1	2
170	и во	1	2
171	и только	1	2
172	ни к	2	2
173	что он	1	2
174	менее всего	1	2
175	и их	1	2
176	всяком случае	1	2
177	так как	1	2
178	тем что	1	2
179	связаны с	2	2
180	что не	1	2
181	нового времени	12	2
182	зависит от	2	2
183	есть лишь	4	2
184	одну из	1	2
185	для всех	1	2
186	и этот	1	2
187	неизбежно должна	1	2
188	но для	2	2
189	в эти	1	2
190	мира и	2	2
191	этой системы	1	2
192	в свою	1	2
193	но если	1	2
194	на смену	1	2
195	не знает	6	2
196	же и	1	2
197	борьба и	2	2
198	жизни и	8	2
199	к этой	1	2
200	том числе	1	2
201	от этой	1	1
202	должен быть	5	1
203	новое время	4	1
204	лишь там	1	1
205	становится в	1	1
206	он находится	1	1
207	не хочет	1	1
208	и до	1	1
209	можно лишь	1	1
210	из всех	1	1
211	что вся	1	1
212	мир не	1	1
213	совершенно так	1	1
214	о формах	1	1
215	кризисов и	1	1
216	говорить о	1	1
217	и бытия	1	1
218	и другая	1	1
219	жизни как	2	1
220	жизни это	1	1
221	на них	1	1
222	с его	6	1
223	совсем не	12	1
224	пути ее	1	1
225	жизни все	2	1
226	к новому	7	1
227	хотя и	2	1
228	всего как	1	1
229	эпоху может	1	1
230	добро и	1	1
231	тоже не	1	1
232	в этой	1	1
233	в известном	1	1
234	с их	2	1
235	если есть	1	1
236	эпохи и	4	1
237	но ведь	1	1
238	не могла	2	1
239	ведь и	2	1
240	все другие	1	1
241	она становится	1	1
242	перестает быть	4	1
243	не значит	3	1
244	в россии	3	1
245	все ее	1	1
246	по всем	1	1
247	вообще не	1	1
248	их в	1	1
249	нашего времени	2	1
250	подобно тому	3	1
251	совершающееся в	1	1
252	в образе	1	1
253	в нее	1	1
254	значительной степени	1	1
255	значение в	1	1
256	а по	1	1
257	ней нет	1	1
258	это не	4	1
259	лишь на	1	1
260	истории и	9	1
261	своей основе	1	1
262	нет в	1	1
263	всякое значение	2	1
264	с тем	3	1
265	и вся	1	1
266	отказаться от	1	1
267	имеет никакой	1	1
268	еще в	1	1
269	может идти	1	1
270	все более	1	1
271	во время	1	1
272	нет для	1	1
273	бы к	1	1
274	и процесс	1	1
275	предметного содержания	1	1
276	на иной	1	1
277	до которых	1	1
278	оно должно	1	1
279	творчества и	1	1
280	не должна	1	1
281	и очень	1	1
282	лишь к	1	1
283	xviii века	2	1
284	есть прежде	1	1
285	она могла	1	1
286	погружается в	1	1
287	не по	1	1
288	и имеет	1	1
289	из их	1	1
290	хочет и	1	1
291	явление в	1	1
292	в русском	2	1
293	к ней	1	1
294	по своей	1	1
295	не останется	1	1
296	потому что	4	1
297	бытия как	1	1
298	уже никакой	2	1
299	в духе	3	1
300	не та	1	1
301	во внешних	1	1
302	и всех	1	1
303	уже будет	1	1
304	людей в	1	1
305	возникнуть лишь	1	1
306	творчества не	1	1
307	него как	1	1
308	и внешними	1	1
309	характер и	1	1
310	приводит к	1	1
311	природе своей	1	1
312	недрах этой	1	1
313	на нее	1	1
314	времени и	2	1
315	по природе	1	1
316	может еще	1	1
317	философии жизни	1	1
318	для этого	2	1
319	внутреннего единства	1	1
320	нет уже	1	1
321	познания и	2	1
322	перестать быть	1	1
323	и должно	2	1
324	пришли к	1	1
325	не означает	3	1
326	и что	2	1
327	творческий процесс	1	1
328	принадлежит уже	1	1
329	в значительной	1	1
330	должно было	2	1
331	в которую	1	1
332	к нему	1	1
333	всей нашей	1	1
334	но нет	1	1
335	века и	2	1
336	и мир	1	1
337	в каких	1	1
338	может принадлежать	1	1
339	философии и	1	1
340	речи о	1	1
341	наше время	4	1
342	во времени	1	1
343	с одной	2	1
344	уже не	2	1
345	уже в	1	1
346	значение и	1	1
347	существования и	1	1
348	которую она	2	1
349	слова в	1	1
350	менее чем	1	1
351	в политической	1	1
352	сами по	1	1
353	осознавать себя	1	1
354	характерны для	1	1
355	формы к	1	1
356	одной стороны	2	1
357	выходит за	1	1
358	на ее	1	1
359	на заре	1	1
360	и быть	1	1
361	и труда	1	1
362	тому как	3	1
363	в природе	2	1
364	стремится к	3	1
365	смысле и	1	1
366	себя и	1	1
367	к более	2	1
368	превращается в	1	1
369	для сознания	1	1
370	как ни	1	1
371	что мы	1	1
372	проходит через	1	1
373	уже давно	1	1
374	как это	2	1
375	но не	2	1
376	возможно лишь	1	1
377	политической жизни	1	1
378	к жизни	3	1
379	центр тяжести	2	1
380	в той	1	1
381	быть только	1	1
382	в мир	1	1
383	по существу	2	1
384	значит что	4	1
385	это значит	1	1
386	быть не	1	1
387	есть и	1	1
388	глубины и	2	1
389	в недрах	1	1
390	неба и	1	1
391	в наше	3	1
392	в более	1	1
393	всего они	1	1
394	истина есть	1	1
395	такого рода	2	1
396	в силах	1	1
397	чтобы понять	1	1
398	более всего	1	1
399	мы переходим	1	1
400	человека не	1	1
401	быть понята	1	1
402	равно как	2	1
403	значение все	1	1
404	процессы в	1	1
405	например во	1	1
406	сочетаться с	1	1
407	можно назвать	2	1
408	и особенно	1	1
