1	до сих пор	3	5
2	в то же	4	5
3	можно сказать что	3	4
4	в какой-то мере	1	4
5	и во всех	1	3
6	а также и	2	3
7	до наших дней	1	3
8	более или менее	3	3
9	не то что	1	3
10	в том что	5	3
11	как мы уже	1	3
12	как и в	1	3
13	так и в	1	2
14	и до наших	1	2
15	и xix веков	1	2
16	в братьях карамазовых	1	2
17	нас прежде всего	1	2
18	с точки зрения	3	2
19	тем не менее	18	2
20	может быть и	3	2
21	даже и не	2	2
22	и в то	1	2
23	а между тем	1	2
24	о том что	5	2
25	в известной мере	1	2
26	то есть в	4	2
27	и на его	2	2
28	xviii и xix	1	2
29	из них в	1	2
30	чем перейти к	2	1
31	мы находим в	1	1
32	за пределы его	1	1
33	и тем более	1	1
34	со всеми своими	2	1
35	можно даже сказать	1	1
36	что иное как	2	1
37	для этой цели	1	1
38	в записках из	1	1
39	в этом смысле	6	1
40	об этом не	1	1
41	и то что	2	1
42	вовсе еще не	3	1
43	также и в	1	1
44	то же самое	9	1
45	в вечном муже	1	1
46	как мы сказали	1	1
47	конечно далеко не	1	1
48	в связи с	4	1
49	как нет ничего	1	1
50	здесь перед нами	3	1
51	даже сказать что	1	1
52	можем говорить о	1	1
53	их самих и	1	1
54	мы конечно не	1	1
55	хотя и не	2	1
56	не что иное	2	1
57	является одним из	1	1
58	в сознании и	2	1
59	о которой мы	1	1
60	можно было бы	2	1
61	и во многих	1	1
62	на самом же	1	1
63	том что все	1	1
64	самом же деле	1	1
65	одним из самых	1	1
66	же самое мы	1	1
67	но и этого	1	1
68	мы не будем	1	1
69	записках из подполья	1	1
70	по крайней мере	2	1
71	не менее он	1	1
72	во всех случаях	1	1
73	во всяком случае	3	1
74	внешней и внутренней	1	1
75	не может быть	2	1
76	мы можем сказать	1	1
77	так как это	1	1
78	в этом отношении	1	1
79	во всей своей	1	1
80	чем иным как	1	1
81	ровно ничего не	1	1
82	и может быть	1	1
83	в дальнейшем мы	1	1
84	быть даже и	2	1
85	именно тем что	1	1
86	есть не что	2	1
87	это было бы	1	1
88	так или иначе	2	1
89	той или иной	4	1
90	хотя и в	1	1
91	ни на один	1	1
92	всегда есть нечто	1	1
93	мы можем говорить	2	1
94	уж я не	1	1
95	и тем самым	3	1
96	с другой стороны	3	1
97	так и для	2	1
98	мы имеем дело	1	1
99	которой мы говорили	1	1
100	а может быть	2	1
101	в конце концов	4	1
102	не чем иным	1	1
103	то что было	1	1
104	в его целом	1	1
105	может быть даже	2	1
106	но в то	1	1
107	прежде чем перейти	2	1
108	самое же главное	1	1
109	тех или иных	2	1
110	рождение и смерть	1	1
111	остановимся только на	1	1
112	точки зрения логики	1	1
113	а не в	1	1
