N	4gram	Bakhtin_Fr_1	TeoriaLi
1	в то же время	1	6
2	в том числе и	7	1
3	карнавал переживаемый в одиночку	1	1
4	мы имеем в виду	1	1
5	в том что он	1	1
6	но в то же	1	1
7	как бы карнавал переживаемый	1	1
8	вольный фамильярный контакт между	1	1
9	в той или иной	5	1
10	переживаемый в одиночку с	1	1
11	но дело в том	1	1
12	фамильярный контакт между всеми	1	1
13	бы карнавал переживаемый в	1	1
14	в одиночку с острым	1	1
15	это по преимуществу ночной	1	1
16	дело в том что	2	1
17	контакт между всеми людьми	1	1
