N	3gram	Potebnia_M_2	Analitik
1	в том что	7	7
2	с другой стороны	2	5
3	о том что	1	5
4	по крайней мере	5	4
5	в свою очередь	6	4
6	как и в	1	4
7	и того же	6	3
8	то же время	2	3
9	в то же	2	3
10	одного и того	6	3
11	дело в том	1	2
12	подобно тому как	4	2
13	при этом как	1	2
14	том что он	1	2
15	одной и той	1	2
16	в отличие от	1	2
17	с одной стороны	3	2
18	сама по себе	2	2
19	тем не менее	5	2
20	во всяком случае	7	2
21	а в том	1	2
22	и той же	1	2
23	в сравнении с	2	2
24	если бы он	1	1
25	и может быть	2	1
26	а между тем	4	1
27	и у и	2	1
28	не только по	2	1
29	нами не как	1	1
30	а не с	2	1
31	то есть не	3	1
32	есть одна из	1	1
33	на самом деле	2	1
34	со многими другими	1	1
35	в этом смысле	2	1
36	в этом случае	1	1
37	обратим внимание на	1	1
38	и свою собственную	1	1
39	между тем в	1	1
40	до сих пор	4	1
41	в таком случае	2	1
42	при этом что	1	1
43	между тем как	2	1
44	таким образом в	2	1
45	может и не	1	1
46	со всеми остальными	1	1
47	в эту минуту	3	1
48	со всех сторон	1	1
49	в переносном смысле	1	1
50	о а и	1	1
51	тогда как в	2	1
52	но в таком	1	1
53	сам по себе	4	1
54	в том чтобы	1	1
55	так и в	2	1
56	в применении к	1	1
57	во втором случае	1	1
58	не могут быть	3	1
59	и как бы	1	1
60	не в том	2	1
61	в связи с	1	1
62	внутренней и внешней	1	1
63	не для того	1	1
64	для того чтобы	2	1
65	один и тот	1	1
66	от них самих	1	1
67	нет никакой возможности	1	1
68	не может быть	2	1
69	но с другой	1	1
70	само по себе	2	1
71	при этом и	1	1
72	тем что у	1	1
73	в одном из	1	1
74	то есть в	1	1
75	представляется нам не	1	1
76	как бы ни	3	1
77	вопрос о том	1	1
78	мысль о том	1	1
79	и в слове	1	1
80	состоит не в	2	1
81	а а и	1	1
82	до тех пор	1	1
83	друг от друга	1	1
84	в большинстве случаев	1	1
85	нам известно из	1	1
86	то что они	1	1
87	свидетельствует не только	1	1
88	здесь как и	1	1
89	что и в	1	1
90	также что в	1	1
91	обратить внимание на	1	1
92	и тот же	1	1
