N	3gram	Ircho_Kome_2	Tvorches
1	в то же	3	13
2	то же время	3	12
3	в том что	5	6
4	о том что	4	5
5	в соответствии с	1	3
6	с самого начала	1	3
7	это не означает	1	2
8	в одной из	2	2
9	и та же	1	2
10	в наше время	1	2
11	и т п	2	2
12	точно так же	1	2
13	в этой связи	1	2
14	не только в	1	2
15	же время он	1	2
16	на протяжении всего	1	2
17	и в то	1	2
18	тем не менее	1	2
19	чем отличается от	1	1
20	и в свою	1	1
21	все тот же	1	1
22	прежде всего они	1	1
23	чуть ли не	2	1
24	он выступает против	1	1
25	больше чем любой	1	1
26	в том же	1	1
27	по отношению к	3	1
28	до сих пор	2	1
29	что он не	1	1
30	в отличие от	2	1
31	все же это	1	1
32	в первую очередь	3	1
33	а может быть	1	1
34	то что в	1	1
35	а вместе с	1	1
36	бы то ни	2	1
37	за то что	4	1
38	на протяжении почти	2	1
39	вместе с тем	4	1
40	в этой области	1	1
41	не в его	1	1
42	то ни было	2	1
43	с одной стороны	2	1
44	в один ряд	1	1
45	один ряд с	1	1
46	он говорит о	1	1
47	в связи с	3	1
48	три года до	1	1
49	одна и та	1	1
50	что у него	2	1
51	их взаимоотношения в	1	1
52	а нередко и	1	1
53	у него в	1	1
54	за три года	1	1
55	не означает что	1	1
56	не укладывается ни	1	1
57	в свою очередь	1	1
58	и в самом	1	1
59	с другой стороны	1	1
60	что в каждом	1	1
61	таким образом и	1	1
62	к тому что	2	1
63	укладывается ни в	1	1
64	мало чем отличается	1	1
65	к тому же	10	1
