N	2gram	Losev_Prob_3	IolandNe
1	и с	9	3
2	и не	35	2
3	в этом	17	2
4	он не	8	2
5	что в	8	2
6	самого себя	3	2
7	ничего не	3	2
8	себя в	2	1
9	все это	5	1
10	автора и	1	1
11	нисколько не	2	1
12	и тот	1	1
13	эти произведения	1	1
14	а для	1	1
15	и в	44	1
16	только что	2	1
17	и о	5	1
18	то и	5	1
19	них не	1	1
20	бы в	2	1
21	как только	3	1
22	и гоголя	1	1
23	того же	2	1
24	не остается	1	1
25	с другой	7	1
26	и та	1	1
27	это было	2	1
28	а в	5	1
29	вплоть до	1	1
30	так то	1	1
31	того что	8	1
32	в художественном	3	1
33	и без	4	1
34	следовательно в	1	1
35	в руки	1	1
36	как о	5	1
37	пушкина и	3	1
38	на котором	2	1
39	а с	2	1
40	другой стороны	5	1
41	в первую	3	1
42	не так	3	1
43	для него	3	1
44	а также	4	1
45	нам в	1	1
46	писателя а	1	1
47	в основе	2	1
48	что для	3	1
49	что при	2	1
50	говорить о	3	1
51	могло бы	3	1
52	и сам	5	1
53	есть только	4	1
54	а если	1	1
55	и занимается	1	1
56	так и	10	1
57	бы его	1	1
58	от этого	1	1
59	произведения и	2	1
60	не заставлял	1	1
61	того чтобы	1	1
62	этого все	1	1
63	первую очередь	3	1
64	никогда не	6	1
65	следующим образом	1	1
66	о ней	2	1
67	только для	1	1
68	жизни и	6	1
69	и очень	3	1
70	и ничего	1	1
71	тем что	4	1
72	в целом	6	1
73	по поводу	2	1
74	точно и	1	1
75	в них	1	1
76	все эти	7	1
77	но когда	2	1
78	по существу	2	1
79	и и	1	1
80	от нее	1	1
81	со всеми	1	1
82	если бы	3	1
83	для того	1	1
84	и идей	2	1
85	другое дело	2	1
86	без этого	1	1
