N	3gram	Vinokur_Ku_2	Mirosoze
1	не может быть	4	17
2	не было бы	1	5
3	вместе с тем	2	5
4	и в этой	1	4
5	это не было	1	3
6	и в самом	2	3
7	прежде всего в	1	2
8	до сих пор	1	2
9	хотя бы и	2	2
10	что он не	1	2
11	но он не	1	2
12	у достоевского и	1	2
13	к тому чтобы	1	2
14	смысле в каком	1	2
15	в том смысле	1	2
16	то время как	1	2
17	не только в	4	2
18	в конце концов	3	2
19	он уже не	1	2
20	не могут быть	1	2
21	на этом пути	1	2
22	в то время	1	2
23	тем что он	2	2
24	для того чтобы	8	2
25	что иное как	1	1
26	потому что он	2	1
27	что и это	1	1
28	но оно не	1	1
29	в самом деле	7	1
30	потому что не	1	1
31	всех русских писателей	1	1
32	в своей книге	1	1
33	том случае если	2	1
34	в зависимости от	4	1
35	только может быть	1	1
36	в том только	1	1
37	в иных случаях	1	1
38	в отличие от	2	1
39	он должен быть	1	1
40	в наше время	2	1
41	и т п	24	1
42	но это не	1	1
43	в том случае	2	1
44	должны привести к	1	1
45	и у других	1	1
46	может быть и	1	1
47	не может уже	1	1
48	но не как	1	1
49	в значительной степени	1	1
50	по сравнению с	1	1
51	не до конца	1	1
52	по природе своей	1	1
53	не только для	1	1
54	не в том	1	1
55	хуже всего что	1	1
56	все более и	1	1
57	в нынешнем его	1	1
58	во всяком случае	5	1
59	лишь в том	1	1
60	но не только	1	1
61	и в том	2	1
62	но также и	2	1
63	и никогда не	1	1
64	того что составляет	1	1
65	о том что	1	1
66	конце концов этот	1	1
67	в первый период	2	1
68	в вопросе о	1	1
69	более и более	1	1
70	не значит что	1	1
71	не что иное	1	1
72	можно было бы	9	1
73	в нем есть	1	1
74	он не хотел	1	1
75	по сравнению со	1	1
76	в том что	10	1
77	ответ на это	1	1
78	русская литература и	1	1
79	основании что в	1	1
80	есть вместе с	2	1
81	не только от	1	1
