N	3gram	Nazirov_Tr_1	Myshleni
1	в том что	2	19
2	по сравнению с	1	14
3	с самого начала	1	7
4	к тому что	1	7
5	в этом случае	1	2
6	и не может	1	2
7	и то что	1	2
8	то что он	1	2
9	не могут быть	1	2
10	вместо того чтобы	1	2
11	в скрытом виде	1	2
12	это мы видим	1	2
13	с того что	1	2
14	не только не	1	2
15	с тем и	1	2
16	в связи с	1	2
17	не может быть	1	2
18	на всем протяжении	1	1
19	не только по	1	1
20	обстоит дело с	1	1
21	самое большее что	1	1
22	и то в	1	1
23	как и все	1	1
24	что он не	1	1
25	в отличие от	2	1
26	как это часто	1	1
27	никакой роли в	1	1
28	точно так же	2	1
29	сам по себе	1	1
30	в данном случае	2	1
31	он и в	1	1
32	и в этом	1	1
33	не играют никакой	1	1
34	не имеет своих	1	1
35	связаны между собой	1	1
36	что при таком	1	1
37	и все же	1	1
38	и как бы	2	1
39	как и в	1	1
40	и он сам	1	1
41	который в своей	1	1
42	играют никакой роли	1	1
43	в самом деле	1	1
44	сводится только к	1	1
45	смысле этого слова	1	1
46	после того как	1	1
47	тем не менее	1	1
48	может быть в	1	1
49	скрытом виде в	1	1
50	в конце концов	1	1
