N	2gram	Kanaev_Sov_1	Vladivir
1	и в	7	31
2	не только	4	24
3	и не	6	17
4	и даже	2	15
5	у него	2	15
6	в этом	7	14
7	том что	1	14
8	что в	2	14
9	но в	3	12
10	в его	2	12
11	с его	1	11
12	о том	1	11
13	в том	4	11
14	он не	1	10
15	как мы	2	9
16	никогда не	1	9
17	в конце	3	9
18	только в	1	9
19	в течение	1	9
20	а в	4	9
21	и по	2	8
22	в то	1	8
23	в дальнейшем	4	8
24	так как	4	8
25	кроме того	1	7
26	мы уже	1	7
27	и его	1	7
28	уже в	3	7
29	сказать что	1	7
30	того же	1	6
31	то же	3	6
32	то он	1	6
33	и к	3	6
34	свое время	1	6
35	у нас	3	6
36	и что	2	6
37	может быть	12	6
38	на этот	2	6
39	и потому	3	6
40	не может	17	6
41	к этому	1	6
42	но как	1	5
43	и если	1	5
44	которой он	2	5
45	не в	3	5
46	вовсе не	1	5
47	не было	1	5
48	что же	5	5
49	все это	3	5
50	и от	1	5
51	с ним	1	5
52	в свое	1	5
53	жизни и	4	5
54	в своих	1	5
55	он уже	1	4
56	что его	1	4
57	совсем не	1	4
58	в этой	3	4
59	в своем	1	4
60	хотя и	1	4
61	в этот	1	4
62	в которой	2	4
63	в нашем	2	4
64	в себе	3	4
65	как он	3	4
66	в нем	3	4
67	этом смысле	1	4
68	как и	6	4
69	несмотря на	1	4
70	еще в	1	4
71	и вообще	1	4
72	дело в	1	4
73	же время	1	4
74	к нему	1	4
75	один из	1	4
76	и у	1	4
77	этот раз	1	4
78	и все	3	4
79	и особенно	1	4
80	такого рода	2	4
81	для нас	3	4
82	но не	1	3
83	и речи	1	3
84	отнюдь не	3	3
85	все же	3	3
86	в целом	4	3
87	он в	3	3
88	все эти	5	3
89	на его	2	3
90	через несколько	1	3
91	это конечно	1	3
92	но это	1	3
93	раз и	1	3
94	в науке	2	3
95	но только	1	3
96	и всегда	1	3
97	ничего не	6	3
98	таким образом	11	3
99	вся эта	1	3
100	человека как	1	3
101	тот же	2	3
102	и действительно	1	3
103	уже не	2	3
104	только на	1	3
105	в виде	2	3
106	но что	1	3
107	и из	1	3
108	с другой	1	3
109	по своим	1	3
110	только к	1	3
111	в связи	1	3
112	вместе с	4	3
113	в начале	1	3
114	это и	1	2
115	и до	1	2
116	по его	1	2
117	той же	2	2
118	для своего	1	2
119	еще не	3	2
120	он сам	1	2
121	знаем что	2	2
122	мы будем	1	2
123	нет и	4	2
124	один и	1	2
125	некоторое время	2	2
126	конечно не	1	2
127	из этих	2	2
128	и тот	1	2
129	что она	3	2
130	при этом	3	2
131	и еще	1	2
132	на этом	2	2
133	что все	2	2
134	было бы	3	2
135	ни в	1	2
136	точки зрения	12	2
137	что такое	2	2
138	это делает	1	2
139	почти не	1	2
140	не будем	2	2
141	тем не	2	2
142	необходимо сказать	1	2
143	этой области	1	2
144	не менее	2	2
145	что с	1	2
146	с и	1	2
147	очень мало	1	2
148	к концу	1	2
149	для его	2	2
150	на это	1	2
151	ясно что	3	2
152	во многом	1	2
153	что дело	1	2
154	но мы	3	2
155	она всегда	1	2
156	в вопросах	1	2
157	в которую	2	2
158	и мы	3	2
159	всяком случае	2	2
160	одной из	1	2
161	то и	2	2
162	чтобы он	1	2
163	а это	1	2
164	не из	1	2
165	из них	4	2
166	мы знаем	2	2
167	в очень	1	2
168	этот свой	1	2
169	по существу	1	2
170	несколько слов	1	2
171	и для	1	2
172	которых он	1	2
173	указать на	1	2
174	просто не	1	2
175	в результате	6	2
176	и ни	1	2
177	мы должны	4	2
178	на такой	1	2
179	совершенно не	2	2
180	в самом	2	2
181	и это	1	2
182	во всяком	2	2
183	все что	1	2
184	как известно	2	1
185	и гармоничность	1	1
186	а из	1	1
187	на самом	1	1
188	и есть	2	1
