N	2gram	Ircho_Kome_3	Poddanst
1	не только	5	17
2	и в	22	14
3	и не	21	12
4	в области	2	11
5	в этом	8	10
6	в отношении	4	10
7	в качестве	2	9
8	но в	5	9
9	то же	7	9
10	в том	12	9
11	в пределах	2	8
12	хотя бы	4	8
13	только в	1	7
14	в то	6	7
15	же время	5	7
16	в ней	4	6
17	было бы	3	6
18	но и	4	6
19	в смысле	1	6
20	отношении к	1	5
21	в которых	5	5
22	с другой	4	5
23	может быть	6	5
24	не в	4	5
25	и о	2	5
26	если бы	8	4
27	а также	2	4
28	в своем	8	4
29	и к	3	4
30	как бы	3	4
31	и если	2	4
32	том что	13	4
33	не может	3	4
34	и потому	1	4
35	в котором	2	4
36	на пути	1	4
37	что в	5	4
38	а в	7	4
39	то что	4	4
40	в с	1	4
41	и т	4	3
42	мы не	2	3
43	сводится к	1	3
44	столь же	3	3
45	между тем	2	3
46	это не	2	3
47	вслед за	1	3
48	хотя и	5	3
49	и как	1	3
50	тот же	2	3
51	с одной	3	3
52	в себе	4	3
53	в нем	3	3
54	е и	2	3
55	для того	6	3
56	прежде всего	5	3
57	одной стороны	3	3
58	с тем	4	3
59	что мы	2	3
60	и без	2	3
61	с точки	3	3
62	но не	1	3
63	наряду с	2	3
64	могут быть	1	3
65	т е	16	3
66	потому что	10	3
67	точки зрения	4	3
68	я и	1	3
69	и это	2	2
70	отношения к	2	2
71	например в	1	2
72	в ее	3	2
73	т а	1	2
74	в мире	2	2
75	было в	1	2
76	по сравнению	2	2
77	к началу	3	2
78	никак не	1	2
79	во всех	2	2
80	говорить о	3	2
81	если в	1	2
82	со стороны	11	2
83	в е	1	2
84	отнюдь не	4	2
85	с этим	3	2
86	стороны и	2	2
87	ii в	2	2
88	в начале	3	2
89	г и	2	2
90	и других	1	2
91	в его	8	2
92	из них	5	2
93	не к	1	2
94	в силу	2	2
95	как раз	6	2
96	где в	1	2
97	в статье	1	2
98	и с	4	2
99	и мы	3	2
100	iii в	6	2
101	и тем	1	2
102	для них	1	2
103	в них	3	2
104	не было	2	2
105	а не	4	2
106	более чем	5	2
107	суждений о	1	2
108	эта идея	1	2
109	образом на	1	2
110	не столько	1	2
111	друг другу	1	2
112	что из	1	2
113	не менее	5	2
114	все это	5	2
115	не о	3	2
116	да и	1	2
117	тем более	4	2
118	для нас	1	2
119	в частности	3	2
120	взгляда на	1	2
121	как на	1	2
122	том числе	1	2
123	с другом	1	1
124	и сын	1	1
125	же судьба	1	1
126	тем же	3	1
127	и этим	3	1
128	в себя	1	1
129	к жизни	1	1
130	как общество	1	1
131	чтобы дать	1	1
132	за то	2	1
133	те же	1	1
134	не с	2	1
135	в и	2	1
136	особенно в	1	1
137	и само	1	1
138	для римской	1	1
139	к первому	1	1
140	разработки в	1	1
141	в эпоху	2	1
142	для этого	1	1
143	тем чем	1	1
144	на себя	4	1
145	и ее	2	1
146	именно потому	2	1
147	и здесь	4	1
148	может не	1	1
149	настоящее время	1	1
150	и что	6	1
151	еще не	6	1
152	и на	2	1
153	он был	4	1
154	ответа на	1	1
155	с его	3	1
156	восходит к	1	1
157	учреждений и	1	1
158	глаза на	1	1
159	и главное	1	1
160	результат этого	1	1
161	закрывать глаза	1	1
162	что и	8	1
163	отличие от	2	1
164	них в	1	1
165	о положении	1	1
166	в истории	1	1
167	тем больше	1	1
168	которой в	1	1
169	тех пор	3	1
170	все же	4	1
171	ничего более	1	1
172	мы видим	1	1
173	более или	1	1
174	в какой	3	1
175	должен быть	2	1
176	в самом	9	1
177	но как	1	1
178	в которой	3	1
179	во времени	1	1
180	могли бы	1	1
181	представляет собой	3	1
182	чуть ли	1	1
183	из этих	1	1
184	если мы	2	1
185	в эти	1	1
186	человека с	1	1
187	что его	5	1
188	только один	2	1
189	уже в	2	1
190	в большинстве	1	1
191	только на	1	1
192	на то	3	1
193	если он	2	1
194	в мир	1	1
195	не могла	3	1
196	т д	1	1
197	было с	1	1
198	из этой	2	1
199	насколько мы	1	1
200	мы знаем	2	1
201	судьбы но	1	1
202	при виде	3	1
203	в восприятии	1	1
204	одно из	1	1
205	не как	2	1
206	к первой	1	1
207	к ним	3	1
208	друг друга	4	1
209	чтобы в	2	1
210	мы можем	3	1
211	и только	1	1
212	и по	1	1
213	следует понимать	1	1
214	прежде чем	3	1
215	с собой	1	1
216	от нее	3	1
217	в каждом	1	1
218	представляют собой	2	1
219	а затем	2	1
220	из двух	1	1
221	без того	1	1
222	не были	1	1
223	возможно что	3	1
224	в н	1	1
225	ней и	1	1
226	из всех	2	1
227	ясно что	6	1
228	его в	8	1
229	в душе	1	1
230	живет в	1	1
231	было и	1	1
232	а с	1	1
233	что не	3	1
234	в это	1	1
235	в ином	1	1
236	по всему	3	1
237	далеко не	3	1
238	в этой	3	1
239	отношения в	1	1
240	на основании	2	1
241	как и	3	1
242	с которым	1	1
243	как ни	1	1
244	и я	2	1
245	мы вполне	1	1
246	в развитии	2	1
247	нисколько не	3	1
248	когда в	1	1
249	и еще	3	1
250	или менее	1	1
251	работы в	1	1
252	в которые	1	1
253	так же	4	1
254	и особенно	2	1
255	всяком случае	3	1
256	прийти к	1	1
257	место в	1	1
258	в отличие	1	1
259	вдали от	1	1
260	знаем что	1	1
261	вела к	1	1
262	вопрос о	1	1
263	сравнению с	2	1
264	в сборнике	1	1
265	любовь и	1	1
266	чем к	2	1
267	на чужбине	3	1
268	теми же	1	1
269	как к	1	1
270	в прошлом	1	1
271	друг с	1	1
272	того кто	2	1
273	и вся	1	1
274	что происходит	2	1
275	в основном	1	1
276	эта мысль	1	1
277	в р	1	1
278	стремление к	1	1
279	что эта	2	1
280	с которой	1	1
281	она не	2	1
282	что с	2	1
283	она должна	1	1
284	того чтобы	6	1
285	не имеет	3	1
286	никогда не	3	1
287	в результате	2	1
288	в отношениях	2	1
289	о котором	1	1
290	в настоящее	1	1
291	чтобы понять	1	1
292	находятся в	1	1
293	уверенность что	1	1
294	и притом	1	1
295	что по	1	1
