1	по отношению к	5	9
2	в том что	16	7
3	более или менее	3	5
4	в то же	5	5
5	то же время	5	5
6	с другой стороны	4	5
7	одно и то	5	3
8	тем не менее	3	3
9	не может быть	3	3
10	можно сказать что	2	3
11	так или иначе	1	3
12	и то же	5	3
13	может быть названо	1	2
14	в противном случае	1	2
15	сама по себе	2	2
16	к тому что	2	2
17	для того чтобы	3	2
18	с одной стороны	3	2
19	искусства может быть	1	2
20	в свою очередь	3	2
21	значении этого слова	1	2
22	том что она	1	1
23	не могут быть	2	1
24	на первый взгляд	1	1
25	таким образом и	1	1
26	быть не может	1	1
27	по себе а	4	1
28	все то что	1	1
29	отношения к миру	1	1
30	для себя и	1	1
31	что даже в	1	1
32	то же самое	1	1
33	в произведении искусства	3	1
34	друг от друга	1	1
35	том что он	2	1
36	но не в	1	1
37	их отношении к	1	1
38	состоит не в	1	1
39	то же художественное	1	1
40	точки зрения и	1	1
41	в его сознание	1	1
42	к нему как	2	1
43	и в слове	2	1
44	таким образом что	1	1
45	к субъекту и	1	1
46	по крайней мере	5	1
47	соединению с другими	1	1
48	а в том	5	1
49	в том случае	1	1
50	заключать в себе	1	1
51	на свое место	1	1
52	заключает в себе	5	1
53	к тому же	1	1
54	из того что	1	1
55	и не дает	1	1
56	в себе самом	1	1
57	себе еще не	1	1
58	того что не	1	1
59	может быть назван	1	1
60	могли бы быть	1	1
61	бы ни был	1	1
62	это было бы	1	1
63	именно потому что	1	1
64	тем и другим	1	1
65	не принадлежат к	1	1
66	в то время	4	1
67	в художественном произведении	1	1
68	к вопросу о	1	1
69	имея в виду	1	1
70	в таком случае	2	1
71	и в самом	2	1
72	а можно только	1	1
73	и тем самым	1	1
74	подобно тому как	2	1
75	о том что	1	1
76	и в том	2	1
77	себя и что	1	1
78	как и в	2	1
79	в их отношении	1	1
80	в таких случаях	1	1
81	что он не	3	1
82	а тем более	1	1
83	по себе еще	1	1
84	заключается в том	1	1
85	только то что	1	1
