N	4gram	Losev_Vlad_3	KulturaY
1	и тем не менее	1	3
2	в том случае когда	1	3
3	обращает на себя внимание	2	1
4	на которых он мог	1	1
5	только в том случае	3	1
6	не выходит за пределы	1	1
7	и вместе с тем	2	1
8	с этой точки зрения	1	1
9	во что бы то	2	1
10	в самом деле ведь	1	1
11	не принимая во внимание	1	1
12	бы то ни стало	2	1
13	которых он мог бы	1	1
14	что бы то ни	2	1
15	же при таких условиях	1	1
16	а с другой стороны	2	1
17	и в то же	2	1
18	не с точки зрения	1	1
19	эта заключается в том	1	1
20	мы должны сказать что	1	1
21	сам по себе уже	1	1
22	в то же время	2	1
23	заключается в том что	1	1
