N	2gram	Nazirov_Tr_1	Problema
1	то есть	3	46
2	в его	3	43
3	и не	7	42
4	и в	18	38
5	не может	5	27
6	может быть	7	26
7	как бы	7	22
8	отнюдь не	3	19
9	и с	7	17
10	и его	6	16
11	в этом	9	15
12	в нем	4	15
13	и т	1	14
14	только в	1	13
15	т п	1	13
16	прежде всего	4	13
17	но не	1	12
18	за пределы	1	12
19	во всех	1	11
20	в области	1	11
21	ни в	2	11
22	отношение к	2	10
23	таким образом	1	10
24	к нему	3	10
25	не только	8	9
26	не имеет	2	9
27	его в	2	9
28	но и	4	9
29	и как	3	8
30	в том	2	8
31	и др	1	8
32	то что	4	8
33	еще не	4	7
34	в самом	2	7
35	вообще не	1	7
36	как и	5	7
37	не в	2	7
38	как мы	1	7
39	между тем	1	7
40	отметить что	1	7
41	слова в	1	7
42	с помощью	1	7
43	совершенно не	1	7
44	в своей	1	7
45	что в	4	7
46	самом деле	1	6
47	и наконец	1	6
48	не к	1	6
49	не есть	1	6
50	ничего не	2	6
51	дело с	1	6
52	все же	5	6
53	высшей степени	1	5
54	отличие от	2	5
55	в своем	3	5
56	все эти	3	5
57	при этом	3	5
58	то же	5	5
59	это не	5	5
60	в них	1	5
61	рядом с	1	5
62	в высшей	1	5
63	в отличие	2	5
64	так и	5	5
65	и о	1	5
66	никогда не	2	5
67	с ним	3	5
68	за бортом	1	5
69	а не	1	5
70	могут быть	1	5
71	должно быть	3	5
72	должна быть	1	4
73	в виду	1	4
74	в ней	1	4
75	как в	3	4
76	но в	6	4
77	в себе	4	4
78	перестает быть	1	4
79	в данном	2	4
80	не менее	1	4
81	но они	2	4
82	тем самым	3	4
83	в то	5	4
84	известной степени	1	4
85	позицию по	1	4
86	в ее	2	4
87	данном случае	2	4
88	можно было	1	4
89	о том	2	4
90	с ними	1	4
91	в форме	1	4
92	что не	1	4
93	в романе	10	4
94	только по	1	4
95	и потому	1	4
96	искусства но	1	4
97	хотя бы	1	4
98	ли мы	1	3
