N	2gram	Tiupa_Disk_2	Problemy
1	и в	16	46
2	то есть	12	40
3	и не	15	27
4	чужого слова	1	23
5	может быть	16	23
6	не может	9	19
7	как бы	4	19
8	в нем	7	17
9	в этом	16	16
10	не только	10	14
11	и т.п	12	14
12	перед нами	3	12
13	но и	11	12
14	как и	16	12
15	и на	5	11
16	точки зрения	4	11
17	в одном	4	11
18	а не	14	11
19	в пределах	4	10
20	не в	3	10
21	между ними	1	10
22	в самом	1	9
23	с точки	2	9
24	и все	3	9
25	в его	3	9
26	в том	8	9
27	в большинстве	2	9
28	вовсе не	1	9
29	прежде всего	7	9
30	чужому слову	1	9
31	достоевского в	1	8
32	большинстве случаев	1	8
33	в сущности	1	7
34	еще не	6	7
35	в себе	19	7
36	и с	2	7
37	слова и	1	7
38	к чужому	1	7
39	то же	6	6
40	никогда не	2	6
41	хотя и	1	6
42	но в	11	6
43	слово в	1	6
44	к одному	1	6
45	ни в	7	6
46	пределах одного	1	6
47	на фоне	1	6
48	но это	3	6
49	на свой	1	6
50	и его	3	6
51	о нем	1	6
52	что он	2	6
53	только в	3	6
54	есть в	2	6
55	друг друга	1	6
56	и между	1	6
57	к себе	1	6
58	все это	2	6
59	в романе	1	6
60	к другому	1	5
61	в котором	3	5
62	с его	6	5
63	во всех	1	5
64	по отношению	4	5
65	за пределы	1	5
66	так сказать	1	5
67	при этом	17	5
68	это не	3	5
69	в жизни	1	5
70	в то	5	5
71	себе самом	1	5
72	и сам	1	5
73	о том	4	5
74	же время	5	5
75	речи и	1	5
76	отношению к	4	5
77	жизни и	3	5
78	например в	3	4
79	самом деле	1	4
80	мы не	1	4
81	но не	7	4
82	как в	8	4
83	все же	6	4
84	все эти	3	4
85	он не	3	4
86	таким образом	1	4
87	и наконец	3	4
88	том что	10	4
89	в этих	3	4
90	своего рода	10	4
91	том же	1	4
92	в процессе	1	4
93	во всем	1	4
94	потому что	4	4
95	слова но	1	4
96	здесь не	2	4
97	в себя	2	4
98	приводит к	3	4
99	так и	9	4
100	и здесь	1	4
101	можно сказать	3	4
102	же и	1	4
103	уже не	3	4
104	двуголосого слова	1	4
105	точек зрения	1	4
106	еще и	1	4
107	до конца	1	4
108	превращается в	1	4
109	себе самому	2	4
110	на границе	1	4
111	да и	1	4
112	должно быть	2	4
113	слово здесь	1	4
114	то что	5	4
115	не знает	3	4
116	что в	5	4
117	том числе	1	4
118	себя как	1	3
119	одним из	1	3
120	также и	3	3
