N	2gram	Savitsky_P_1	Myslijsy
1	потому что	3	33
2	то что	4	29
3	может быть	5	26
4	в этом	10	23
5	в том	9	23
6	и в	14	23
7	и не	12	18
8	что в	4	17
9	только в	7	15
10	то же	9	14
11	в себе	3	14
12	как и	1	14
13	того что	2	14
14	для нас	2	14
15	если бы	4	13
16	не было	2	12
17	а не	2	12
18	том что	4	12
19	не в	5	11
20	по себе	4	11
21	но и	6	11
22	не может	4	11
23	не только	17	10
24	мы можем	1	10
25	что мы	3	10
26	и потому	4	10
27	между тем	3	9
28	не есть	1	9
29	мы не	3	8
30	в своем	4	8
31	но в	9	8
32	заключает в	2	8
33	было бы	6	8
34	тогда когда	1	8
35	и т	3	7
36	поэзии и	1	7
37	с этим	2	7
38	что это	1	7
39	на то	1	7
40	в нем	3	7
41	в силу	2	7
42	мысли и	1	7
43	это не	3	7
44	и что	1	7
45	что и	1	7
46	с тем	3	7
47	могут быть	3	7
48	что если	1	6
49	и к	4	6
50	в которой	1	6
51	мысль о	2	6
52	тех пор	1	6
53	что не	1	6
54	до тех	1	6
55	для того	3	6
56	в ряду	2	6
57	вместе с	1	6
58	тем и	1	6
59	и то	1	5
60	есть нечто	2	5
61	говорить о	2	5
62	хотя и	3	5
63	бы и	1	5
64	есть для	1	5
65	как бы	4	5
66	и мы	2	5
67	должно быть	2	5
68	не менее	2	5
69	не имеет	1	5
70	находится в	1	5
71	есть в	2	5
72	уже в	1	5
73	в его	2	5
74	само по	1	5
75	все это	2	5
76	тем более	2	5
77	а в	4	5
78	во всяком	1	5
79	есть не	2	4
80	и о	5	4
81	в истории	1	4
82	могли бы	1	4
83	думать что	2	4
84	что все	1	4
85	и с	2	4
86	его в	1	4
87	и тем	2	4
88	точки зрения	3	4
89	в котором	4	4
90	и более	1	4
91	в то	7	4
92	того чтобы	1	4
93	в каком	1	4
94	быть может	6	4
95	хотя бы	8	4
96	только на	1	4
97	но есть	1	4
98	на основании	1	4
99	так же	1	4
100	мысли но	1	4
101	в данном	1	4
102	да и	2	4
103	в сравнении	3	4
104	только как	1	4
105	тем самым	3	4
106	например в	2	3
107	переход от	2	3
108	и есть	2	3
109	которое в	2	3
110	еще не	1	3
111	и на	1	3
112	там где	1	3
113	в самом	1	3
114	формы в	1	3
115	и если	4	3
116	т д	1	3
117	и по	1	3
118	на нее	1	3
119	в каждом	1	3
120	в них	2	3
121	ведет к	1	3
122	с точки	3	3
123	в которых	5	3
124	что есть	1	3
125	никогда не	1	3
126	же время	7	3
127	те же	1	3
128	было в	2	3
129	связь между	1	3
130	и только	1	3
131	с ними	3	3
132	и других	2	3
133	всяком случае	1	3
134	со стороны	2	3
135	именно в	2	3
136	более чем	2	3
137	нет ничего	1	3
138	между прочим	2	3
139	в смысле	6	3
140	что то	1	3
141	и другим	1	3
142	в этих	1	3
143	только что	1	3
144	давно уже	1	3
145	не вполне	1	2
146	оно есть	1	2
147	мы и	1	2
148	в ней	6	2
149	не нужно	2	2
150	и многие	1	2
151	столь же	3	2
152	в различных	1	2
153	к ним	1	2
