N	3gram	Vygotskiy__4	Mirosoze
1	не может быть	1	17
2	не было бы	1	5
3	вместе с тем	2	5
4	это и есть	3	4
5	а не в	1	4
6	и в этой	1	4
7	и вместе с	1	4
8	мы увидим что	1	3
9	и в самом	2	3
10	с тем что	1	3
11	и в конце	2	2
12	в конце концов	3	2
13	никогда не был	1	2
14	что он не	4	2
15	и не может	1	2
16	но он не	1	2
17	в то время	2	2
18	по отношению к	1	2
19	не только в	1	2
20	и на этом	1	2
21	то время как	2	2
22	для того чтобы	19	2
23	а не только	1	2
24	к тому чтобы	3	2
25	до сих пор	3	2
26	о том что	10	1
27	и не было	1	1
28	и в самой	1	1
29	тем что в	1	1
30	что иное как	1	1
31	может быть он	1	1
32	в нем есть	1	1
33	до конца и	1	1
34	и никогда не	1	1
35	потому что не	1	1
36	и т п	3	1
37	и когда мы	1	1
38	что и в	1	1
39	она не может	1	1
40	в том что	12	1
41	друг к другу	1	1
42	не до конца	1	1
43	несет в себе	3	1
44	как бы в	1	1
45	того что составляет	1	1
46	открыть что в	1	1
47	с психологической точки	1	1
48	что до сих	1	1
49	которых он сам	1	1
50	не что иное	1	1
51	в этом все	1	1
52	и есть та	1	1
53	в которых он	1	1
54	и у него	1	1
55	и та же	2	1
56	так же мало	1	1
57	у него не	1	1
58	в самом деле	7	1
59	сам не может	1	1
60	у него нет	1	1
61	имел в виду	1	1
62	потому что он	2	1
63	в нем нет	2	1
64	одна и та	2	1
65	психологической точки зрения	1	1
66	ставит нас перед	1	1
67	всего того что	1	1
68	новый свет и	1	1
69	и всякий раз	1	1
70	уже в конце	1	1
71	только с одним	1	1
72	отрицанию не только	1	1
73	чтобы открыть что	1	1
74	во всех этих	2	1
75	по прямой линии	3	1
76	к отрицанию не	1	1
77	во всяком случае	3	1
78	яснее и проще	1	1
79	есть только одно	1	1
80	можно было бы	4	1
81	человек и в	1	1
