N	3gram	Losev_Prob_3	EvropaiE
1	с точки зрения	2	16
2	в то же	4	15
3	с одной стороны	1	8
4	в том что	9	6
5	с этой точки	1	5
6	так же как	1	5
7	этой точки зрения	2	5
8	для того чтобы	1	5
9	бы то ни	4	4
10	не только в	2	4
11	то ни было	3	4
12	и в этом	6	4
13	того или иного	3	4
14	само по себе	3	4
15	той или иной	8	4
16	в той или	2	3
17	же как и	2	3
18	можно было бы	3	3
19	ту или иную	1	3
20	во всяком случае	6	3
21	как бы ни	1	3
22	можно сказать что	2	3
23	сказать что в	1	2
24	только в том	1	2
25	из того что	1	2
26	и в частности	2	2
27	в данном случае	7	2
28	тому или иному	1	2
29	заключается в том	3	2
30	каких бы то	1	2
31	по сравнению с	2	2
32	и только в	2	2
33	так и в	1	2
34	с другой стороны	5	2
35	не может быть	5	2
36	по себе не	1	2
37	на то что	1	2
38	друг от друга	2	2
39	приводит нас к	1	2
40	как мы видели	2	2
41	и того же	1	1
42	то в отношении	1	1
43	хотя и не	2	1
44	что в этом	1	1
45	мы хотели бы	1	1
46	из всего этого	1	1
47	дело в том	3	1
48	хотя бы только	1	1
49	более или менее	1	1
50	в тех случаях	1	1
51	имеют дело с	1	1
52	что для него	1	1
53	что же касается	4	1
54	как и другие	1	1
55	и не было	1	1
56	и не только	1	1
57	и не в	1	1
58	именно к тому	1	1
59	и то и	1	1
60	то и другое	1	1
61	есть то что	1	1
62	в отличие от	2	1
63	но и в	2	1
64	тех случаях когда	1	1
65	к тому или	1	1
66	с тем что	1	1
67	на этот вопрос	1	1
68	поскольку она не	1	1
69	то или иное	2	1
70	может быть и	3	1
71	оно всегда в	1	1
72	и в своем	1	1
73	мы находим у	1	1
74	и когда мы	1	1
75	здесь говорить о	1	1
76	но они вполне	1	1
77	на этот раз	3	1
78	смысле этого слова	1	1
79	только в виде	1	1
80	значение также и	1	1
81	во всех этих	1	1
82	то время как	4	1
83	в связи с	7	1
84	друг к другу	1	1
85	мы не станем	1	1
86	ли здесь говорить	1	1
87	этот вопрос мы	1	1
88	ничего иного кроме	1	1
89	имеет для нас	1	1
90	что и сам	2	1
91	вовсе не в	2	1
92	мы не можем	1	1
93	но также и	2	1
94	том смысле что	3	1
95	в то время	4	1
96	говорить о том	1	1
97	та или иная	3	1
98	то есть в	3	1
99	только и можно	2	1
100	и тем самым	2	1
101	это значит что	2	1
102	и тем более	2	1
103	на то или	1	1
104	именно потому что	3	1
105	речь идет о	1	1
106	было бы смешно	1	1
107	одного и того	1	1
108	для нас значение	2	1
109	к тому что	1	1
110	в том смысле	3	1
111	тех или иных	4	1
112	в ту или	1	1
113	при помощи которого	1	1
114	в себе не	1	1
115	к тому же	1	1
116	только тогда когда	1	1
117	поскольку речь идет	1	1
118	и т д	13	1
