N	2gram	Medvedev_B_1	slovoVRo
1	и в	1	41
2	не только	1	16
3	и не	2	16
4	а не	1	15
5	и на	1	14
6	в пределах	1	14
7	до конца	1	12
8	так и	1	11
9	таким образом	1	9
10	прежде всего	1	8
11	все же	1	7
12	стиля и	1	7
13	в своей	1	7
14	во всяком	1	7
15	установка на	1	6
16	далеко не	1	5
17	всяком случае	1	5
18	все это	2	5
19	с другой	1	5
20	в ней	2	4
21	еще не	1	4
22	за пределы	1	4
23	и потому	1	4
24	кроме того	1	4
25	другой стороны	1	4
26	было бы	1	3
27	и ее	1	3
28	и во	1	3
29	выходит за	1	3
30	не было	1	3
31	в данном	1	3
32	одной из	1	3
33	на самом	1	2
34	у нас	3	2
35	и о	1	2
36	можно было	2	2
37	не укладывается	1	2
38	точке зрения	1	2
39	совершенно не	1	2
40	что все	1	2
41	между ними	1	2
42	художественного произведения	1	1
43	его не	1	1
44	не все	1	1
45	в значительной	1	1
46	значительной степени	1	1
47	о художественной	1	1
48	как некоторого	1	1
49	по крайней	1	1
50	и более	1	1
51	всего в	1	1
52	же не	1	1
53	своей книге	1	1
54	крайней мере	1	1
55	со всем	1	1
56	без понимания	1	1
57	и нет	1	1
58	тем более	1	1
59	выпадают из	1	1
