N	3gram	Losev_Vlad_2	Literetu
1	в том что	9	11
2	так или иначе	3	8
3	в отличие от	3	5
4	то же время	3	5
5	в то же	3	5
6	в данном случае	2	4
7	не только в	2	4
8	в связи с	8	4
9	при этом в	1	3
10	том же году	1	3
11	и прежде всего	1	3
12	в том же	2	3
13	дело в том	3	2
14	не говоря уже	2	2
15	с точки зрения	3	2
16	в этом отношении	1	2
17	и то что	5	2
18	чуть ли не	1	2
19	во всяком случае	6	2
20	в целом но	1	2
21	духовного общения людей	1	2
22	еще в году	1	2
23	о том что	3	2
24	тем не менее	6	2
25	а иной раз	1	1
26	однако нельзя сказать	1	1
27	то что я	1	1
28	в последнее время	2	1
29	в году когда	1	1
30	я люблю но	1	1
31	может быть названа	1	1
32	между прочим и	2	1
33	не так просто	1	1
34	на то что	2	1
35	во многих случаях	1	1
36	том что он	2	1
37	как раз и	1	1
38	так и не	2	1
39	не было на	1	1
40	не могли быть	1	1
41	бы то ни	1	1
42	никак не мог	1	1
43	можно было бы	2	1
44	по крайней мере	4	1
45	по этому поводу	1	1
46	то в чем	1	1
47	и в частности	1	1
48	в это время	4	1
49	за собой и	1	1
50	на эту тему	2	1
51	но в то	1	1
52	в самом деле	1	1
53	к этой книге	1	1
54	говоря уже о	2	1
55	а также и	1	1
56	раз и является	1	1
57	однако в данном	1	1
58	тех пор пока	1	1
59	как нам представляется	1	1
60	хотя бы на	1	1
61	но только в	1	1
62	то было у	1	1
63	не может быть	1	1
64	только то что	1	1
65	ничего общего с	1	1
66	до тех пор	1	1
67	имел в виду	1	1
68	в свою очередь	2	1
69	до сих пор	1	1
70	с самого начала	1	1
71	что же именно	1	1
72	но все же	1	1
73	во второй половине	2	1
74	но дело в	2	1
75	в том числе	1	1
76	пока еще не	1	1
77	здесь как и	1	1
78	к тому же	1	1
79	как мы знаем	4	1
