N	2gram	Medvedev_V_1	PoTuStor
1	может быть	22	17
2	и в	26	16
3	в этом	26	9
4	таким образом	31	9
5	прежде всего	13	9
6	точки зрения	3	8
7	и его	6	8
8	не может	17	8
9	совершенно не	1	8
10	с его	3	7
11	не только	25	7
12	фрейд и	1	7
13	сказать что	5	7
14	самом деле	1	6
15	конечно не	1	6
16	и это	1	6
17	для него	8	6
18	и к	3	6
19	бессознательное и	1	5
20	еще не	2	5
21	в чем	2	5
22	отношение к	1	5
23	все эти	6	5
24	что такое	2	5
25	только для	1	5
26	ни в	1	5
27	по фрейду	1	5
28	в него	1	5
29	как бы	5	5
30	и ее	4	4
31	отнюдь не	3	4
32	и наконец	2	4
33	но в	2	4
34	в этой	4	4
35	в нем	6	4
36	и может	2	4
37	его в	3	4
38	художественного творчества	18	4
39	все это	10	4
40	самого начала	1	4
41	как мы	1	4
42	с ее	1	4
43	так и	5	4
44	можно сказать	4	4
45	в его	14	4
46	а потому	1	4
47	с ними	4	4
48	только в	7	4
49	и их	3	4
50	и даже	2	4
51	но и	10	4
52	и не	19	4
53	и все	1	4
54	хотя бы	19	4
55	во всех	6	3
56	в общем	2	3
57	и есть	5	3
58	сознательное и	1	3
59	и как	3	3
60	и художественного	3	3
61	мы полагаем	1	3
62	их в	6	3
63	на этом	1	3
64	этом смысле	1	3
65	том что	8	3
66	во время	3	3
67	никаких оснований	2	3
68	сих пор	1	3
69	в одном	4	3
70	по крайней	2	3
71	в основе	1	3
72	до сих	1	3
73	мира и	3	3
74	по сравнению	1	3
75	представлений и	2	3
76	на язык	2	3
77	в конечном	7	3
78	с другими	2	3
79	крайней мере	2	3
80	в том	15	3
81	только на	1	3
82	мы знаем	3	3
83	всяком случае	1	3
84	полагаем что	1	3
85	даже не	2	3
86	в области	2	3
87	и др	9	3
88	вместе с	7	3
89	и потому	2	3
90	как это	12	3
91	сравнению с	1	3
92	могут быть	5	3
93	в основном	5	3
94	что в	10	3
95	в этих	1	3
96	и бессознательное	2	3
97	а в	3	3
98	то что	6	3
99	между ними	3	3
100	жизни и	3	3
101	во всяком	1	3
102	ту же	2	2
103	же как	2	2
104	определить как	2	2
105	в самом	4	2
106	и этот	2	2
107	из сказанного	1	2
108	говорить о	2	2
109	между собой	1	2
110	снов и	1	2
111	из этих	7	2
112	но как	3	2
113	конечном счете	5	2
114	нет и	3	2
115	за пределы	1	2
116	с этим	3	2
117	сознания при	1	2
118	и через	2	2
119	но ведь	1	2
120	он не	2	2
121	момента в	1	2
122	и по	3	2
123	то же	10	2
124	по своему	1	2
125	связанных с	1	2
126	на протяжении	1	2
127	было бы	7	2
128	в жизни	2	2
129	кажется что	1	2
130	в них	4	2
131	как и	7	2
132	между собою	2	2
133	потому и	1	2
134	в своей	4	2
135	почти не	1	2
136	знаем что	2	2
137	не менее	2	2
138	в науке	2	2
139	никогда не	4	2
140	сущность его	1	2
141	сводится к	3	2
142	понятия и	1	2
143	что на	1	2
144	в каком	1	2
145	он склонен	1	2
146	все то	1	2
147	не могут	7	2
148	что оно	3	2
149	как не	1	2
150	на основе	5	2
151	только то	2	2
152	в пределах	5	2
153	о бессознательном	1	2
154	по аналогии	1	2
155	для этого	1	2
156	с ним	1	2
157	это главное	1	2
158	о том	10	2
159	аналогии с	1	2
160	для нас	1	2
161	что и	3	2
162	во всей	2	2
163	может иметь	1	2
164	один из	5	2
165	сновидения и	2	2
166	оно и	1	2
167	образов и	4	2
168	мы видим	1	2
169	что он	4	2
170	и так	1	2
171	всех его	2	2
172	есть в	1	2
173	с нею	2	2
174	в итоге	1	2
175	можно определить	2	2
176	в начале	1	2
177	и других	1	2
178	к ним	1	2
179	при всей	2	2
180	у него	6	2
181	момент в	3	2
182	себя и	1	2
