N	3gram	Bakhtin_sl_2	RusskieA
1	в том что	4	15
2	и т д	2	9
3	том что в	1	6
4	в этом случае	6	5
5	в связи с	2	4
6	о том что	1	4
7	с точки зрения	3	3
8	мы не можем	1	3
9	тем не менее	1	3
10	для наших целей	1	2
11	и связанные с	2	2
12	может быть и	2	2
13	это не значит	1	2
14	друг к другу	1	2
15	в свою очередь	2	2
16	но все же	4	2
17	в большинстве случаев	5	2
18	не исключена возможность	1	1
19	а следовательно и	1	1
20	хотя и не	1	1
21	время от времени	1	1
22	иметь в виду	1	1
23	и наконец в	2	1
24	по отношению к	4	1
25	всяком случае не	1	1
26	дело не только	1	1
27	из самых распространенных	1	1
28	и не только	1	1
29	связанные с этим	1	1
30	и в дальнейшем	1	1
31	в этом отношении	3	1
32	в собственном смысле	3	1
33	и т п	33	1
34	говорит о том	1	1
35	и могут быть	1	1
36	не до конца	1	1
37	только одна из	1	1
38	у него нет	2	1
39	не только в	2	1
40	и этого мало	1	1
41	в один из	1	1
42	как поэтический образ	1	1
43	независимо от него	1	1
44	в отличие от	12	1
45	во всех этих	1	1
46	не только как	1	1
47	во всяком случае	2	1
48	отнести за счет	1	1
49	в целом ряде	1	1
50	необходимо иметь в	1	1
51	в русском языке	1	1
52	в нашем быту	1	1
53	на то что	1	1
54	в этой роли	1	1
55	носят ли они	1	1
56	в этих случаях	1	1
57	как мы уже	2	1
58	как и в	1	1
59	быту и в	1	1
60	мы увидим что	1	1
61	как мы видели	1	1
62	но и этого	1	1
