N	3gram	Trubetskoy_1	StatiiOP
1	в том что	15	11
2	не может быть	3	5
3	то обстоятельство что	1	5
4	по крайней мере	1	4
5	с точки зрения	8	4
6	то время как	1	4
7	во всяком случае	2	4
8	с другой стороны	4	4
9	о том что	4	4
10	в то время	2	4
11	состоит в том	1	3
12	в конце концов	4	3
13	не в том	1	3
14	в связи с	3	3
15	то же время	2	3
16	на то что	7	3
17	в то же	2	3
18	а потому что	1	2
19	это не так	1	2
20	до сих пор	8	2
21	в этой области	4	2
22	с одной стороны	2	2
23	должна была бы	1	2
24	во всех этих	2	2
25	между тем как	1	2
26	заключается в том	2	2
27	с самого начала	1	2
28	что это есть	1	2
29	по этому поводу	1	2
30	но все же	2	2
31	только тогда когда	1	2
32	тем более что	1	2
33	к тому что	1	2
34	а с другой	2	2
35	тем не менее	4	2
36	независимо от того	1	2
37	и в конце	1	1
38	и может быть	2	1
39	не может не	3	1
40	одна из этих	1	1
41	иметь в виду	1	1
42	а не в	1	1
43	и той же	1	1
44	но так как	2	1
45	в том виде	2	1
46	и для самого	1	1
47	более или менее	7	1
48	на самом деле	7	1
49	в самом деле	5	1
50	что же касается	2	1
51	то же самое	1	1
52	он не может	2	1
53	на эти темы	1	1
54	принять во внимание	2	1
55	то что эти	1	1
56	том что он	2	1
57	тот или иной	1	1
58	говоря уже о	1	1
59	вместе с тем	2	1
60	настолько сильна что	1	1
61	является одним из	1	1
62	но в сущности	1	1
63	ко всему этому	2	1
64	и если бы	1	1
65	можно было бы	1	1
66	потому что для	1	1
67	в лучшем случае	1	1
68	с этой точки	1	1
69	а как бы	1	1
70	один общий тон	1	1
71	к ней и	1	1
72	но в целом	1	1
73	в том же	3	1
74	того что в	1	1
75	ответить на вопрос	2	1
76	как и вообще	1	1
77	так или иначе	5	1
78	приводит к тому	1	1
79	а лишь о	1	1
80	и сам он	1	1
81	все что мы	1	1
82	в этом и	1	1
83	и при помощи	1	1
84	это есть не	1	1
85	примеры показывают что	1	1
86	что несмотря на	2	1
87	этой точки зрения	1	1
88	том виде в	1	1
89	может быть не	1	1
90	таким образом в	3	1
91	нельзя не отметить	1	1
92	в одно целое	1	1
93	в свою очередь	2	1
94	и что если	1	1
95	что у него	1	1
96	не только не	1	1
97	в дальнейшем же	1	1
98	не менее в	1	1
99	этой области не	1	1
100	в другом случае	1	1
101	на пути к	1	1
102	одной и той	1	1
103	что все они	1	1
104	не знает что	1	1
105	для того чтобы	7	1
106	что именно этот	1	1
107	благодаря тому что	1	1
108	как мы видели	1	1
109	не говоря уже	1	1
110	и в другом	1	1
