1	в то же время	2	3
2	в начале xix века	1	3
3	состоит в том что	3	2
4	что мы имеем в	1	2
5	заключается в том что	2	2
6	в самом деле может	1	1
7	не в том чтобы	3	1
8	и в самом деле	2	1
9	указания на то что	1	1
10	о том что он	1	1
11	и т п ср	1	1
12	в том что не	1	1
13	в том смысле что	1	1
14	и то обстоятельство что	1	1
15	ср с другой стороны	1	1
16	и т д разумеется	1	1
17	я имею в виду	1	1
18	с этой точки зрения	1	1
19	т е как бы	2	1
20	и т д по	1	1
21	а с другой стороны	2	1
22	не в том что	1	1
23	то обстоятельство что в	2	1
