N	3gram	Tiupa_Hudo_2	NovoeSre
1	не может быть	3	4
2	подобно тому как	4	3
3	так же как	2	2
4	с одной стороны	3	2
5	с другой стороны	1	2
6	что она не	2	1
7	и в жизни	1	1
8	а не в	2	1
9	то время как	1	1
10	в том числе	1	1
11	же как и	1	1
12	до сих пор	2	1
13	том случае если	1	1
14	о том чтобы	1	1
15	том числе и	1	1
16	в то что	1	1
17	можно было бы	2	1
18	нет у него	1	1
19	к жизни и	1	1
20	в том случае	1	1
21	в этих категориях	1	1
22	жизни как в	1	1
23	не только в	2	1
24	и от нее	1	1
25	как будто бы	2	1
26	во внешних формах	1	1
27	лишь в том	1	1
28	я не могу	1	1
29	о том что	7	1
30	в то время	1	1
31	не в духе	2	1
32	в значительной степени	1	1
33	и для чего	1	1
34	та или иная	1	1
35	в духовной глубине	1	1
36	в том что	11	1
37	как и в	3	1
