N	4gram	Vinokur_Ku_1	EvropaiC
1	о котором идет речь	2	5
2	в том случае если	1	4
3	одного и того же	2	3
4	заключается в том что	2	3
5	что же касается до	1	2
6	в то же время	2	2
7	для того чтобы быть	2	2
8	одно и то же	1	1
9	в том что оно	2	1
10	только в том случае	1	1
11	и с точки зрения	1	1
12	есть ничто иное как	1	1
13	на то обстоятельство что	2	1
14	котором идет речь в	1	1
15	в зависимости от среды	1	1
16	о том что он	1	1
17	стоит в связи с	1	1
18	но с другой стороны	1	1
19	не в том что	1	1
20	в том что он	3	1
21	состоит в том что	3	1
22	не трудно видеть что	1	1
23	в самом широком смысле	1	1
24	ни то ни другое	1	1
25	а в том что	2	1
26	в тех случаях когда	2	1
