N	2gram	Tiupa_Vved_1	Komedia
1	и в	13	22
2	и не	12	21
3	том что	7	13
4	таким образом	4	12
5	в том	10	12
6	со стороны	5	11
7	в доме	1	10
8	потому что	5	10
9	в самом	2	9
10	вместе с	1	9
11	в этом	21	8
12	в своем	5	8
13	о том	5	8
14	если бы	7	8
15	в его	4	8
16	что и	2	8
17	что он	1	8
18	едва ли	3	7
19	то же	5	7
20	при этом	26	7
21	не по	1	7
22	об этом	4	7
23	в конце	1	7
24	о чем	2	7
25	только что	1	7
26	а в	6	7
27	в свою	4	7
28	того же	1	6
29	самом деле	3	6
30	еще не	7	6
31	так что	1	6
32	тому же	4	6
33	в то	4	6
34	и его	5	6
35	к тому	6	6
36	того чтобы	1	6
37	свою очередь	4	6
38	и что	1	6
39	может быть	18	6
40	как раз	2	6
41	во время	1	6
42	к этому	2	6
43	речь идет	1	5
44	отношение к	2	5
45	но в	6	5
46	не только	20	5
47	он не	3	5
48	в своей	5	5
49	в которых	1	5
50	не менее	4	5
51	же время	3	5
52	связи с	1	5
53	к себе	1	5
54	и сам	1	5
55	хотя и	7	5
56	с ним	3	5
57	к нему	1	5
58	что в	3	5
59	по отношению	7	5
60	из них	1	5
61	тем что	2	5
62	прежде всего	7	5
63	как это	1	5
64	все это	1	5
65	на себя	1	4
66	в ней	4	4
67	с другой	5	4
68	тут же	1	4
69	отнюдь не	7	4
70	все же	6	4
71	то что	6	4
72	что к	1	4
73	в себе	5	4
74	что она	1	4
75	и с	2	4
76	должен был	1	4
77	с тем	1	4
78	несмотря на	1	4
79	точки зрения	1	4
80	не в	6	4
81	однако в	4	4
82	в отношении	1	4
83	на него	2	4
84	у него	1	4
85	так и	8	4
86	между собой	2	4
87	с помощью	1	4
88	вовсе не	1	4
89	но и	19	4
90	до конца	3	4
91	а не	15	4
92	в связи	1	4
93	не является	3	4
94	и для	3	4
95	бы в	3	4
96	хотя бы	1	4
97	так же	1	4
98	идет о	1	3
99	который в	2	3
100	говорить о	2	3
101	к началу	1	3
102	из того	1	3
103	столь же	1	3
104	в ее	1	3
105	и к	2	3
106	тем же	1	3
107	представляет собой	15	3
108	в этой	1	3
109	и тот	1	3
110	как он	2	3
111	на то	1	3
112	в нем	5	3
113	приводит к	2	3
114	было бы	4	3
115	по всему	1	3
116	в них	2	3
117	все равно	2	3
118	далеко не	4	3
119	как и	11	3
120	и еще	1	3
121	но если	1	3
122	том как	3	3
123	себе в	1	3
124	тем не	3	3
125	их в	2	3
126	к ним	2	3
127	не имеет	2	3
128	никогда не	4	3
129	же самое	1	3
130	судя по	2	3
131	одного из	3	3
132	и мы	1	3
133	в двух	1	3
134	не о	2	3
135	с одной	5	3
136	в начале	3	3
137	что не	1	3
138	не так	1	3
139	всяком случае	1	3
140	мы можем	2	3
141	отношению к	7	3
142	и даже	1	3
143	на этот	1	3
144	один из	3	3
145	в частности	13	3
146	не может	7	3
147	по своему	2	3
148	одной стороны	5	3
149	в течение	1	3
150	как бы	4	3
151	в целом	3	3
152	бы он	1	3
153	не знает	1	3
154	дело с	2	3
155	все что	3	3
156	в какой	4	3
157	во всяком	1	3
158	перед лицом	1	2
159	мы не	4	2
160	не слишком	1	2
161	в сущности	1	2
162	не совсем	1	2
163	и он	1	2
164	пребывания в	1	2
165	сюжетной ситуации	1	2
166	но при	5	2
167	и на	3	2
168	во всех	2	2
169	конечном счете	1	2
170	отличие от	2	2
171	что они	1	2
172	как в	4	2
173	стороны и	1	2
174	что касается	5	2
175	целый ряд	2	2
176	в ожидании	1	2
177	в результате	3	2
178	в герое	1	2
179	с просьбой	1	2
180	всего лишь	5	2
181	бы не	2	2
182	и сестры	1	2
183	и если	1	2
184	на его	1	2
185	о которой	2	2
186	состоит в	10	2
187	в силу	2	2
188	чтобы в	1	2
189	людей и	1	2
190	человека в	1	2
191	исходя из	2	2
192	в мире	8	2
193	из всех	1	2
194	не с	3	2
195	а как	1	2
196	с другими	1	2
197	это не	6	2
198	отца и	1	2
199	не мог	1	2
200	в котором	8	2
201	в их	1	2
202	в одном	1	2
203	того кто	1	2
204	как видим	1	2
205	тому что	1	2
206	что происходит	1	2
207	вплоть до	1	2
208	дело не	1	2
209	в основе	3	2
210	и после	1	2
211	в области	3	2
212	одним из	5	2
213	известной степени	1	2
214	ли не	2	2
215	если же	1	2
216	как мы	3	2
217	и о	1	2
218	в виду	1	2
219	здесь не	2	2
220	за пределами	3	2
221	роль в	1	2
222	можно было	2	2
223	она была	2	2
224	наряду с	2	2
225	от своей	1	2
226	а также	8	2
227	аналогии с	1	2
228	в конечном	1	2
229	между тем	1	2
230	несколько иначе	1	2
231	не как	2	2
232	тот же	1	2
233	могло быть	1	2
234	должен быть	1	2
235	и ее	1	2
236	в качестве	8	2
237	уже в	1	2
238	если мы	1	2
239	нового времени	3	2
240	этот раз	2	2
241	несколько минут	1	2
242	при всей	2	2
243	этом отношении	4	2
244	к одной	1	2
245	представляют собой	3	2
246	до начала	1	2
247	или иначе	2	2
248	что для	1	2
249	к человеку	1	2
250	не было	2	2
251	а на	2	2
252	что мы	2	2
253	ближе к	1	2
254	он и	2	2
255	и особенно	1	2
256	его на	1	2
257	из которых	1	2
258	к своему	1	2
259	в пределах	2	2
260	этом случае	1	2
261	видно что	1	2
262	нет ничего	1	2
263	его отца	1	2
264	при всем	1	2
265	и все	4	2
266	полагать что	1	2
267	иначе обстоит	1	2
268	не владеет	1	2
269	обстоит дело	1	2
270	человека не	1	2
271	а о	1	2
272	между ними	1	2
273	другой стороны	2	2
274	что ты	1	2
275	из этого	1	2
276	прошлом и	1	2
277	к этой	1	2
278	в своих	2	2
279	в таком	1	2
280	например в	2	1
