N	3gram	Tiupa_Narr_2	Problemy
1	к себе самому	3	13
2	то же время	3	10
3	в то же	3	10
4	на самом деле	2	9
5	по отношению к	5	6
6	себе самому и	1	5
7	самому и к	1	4
8	в той или	1	4
9	во всяком случае	1	4
10	той или иной	3	4
11	а между тем	1	3
12	в этом смысле	1	3
13	не может быть	2	3
14	к тому же	4	3
15	и к другому	1	3
16	то что я	1	2
17	как раз и	1	2
18	с точки зрения	2	2
19	и не может	2	2
20	и в то	1	2
21	в отличие от	5	2
22	можно было бы	1	2
23	не знает и	1	2
24	в другом человеке	1	2
25	так и в	1	2
26	подобно тому как	2	2
27	в большинстве случаев	1	2
28	в том что	8	2
29	в виду и	1	1
30	в чем не	1	1
31	или хотя бы	1	1
32	внутренней речи как	1	1
33	раз в жизни	1	1
34	точки зрения на	1	1
35	с таким же	1	1
36	так сказать с	1	1
37	в которой он	1	1
38	в чем же	1	1
39	в самом деле	1	1
40	никак не может	1	1
41	потому что я	1	1
42	у меня в	1	1
43	самом деле не	1	1
44	до сих пор	1	1
45	и в других	1	1
46	себя но в	1	1
47	не входит в	1	1
48	в строгом смысле	1	1
49	и т.п но	1	1
50	которой он сам	1	1
51	в другом и	1	1
52	не только внешне	1	1
53	том или ином	1	1
54	что он может	1	1
55	к тому что	3	1
56	то время как	1	1
57	в том или	1	1
58	только внешне но	1	1
59	в данном случае	6	1
60	внешне но и	1	1
61	но и внутренне	1	1
62	и все его	1	1
63	другого человека как	1	1
64	всех без исключения	1	1
65	что я не	1	1
66	в нем не	1	1
67	в этом направлении	1	1
68	но и не	1	1
69	то что он	1	1
70	я не могу	1	1
71	его участие в	1	1
72	ее внутренняя жизнь	1	1
73	в то время	1	1
74	и для другого	1	1
75	как бы не	1	1
76	и его можно	1	1
77	но в конце	1	1
78	так быстро что	1	1
79	то есть все	1	1
80	и не должен	1	1
81	и того же	1	1
82	о том что	4	1
83	что же было	1	1
84	никогда не бывает	1	1
85	не только не	2	1
86	в реальной действительности	1	1
87	смысле можно сказать	1	1
88	по его мнению	1	1
89	героя в этом	1	1
90	ни в чем	1	1
91	можно сказать что	3	1
92	одного и того	1	1
93	тем не менее	4	1
94	как бы в	2	1
95	для того чтобы	1	1
96	то же самое	1	1
97	не вступает в	1	1
98	в этом отношении	3	1
99	и в другом	1	1
