N	3gram	Medvedev_V_1	Vladivir
1	у вл соловьева	1	13
2	в письме к	8	8
3	о том что	3	7
4	в том что	5	7
5	в этом смысле	1	4
6	то же время	5	4
7	в то же	5	4
8	более или менее	6	3
9	что он не	1	3
10	в конце концов	2	3
11	с другой стороны	8	3
12	не может быть	8	3
13	с его точки	1	2
14	мы знаем что	2	2
15	как это мы	1	2
16	но даже и	1	2
17	его точки зрения	1	2
18	главным образом в	1	2
19	и в то	3	2
20	толстого в его	1	2
21	в том чтобы	2	2
22	не только в	2	2
23	в то время	1	2
24	только в году	1	2
25	за это время	1	2
26	во всяком случае	1	2
27	можно сказать что	4	2
28	для того чтобы	3	2
29	н н страхову	1	2
30	к тому же	1	2
31	и т д	14	2
32	московского университета а	1	2
33	как это делает	3	1
34	нет и не	1	1
35	но у него	1	1
36	в которой он	1	1
37	по одному тому	2	1
38	по этому вопросу	1	1
39	мы имеем дело	1	1
40	на основании всех	1	1
41	что в своем	1	1
42	в конце года	1	1
43	не говоря уже	1	1
44	в самом деле	1	1
45	в этой области	3	1
46	в том же	1	1
47	в ноябре года	1	1
48	как это было	1	1
49	и не может	2	1
50	говоря уже о	1	1
51	он пишет что	1	1
52	только то что	2	1
53	силу чего он	1	1
54	а значит и	3	1
55	об этом пишет	1	1
56	в значительной мере	3	1
57	вместе с тем	3	1
58	к н н	1	1
59	одно и то	1	1
60	дело не в	1	1
61	с а толстая	1	1
62	от декабря года	1	1
63	то время как	1	1
64	уже о том	1	1
65	у него в	1	1
66	в целом и	1	1
67	но в то	1	1
68	с одной стороны	2	1
69	в связи с	3	1
70	и то же	1	1
71	имеем дело с	1	1
72	так или иначе	1	1
73	в силу чего	2	1
74	из них не	2	1
75	нет ни одного	1	1
76	а в том	1	1
77	в этом же	1	1
78	них не может	1	1
79	и психологии в	1	1
80	и вместе с	1	1
81	даже и в	1	1
82	в свою очередь	1	1
83	это и есть	3	1
84	еще в году	1	1
85	письме к а	1	1
86	но и у	1	1
87	письмо к н	1	1
88	и без того	1	1
89	и никогда не	1	1
90	но и для	1	1
91	не только не	2	1
92	можно говорить только	1	1
93	он говорит в	1	1
94	не только со	1	1
95	в науке и	1	1
96	с по год	1	1
97	к тому что	3	1
98	по этому поводу	7	1
99	человеческого познания и	1	1
100	лицом к лицу	1	1
101	письме к н	2	1
102	не только у	1	1
103	что об этом	1	1
104	от июля года	1	1
105	не в этом	1	1
106	том что и	1	1
107	этому поводу с	1	1
108	в этом отношении	13	1
109	также и в	2	1
