N	2gram	Voloshinov_2	Otkroven
1	он не	3	4
2	у достоевского	1	3
3	в самой	1	3
4	от него	2	2
5	для него	9	2
6	различие между	2	2
7	в этом	15	2
8	между добром	1	2
9	а не	9	2
10	в другом	3	1
11	не совпадает	1	1
12	другом месте	1	1
13	которой в	1	1
14	у него	2	1
15	как и	9	1
16	также и	1	1
17	мысли и	3	1
18	но он	1	1
19	в душе	4	1
20	что она	1	1
21	учение о	3	1
22	был бы	1	1
23	уже с	1	1
24	человека и	1	1
25	о которой	1	1
26	него в	1	1
27	говорит о	1	1
28	если бы	11	1
29	его и	3	1
30	и эта	2	1
31	должно быть	3	1
32	и он	2	1
33	и в	19	1
34	это не	4	1
35	но оно	1	1
36	он был	2	1
37	не есть	3	1
38	но и	10	1
39	в отношении	4	1
40	не только	13	1
41	и вот	1	1
42	то он	1	1
43	одна из	7	1
44	никогда не	7	1
45	его в	7	1
