N	2gram	Losev_Vlad_2	Sovremen
1	таким образом	3	8
2	в результате	5	5
3	в этом	20	5
4	не может	9	5
5	и наконец	4	4
6	мы не	2	4
7	как бы	5	4
8	все эти	5	3
9	в целом	4	3
10	и мы	4	3
11	из этих	3	2
12	а на	1	2
13	как известно	1	2
14	у нас	6	2
15	на этом	2	2
16	это за	2	2
17	в одном	1	2
18	все же	9	2
19	и в	30	2
20	но в	8	2
21	мы должны	4	2
22	этих двух	1	2
23	же это	2	2
24	что же	8	2
25	на этот	4	2
26	все это	5	2
27	в дальнейшем	5	2
28	с общим	1	2
29	еще мало	1	2
30	тот же	5	2
31	если мы	1	2
32	и все	7	2
33	мы видели	2	2
34	прежде всего	6	2
35	не только	12	2
36	точки зрения	7	2
37	в виде	3	2
38	то же	4	2
39	некоторое время	1	2
40	не в	9	2
41	при этом	5	2
42	уже на	3	1
43	и не	18	1
44	как мы	11	1
45	и из	2	1
46	может не	1	1
47	эту терминологию	1	1
48	он не	4	1
49	поэтому в	1	1
50	этот раз	3	1
51	мы будем	3	1
52	только одно	3	1
53	к области	1	1
54	за собой	1	1
55	оно имеет	1	1
56	же они	2	1
57	как у	2	1
58	их в	2	1
59	а в	11	1
60	представление о	1	1
61	в то	9	1
62	по его	1	1
63	вторая половина	1	1
64	в своих	2	1
65	развития i	1	1
66	и свою	1	1
67	как он	2	1
68	но они	1	1
69	со всеми	1	1
70	в нашем	1	1
71	значит он	1	1
72	свою очередь	2	1
73	дело в	3	1
74	можно назвать	2	1
75	природы и	1	1
76	отличие от	3	1
77	он называет	3	1
78	очень часто	1	1
79	не окажется	1	1
80	раз из	1	1
81	но все	2	1
82	как и	5	1
83	в которой	4	1
84	она не	2	1
85	еще не	1	1
86	независимо от	1	1
87	на их	1	1
88	жизни и	6	1
89	еще более	3	1
90	о том	4	1
91	пока не	1	1
92	угодно и	1	1
93	того же	5	1
94	в очень	3	1
95	и потому	2	1
96	же в	2	1
97	ничего не	2	1
98	сколько угодно	2	1
99	же время	3	1
100	для своего	1	1
101	так же	4	1
102	для нас	7	1
103	все более	1	1
104	что в	12	1
105	ясно что	1	1
106	чем в	1	1
107	в течение	5	1
108	с двух	1	1
109	а не	7	1
110	если у	1	1
111	или как	2	1
112	это делает	1	1
113	той же	4	1
114	между ними	1	1
115	может быть	7	1
116	и должно	1	1
117	все равно	1	1
118	мы имеем	1	1
119	то чем	1	1
120	которых он	1	1
121	кроме того	9	1
122	в том	18	1
123	не будем	1	1
124	в первый	1	1
125	это не	2	1
126	то она	1	1
127	объяснить по	1	1
128	уже в	3	1
129	конечно не	4	1
130	в себе	6	1
131	он приводит	1	1
132	к концу	5	1
133	и даже	10	1
134	и от	2	1
135	развития из	1	1
136	в этой	4	1
137	но это	4	1
138	так как	5	1
139	что свои	1	1
140	у него	19	1
141	по преимуществу	1	1
142	этом случае	1	1
143	что это	4	1
144	этот вопрос	1	1
145	он в	1	1
146	в нем	4	1
147	так сказать	1	1
148	чтобы он	1	1
149	и к	6	1
150	и всегда	1	1
151	на различные	1	1
152	между двумя	1	1
153	и по	2	1
154	которую можно	1	1
155	чем же	1	1
156	в конце	13	1
157	они не	1	1
158	развития и	1	1
159	в свою	3	1
160	теперь же	1	1
161	том что	12	1
162	не могут	1	1
163	в своем	8	1
164	в отличие	3	1
165	необходимо отметить	1	1
166	на котором	2	1
