N	3gram	Bakhtin_fo_1	FransuaR
1	в том числе	4	10
2	том числе и	2	7
3	мы уже говорили	3	7
4	в том что	2	6
5	в той или	1	5
6	как мы уже	8	5
7	той или иной	2	5
8	в средние века	1	4
9	до сих пор	3	4
10	в отличие от	2	4
11	то есть в	1	4
12	мы уже сказали	2	3
13	с точки зрения	2	3
14	в этом отношении	3	3
15	почти вовсе не	1	3
16	в новое время	1	3
17	и еще не	1	3
18	и прежде всего	2	3
19	существенную роль в	2	2
20	и др в	2	2
21	к себе самому	4	2
22	прежде всего на	1	2
23	дело в том	2	2
24	как раз и	2	2
25	и в других	4	2
26	не входит в	1	2
27	очень характерно для	1	2
28	но и в	2	2
29	дошедших до нас	1	2
30	времени то есть	1	2
31	в значительной мере	1	2
32	в нем в	2	2
33	и в частности	2	2
34	в это время	1	2
35	в xvii веке	2	2
36	в основе его	1	2
37	с одной стороны	2	2
38	во всех этих	1	2
39	вовсе не является	1	2
40	влияние на всю	1	2
41	xvii и xviii	1	2
42	то есть только	1	2
43	и в том	1	2
44	были связаны с	1	2
45	в значительной степени	1	2
46	так и в	1	2
47	всего того что	1	2
48	на протяжении всего	1	2
49	но все же	2	2
50	средние века и	1	2
51	и в литературе	1	2
52	вполне понятно что	4	2
53	и т.п в	1	2
54	во всех его	1	2
55	до сегодняшнего дня	1	1
56	по своей природе	1	1
57	и может быть	1	1
58	эти моменты в	1	1
59	зрения на мир	1	1
60	или хотя бы	1	1
61	между ними но	1	1
62	воплощает в себе	1	1
63	его жизни в	1	1
64	и xviii веках	1	1
65	и не для	1	1
66	по отношению к	3	1
67	вне всякой связи	1	1
68	различные формы и	1	1
69	имеем в виду	1	1
70	в последующем развитии	2	1
71	и до сих	1	1
72	в самом деле	1	1
73	серьезная работа по	1	1
74	так и его	1	1
75	всякой связи с	1	1
76	и литературных произведений	1	1
77	существенное отношение к	1	1
78	нам еще придется	1	1
79	и не только	2	1
80	на первый план	1	1
81	о которой мы	1	1
82	искусстве и литературе	3	1
83	в мировой литературе	2	1
84	в нем все	2	1
85	жизни в ее	2	1
86	то есть именно	2	1
87	и в последующем	2	1
88	и во многом	1	1
89	сами по себе	1	1
90	но и на	1	1
91	почти ничего не	1	1
92	в последующие века	1	1
93	но все это	1	1
94	себе самому и	1	1
95	и человеческой жизни	1	1
96	или иной степени	1	1
97	самой жизни в	1	1
98	с самим собой	2	1
99	и ничего не	1	1
100	человека в его	3	1
101	может быть только	3	1
102	главным образом в	1	1
103	так сказать в	1	1
104	в xvii и	1	1
105	остановимся прежде всего	1	1
106	так как он	1	1
107	но дело в	1	1
108	как раз в	4	1
109	до известной степени	1	1
110	вплоть до наших	1	1
111	ничего не осталось	2	1
112	в особенности в	1	1
113	природной и человеческой	1	1
114	в самом начале	1	1
115	чужой мир в	2	1
116	но в то	1	1
117	в основе этих	1	1
118	еще и в	1	1
119	жизни но и	1	1
120	основе ее лежит	1	1
121	к этому типу	1	1
122	века и до	1	1
123	не могут быть	1	1
124	значительной мере и	1	1
125	прежде всего необходимо	3	1
126	в связи с	5	1
127	на этой же	1	1
128	все более и	1	1
129	во всяком случае	1	1
130	традицией и в	2	1
131	он не знает	1	1
132	мы будем называть	1	1
133	что касается до	1	1
134	в низкий быт	1	1
135	в его целом	2	1
136	не может быть	3	1
137	до наших дней	1	1
138	для него всегда	1	1
139	вовсе не знает	2	1
140	числе и в	1	1
141	нем нет ничего	1	1
142	бросается в глаза	1	1
143	в основе ее	1	1
144	то же время	9	1
145	в нем нет	2	1
146	но в условиях	1	1
147	и в какой-то	1	1
148	здесь и в	1	1
149	есть еще и	1	1
150	продолжают жить и	1	1
151	исторического времени и	1	1
152	включает в себя	1	1
153	но нет и	1	1
154	более и более	1	1
155	в себя и	1	1
156	нет здесь и	1	1
157	основе его лежит	1	1
158	мы имеем в	1	1
159	для того чтобы	5	1
160	в частности с	1	1
161	в искусстве и	1	1
162	в то же	6	1
163	мы уже указывали	4	1
164	одно из древнейших	1	1
165	проник и в	1	1
166	друг с другом	1	1
167	не только в	2	1
168	все то что	2	1
169	романе и в	1	1
170	к тому же	2	1
171	как мы говорили	1	1
172	жизни и это	1	1
