N	3gram	Propp_Russ_2	StatiiOP
1	и т д	5	21
2	в том что	18	17
3	о том что	4	11
4	для того чтобы	6	10
5	можно было бы	1	8
6	в этом отношении	1	7
7	у нас нет	1	7
8	в данном случае	6	6
9	с другой стороны	1	6
10	во всяком случае	1	6
11	не может быть	3	5
12	дело в том	1	4
13	на то что	1	4
14	том что в	1	3
15	ставит себе целью	1	3
16	в применении к	1	3
17	так же как	4	3
18	и в этом	1	3
19	так как в	1	2
20	во многих случаях	2	2
21	в этом случае	6	2
22	и в том	1	2
23	но и в	1	2
24	в первую очередь	1	2
25	может быть и	1	2
26	а иногда и	1	2
27	с одной стороны	2	2
28	в то время	2	2
29	т е в	5	2
30	то что в	1	2
31	вопрос о том	1	2
32	по этому поводу	2	2
33	тем более что	1	2
34	тем не менее	2	2
35	дело не в	1	2
36	как и в	1	2
37	как и вообще	1	1
38	в другом месте	1	1
39	а между тем	1	1
40	потому что он	1	1
41	не может не	1	1
42	было бы говорить	1	1
43	другом месте своей	1	1
44	далеко не все	1	1
45	для него не	1	1
46	в настоящее время	1	1
47	в таком виде	2	1
48	в том же	1	1
49	же как и	2	1
50	в советское время	3	1
51	а может быть	1	1
52	случае она не	1	1
53	такой же степени	1	1
54	об этом не	1	1
55	и в других	4	1
56	все в этой	1	1
57	в это время	1	1
58	о том как	1	1
59	то время как	1	1
60	в том чтобы	2	1
61	этому поводу с	1	1
62	не все в	1	1
63	во всех этих	1	1
64	в какой степени	1	1
65	нужно было бы	1	1
66	всяком случае не	1	1
67	той и другой	1	1
68	также в том	1	1
69	и таким образом	1	1
70	таким образом в	1	1
71	т е из	1	1
72	смысле этого слова	1	1
73	с того что	1	1
74	может быть признана	1	1
75	т е не	1	1
76	а не на	1	1
77	после того как	2	1
78	но это не	1	1
79	так что в	1	1
80	во многих отношениях	1	1
81	и это не	1	1
82	на две стороны	1	1
