N	2gram	Tiupa_Vved_1	Mirosoze
1	и в	13	46
2	в нем	5	22
3	у него	1	22
4	может быть	18	21
5	в этом	21	20
6	не только	20	18
7	и не	12	18
8	никогда не	4	18
9	для него	3	18
10	но и	19	15
11	не может	7	15
12	человека в	1	14
13	как и	11	13
14	а не	15	13
15	к человеку	1	12
16	прежде всего	7	12
17	потому что	5	12
18	и он	1	11
19	не было	2	11
20	но он	1	11
21	в ней	4	11
22	у нас	1	11
23	но в	6	10
24	та же	1	10
25	в себе	5	10
26	он не	3	10
27	не в	6	9
28	не знает	1	9
29	отношение к	2	8
30	в своем	5	8
31	человека к	1	8
32	как бы	4	8
33	но это	3	8
34	в мире	8	7
35	как в	4	7
36	и к	2	7
37	в нашем	6	7
38	в этой	1	7
39	хотя бы	1	7
40	и потому	1	7
41	и для	3	7
42	что он	1	7
43	что это	1	6
44	не могу	1	6
45	он сам	1	6
46	жизнь в	1	6
47	и зла	1	6
48	так же	1	6
49	того что	6	6
50	жизни и	7	6
51	то же	5	5
52	в самом	2	5
53	бы и	4	5
54	и вот	1	5
55	что она	1	5
56	что все	1	5
57	в своей	5	5
58	в отношении	1	5
59	в конце	1	5
60	во всем	1	5
61	и его	5	5
62	к тому	6	5
63	те же	2	5
64	добра и	1	5
65	это не	6	5
66	один из	3	5
67	в его	4	5
68	него нет	1	5
69	то что	6	5
70	тот кто	2	5
71	и все	4	5
72	в духе	1	5
73	также и	4	4
74	к чему	1	4
75	у них	1	4
76	его на	1	4
77	в жизни	4	4
78	том что	7	4
79	тому что	1	4
80	не имеет	2	4
81	того чтобы	1	4
82	должен быть	1	4
83	что у	1	4
84	так и	8	4
85	земной жизни	1	4
86	себя в	1	4
87	уже не	5	4
88	что и	2	4
89	в свою	4	4
90	они не	1	4
91	до конца	3	4
92	человека не	1	4
93	что в	3	4
94	все что	3	4
95	высшей степени	2	3
96	той же	1	3
97	и самого	1	3
98	и на	3	3
99	иное как	1	3
100	он в	1	3
101	как он	2	3
102	и она	1	3
103	и с	2	3
104	в них	2	3
105	в высшей	2	3
106	все равно	2	3
107	одна и	1	3
108	не мог	1	3
109	можно ли	1	3
110	того как	1	3
111	что иное	1	3
112	по своей	3	3
113	людей и	1	3
114	только с	1	3
115	не существует	2	3
116	было в	1	3
117	если бы	7	3
118	с ним	3	3
119	о том	5	3
120	что они	1	3
121	к которой	1	3
122	в том	10	3
123	природой и	1	3
124	только в	6	3
125	есть в	2	3
126	не так	1	3
127	тем что	2	3
128	к которому	2	3
129	связано с	3	3
130	человек в	1	3
131	нет ничего	1	3
132	жизни в	4	3
133	и нет	1	3
134	и от	2	3
135	отношении к	1	3
136	на смену	2	3
137	сказать что	1	3
138	не что	1	3
139	в своих	2	3
140	в сфере	1	2
141	но она	1	2
142	как то	1	2
143	принадлежит к	3	2
144	во всех	2	2
145	то он	2	2
146	по отношению	7	2
147	не хотел	1	2
148	в центре	2	2
149	как к	1	2
150	хотя и	7	2
151	на какой	1	2
152	от своей	1	2
153	то в	1	2
154	в смысл	1	2
155	бы не	2	2
156	и принять	1	2
157	и тот	1	2
158	но на	2	2
159	и если	1	2
160	на его	1	2
161	не к	4	2
162	на этом	1	2
163	с собой	1	2
164	еще более	1	2
165	этом он	1	2
166	зла а	1	2
167	лишь в	2	2
168	в единую	1	2
169	не всегда	2	2
170	в этих	3	2
171	точки зрения	1	2
172	место в	2	2
173	от его	1	2
174	мир и	1	2
175	что есть	1	2
176	жизни не	1	2
177	связи с	1	2
178	как будто	4	2
179	в основе	3	2
180	к себе	1	2
181	оправдать и	1	2
182	оно не	1	2
183	мысль о	1	2
184	и человеческого	1	2
185	можно было	2	2
186	еще в	2	2
187	по себе	2	2
188	в разных	1	2
189	и та	1	2
190	и что	1	2
191	в сущности	1	2
192	к нему	1	2
193	другого в	1	2
194	подобно тому	2	2
195	но с	1	2
196	мы видим	1	2
197	тот же	1	2
198	мы увидим	1	2
199	а лишь	2	2
200	между тем	1	2
201	это означает	1	2
202	так что	1	2
203	со своим	1	2
204	уже в	1	2
205	ни одного	1	2
206	себе в	1	2
207	не о	2	2
208	лишь один	1	2
209	или иной	3	2
210	как у	1	2
211	этом пути	1	2
212	интерес к	1	2
213	на людей	1	2
214	что не	1	2
215	превращается в	1	2
216	человеческой жизни	3	2
217	вместе с	1	2
218	к своему	1	2
219	такого рода	16	2
220	тому как	2	2
221	что же	3	2
