N	4gram	Trubetskoy_1	Myslijsy
1	но тем не менее	1	3
2	в то же время	2	3
3	не в том что	1	2
4	одном и том же	1	2
5	в одном и том	1	2
6	одного и того же	1	2
7	а в том что	1	2
8	все более и более	1	2
9	и выйти из этого	1	1
10	несмотря на все усилия	1	1
11	во всяком случае не	3	1
12	с психологической точки зрения	1	1
13	бы то ни было	2	1
14	с этой точки зрения	2	1
15	но и потому что	1	1
16	в отвлеченные понятия и	1	1
17	с тем и другим	1	1
18	не потому только что	1	1
19	тем не менее продолжает	1	1
20	или по крайней мере	1	1
21	еще и потому что	1	1
22	указывает на то что	1	1
23	точно так же как	2	1
24	в том виде в	2	1
25	том виде в каком	1	1
26	лицом к лицу с	1	1
27	мы видели выше что	1	1
28	в таком случае эта	1	1
29	и в этом отношении	1	1
