N	2gram	Medvedev_V_1	Russkaja
1	не может	17	22
2	и не	19	19
3	в том	15	17
4	в этом	26	17
5	и в	26	14
6	то что	6	13
7	то же	10	11
8	точки зрения	3	11
9	таким образом	31	11
10	в то	6	10
11	же время	5	10
12	но и	10	10
13	в себе	6	9
14	не только	25	9
15	том что	8	9
16	может быть	22	9
17	во всяком	1	9
18	того чтобы	3	8
19	прежде всего	13	8
20	как на	3	8
21	самом деле	1	7
22	отнюдь не	3	7
23	и если	1	7
24	в данном	1	7
25	к тому	4	7
26	о том	10	7
27	самого себя	2	7
28	ни к	1	7
29	если в	2	6
30	в своем	8	6
31	и к	3	6
32	с тем	3	6
33	в своих	2	6
34	и при	5	6
35	признать что	1	6
36	если бы	3	6
37	все это	10	6
38	и для	2	6
39	для того	3	6
40	что он	4	6
41	всяком случае	1	6
42	для него	8	6
43	а между	1	5
44	вопрос о	1	5
45	между собой	1	5
46	во имя	1	5
47	во всех	6	5
48	на то	1	5
49	в нем	6	5
50	он не	2	5
51	было бы	7	5
52	в своей	4	5
53	никогда не	4	5
54	потому что	1	5
55	между тем	5	5
56	а потому	1	5
57	только в	7	5
58	хотя бы	19	5
59	конечно не	1	5
60	или иной	2	5
61	до сих	1	5
62	себя и	1	5
63	из которых	2	5
64	по существу	3	5
65	сих пор	1	5
66	а в	3	5
67	и то	1	4
68	смотреть на	1	4
69	но не	2	4
70	себе и	2	4
71	все же	5	4
72	более или	6	4
73	не в	6	4
74	в этой	4	4
75	том случае	1	4
76	его в	3	4
77	как и	7	4
78	которой он	1	4
79	или менее	6	4
80	в их	5	4
81	тогда когда	2	4
82	ли это	2	4
83	от того	2	4
84	не могут	7	4
85	приводит к	5	4
86	можно было	2	4
87	в его	14	4
88	вместе с	7	4
89	как бы	5	4
90	жизни и	3	4
91	что в	10	4
92	к этой	1	4
93	вряд ли	1	3
94	и т	23	3
95	сил и	3	3
96	то в	1	3
97	и этот	2	3
98	говорить о	2	3
99	и ни	1	3
100	еще не	2	3
101	он сам	2	3
102	из этих	7	3
103	что они	3	3
104	в самом	4	3
105	ни одна	2	3
106	главным образом	7	3
107	и по	3	3
108	в другом	2	3
109	лишь в	2	3
110	для них	1	3
111	несмотря на	1	3
112	должно быть	2	3
113	всех этих	2	3
114	знаем что	2	3
115	том чтобы	2	3
116	можно ли	2	3
117	одна из	4	3
118	связи с	4	3
119	в сознании	4	3
120	то это	2	3
121	что оно	3	3
122	той или	1	3
123	приходит к	1	3
124	что все	3	3
125	данном случае	1	3
126	может только	1	3
127	что может	1	3
128	для этого	1	3
129	сводится к	3	3
130	может не	2	3
131	в значительной	3	3
132	и во	1	3
133	что и	3	3
134	того что	3	3
135	одной из	1	3
136	в качестве	11	3
137	с нею	2	3
138	в виде	1	3
139	из них	9	3
140	в конце	3	3
141	себя от	1	3
142	друг друга	1	3
143	тем что	1	3
144	именно в	2	3
145	что для	3	3
146	не было	7	3
147	и потому	2	3
148	да и	1	3
149	или в	3	3
150	о котором	1	3
151	конце концов	2	3
