N	2gram	Medvedev_I_1	DiskursI
1	и в	1	16
2	в этом	2	15
3	и не	2	11
4	с другой	1	10
5	отношению к	1	9
6	по отношению	1	9
7	так и	1	8
8	а также	1	8
9	в основе	1	7
10	а с	1	5
11	а в	1	5
12	что в	2	4
13	для него	1	4
14	в целом	1	4
15	и о	1	4
16	в них	1	4
17	того же	1	3
18	автор и	1	3
19	того что	1	3
20	тем что	1	3
21	другой стороны	1	3
22	в значительной	1	2
23	и др	1	2
24	и без	1	2
25	с литературными	1	2
26	более чем	1	2
27	никогда не	1	2
28	это было	1	2
29	а позднее	1	2
30	а по	1	2
31	себя в	1	2
32	то она	1	2
33	о ней	1	1
34	стороны он	1	1
35	говорить о	1	1
36	от этого	1	1
37	утверждает что	1	1
38	оба они	2	1
39	в первую	1	1
40	введение в	1	1
41	художественного творчества	1	1
42	первую очередь	1	1
43	со всеми	1	1
44	цель и	1	1
45	вплоть до	1	1
46	и сам	1	1
47	не остается	1	1
48	следующим образом	1	1
49	о жизни	1	1
50	то и	1	1
51	другое дело	1	1
52	автора и	1	1
53	очевидно что	1	1
54	он не	2	1
55	я не	1	1
56	не случайно	1	1
57	если бы	1	1
