N	2gram	Voloshinov_1	ViktorSh
1	в шкловского	2	5
2	в книге	2	3
3	и в	13	2
4	том что	2	2
5	в том	2	2
6	в конце	1	2
7	тем более	1	1
8	стилистики в	1	1
9	в другом	2	1
10	хотя бы	5	1
11	и не	8	1
12	все время	1	1
13	и его	12	1
14	потому что	1	1
15	сводится к	1	1
16	и то	3	1
17	самом деле	3	1
18	другом месте	1	1
19	и т.д	5	1
20	все это	4	1
21	по поводу	1	1
22	и сводится	1	1
23	в их	3	1
24	как же	1	1
25	стр и	1	1
26	теории литературы	1	1
27	так в	1	1
28	речи и	1	1
29	одно и	3	1
30	все то	1	1
31	столь же	1	1
32	время в	1	1
33	в которых	1	1
34	в значительной	1	1
35	в самом	2	1
36	для них	1	1
37	только в	6	1
38	то же	4	1
39	так как	3	1
40	далеко не	1	1
41	что слово	1	1
42	другое дело	1	1
43	но это	1	1
44	что язык	1	1
45	без знания	1	1
46	в этом	2	1
47	да и	3	1
48	о теории	1	1
49	на одном	1	1
50	к этому	1	1
