N	2gram	Berdyaev_V_1	EvropaiE
1	и в	16	37
2	что в	3	21
3	не только	2	18
4	то же	1	15
5	хотя бы	3	15
6	в своем	1	14
7	но в	3	14
8	но и	5	14
9	и не	20	14
10	в этом	4	12
11	в их	1	11
12	в том	3	11
13	так и	4	10
14	только в	2	9
15	прежде всего	2	9
16	так же	1	9
17	в ее	1	8
18	в своей	3	8
19	к тому	3	8
20	между тем	2	8
21	того что	5	7
22	так как	9	7
23	с другой	1	7
24	как и	4	7
25	может быть	1	6
26	и на	1	6
27	во всех	3	6
28	то есть	1	6
29	том что	2	6
30	того чтобы	2	6
31	вслед за	2	6
32	вовсе не	1	6
33	для того	1	6
34	как бы	5	6
35	с этой	1	6
36	то что	9	6
37	но не	2	5
38	и человечество	1	5
39	не в	3	5
40	и по	1	5
41	как мы	1	5
42	в виде	1	5
43	от этого	3	5
44	и потому	7	5
45	мы не	2	4
46	вопрос о	1	4
47	в ней	4	4
48	в самом	1	4
49	то ни	1	4
50	не имеет	3	4
51	в процессе	1	4
52	бы то	1	4
53	мира в	2	4
54	как это	1	4
55	для нас	2	4
56	бы и	3	3
57	на себя	5	3
58	как в	1	3
59	в известном	1	3
60	не будет	2	3
61	и мы	3	3
62	и тем	1	3
63	в них	3	3
64	с тем	2	3
65	в которых	1	3
66	можно ли	1	3
67	никогда не	3	3
68	потому что	4	3
69	уже и	1	3
70	в будущем	1	3
71	бы ни	1	3
72	можно было	2	3
73	от них	1	3
74	что и	3	3
75	известном смысле	1	3
76	потребность в	1	3
77	в прошлом	2	3
78	к ним	1	3
79	тем что	2	3
80	говорит о	1	3
81	и для	3	3
82	и от	1	3
83	в результате	1	3
84	мира и	1	3
85	жизни в	1	3
86	ее в	2	3
87	во всяком	2	3
88	и то	2	2
89	должна быть	3	2
90	есть не	1	2
91	но как	1	2
92	и чем	1	2
93	в истории	8	2
94	более чем	2	2
95	его на	1	2
96	хотя и	5	2
97	что это	1	2
98	в этой	1	2
99	и если	1	2
100	бы от	1	2
101	это значит	1	2
102	в мире	5	2
103	и с	1	2
104	для них	2	2
105	в своих	1	2
106	в этих	3	2
107	в котором	4	2
108	не к	2	2
