N	3gram	Vygotskiy__3	Poddanst
1	в том что	11	4
2	с точки зрения	9	3
3	с одной стороны	5	3
4	и как раз	1	2
5	и если бы	1	2
6	заключает в себе	1	2
7	заключается в том	6	2
8	в том виде	1	1
9	одна из важнейших	1	1
10	есть не более	1	1
11	мы видим в	2	1
12	что в этом	1	1
13	более или менее	1	1
14	к первой половине	2	1
15	и в этом	3	1
16	в отличие от	1	1
17	не было бы	1	1
18	с тем чтобы	1	1
19	совершенно ясно что	5	1
20	что дело идет	1	1
21	вместе с тем	2	1
22	и то что	3	1
23	и есть в	1	1
24	в применении к	1	1
25	в этом противоположении	1	1
26	там где он	1	1
27	если бы мы	1	1
28	мы все же	1	1
29	и мы должны	1	1
30	по сравнению с	1	1
31	между тем в	2	1
32	не только как	1	1
33	не в том	2	1
34	мы отнюдь не	1	1
35	во всяком случае	2	1
36	с другой стороны	5	1
37	не может быть	1	1
38	что то же	1	1
39	том виде какой	1	1
40	ее место в	1	1
41	она не только	1	1
42	мы знаем что	1	1
43	не более как	1	1
44	для того чтобы	8	1
45	что именно на	1	1
46	а никак не	1	1
47	и т д	4	1
