N	2gram	Tiupa_Hudo_2	Marksizm
1	точки зрения	2	34
2	может быть	8	26
3	и не	18	26
4	не может	4	24
5	с точки	2	20
6	и в	28	19
7	и его	5	19
8	в этом	13	16
9	как бы	5	15
10	как мы	2	13
11	прежде всего	3	13
12	как и	11	12
13	так и	8	11
14	и для	2	11
15	самом деле	3	10
16	в нем	3	10
17	в слове	1	10
18	и т.п	1	10
19	в самом	5	10
20	лишь в	2	9
21	только в	4	9
22	для него	5	9
23	на материале	1	8
24	бы то	1	8
25	все же	2	8
26	не только	11	8
27	при этом	11	8
28	то ни	1	8
29	до сих	2	8
30	но и	9	8
31	в контексте	2	8
32	сих пор	2	8
33	то что	6	8
34	во всех	1	7
35	в ее	18	7
36	точка зрения	1	7
37	но в	2	7
38	все эти	1	7
39	то же	6	7
40	в каждом	1	7
41	бытия в	1	7
42	а не	14	7
43	так же	3	7
44	в направлении	1	7
45	отнюдь не	2	6
46	так сказать	1	6
47	мы не	1	6
48	ничего не	5	6
49	в пределах	1	6
50	и здесь	1	6
51	настоящее время	1	6
52	в его	11	6
53	в том	15	6
54	в настоящее	1	6
55	другой стороны	1	6
56	по преимуществу	3	5
57	рядом с	5	5
58	не в	13	5
59	того чтобы	4	5
60	те же	2	5
61	как ее	1	5
62	и все	7	5
63	в начале	1	5
64	в конце	1	5
65	вовсе не	2	5
66	с другой	3	5
67	за пределы	1	5
68	именно в	2	5
69	настоящего времени	1	5
70	до конца	1	5
71	мы знаем	2	5
72	и потому	1	5
73	хотя бы	2	5
74	к этому	1	5
75	и на	3	4
76	нет и	1	4
77	чем же	1	4
78	как в	5	4
79	и тот	1	4
80	лишь с	1	4
81	здесь мы	1	4
82	не будет	2	4
83	было бы	3	4
84	не столько	2	4
85	мысли и	2	4
86	не менее	5	4
87	по себе	1	4
88	самого начала	1	4
89	внутренней жизни	4	4
90	не является	2	4
91	в ней	3	4
92	с самого	1	4
93	еще не	3	4
94	только на	5	4
95	от того	1	4
96	для того	4	4
97	как же	2	4
98	в данном	2	4
99	что же	2	4
100	в условиях	1	4
101	а в	6	4
102	отношении к	1	4
103	жизни в	7	4
104	между ними	2	4
105	и эта	2	4
106	сказать что	2	4
107	что в	5	4
108	социальной среде	1	3
109	высшей степени	1	3
110	а как	2	3
111	в сущности	1	3
112	по отношению	7	3
113	один и	1	3
114	и к	2	3
115	в первом	2	3
116	в которой	1	3
117	к другому	1	3
118	в корне	1	3
119	но все	1	3
120	его в	2	3
121	но именно	2	3
122	он не	4	3
123	том что	19	3
124	в своей	6	3
125	и ее	3	3
126	в котором	6	3
127	более того	1	3
128	место в	2	3
129	является в	1	3
130	в то	6	3
131	для всего	1	3
132	на язык	1	3
133	же время	4	3
134	следует что	1	3
135	этом отношении	1	3
136	в области	1	3
137	же самое	3	3
138	и это	3	3
139	не существует	1	3
140	в дальнейшем	1	3
141	сводится к	6	3
142	т.п в	1	3
143	можно сказать	6	3
144	с другими	3	3
145	того что	1	3
146	быть и	1	3
147	одной из	3	3
148	нуждается в	2	3
149	между тем	8	3
150	из них	2	3
151	лишь для	1	3
152	или иной	2	3
153	не было	6	3
154	все это	3	3
155	слова и	1	3
156	этом случае	1	3
157	и от	2	3
158	нет ничего	2	3
159	что делает	1	3
160	она может	2	3
161	и при	1	3
162	совершенно не	1	3
163	первом случае	1	3
164	это и	1	3
165	говорили о	2	2
166	одним из	1	2
167	же как	2	2
168	не остается	1	2
169	мы уже	3	2
170	той же	2	2
171	точкой зрения	2	2
172	содержания в	1	2
173	таком случае	1	2
174	и он	3	2
175	но при	3	2
176	во внешнем	1	2
177	для других	3	2
178	не все	3	2
179	себе и	1	2
180	не просто	1	2
181	внутреннее бытие	1	2
182	в одной	1	2
183	как к	1	2
184	в своем	5	2
185	мы тем	1	2
186	его к	1	2
187	в действительности	1	2
188	от этого	1	2
189	то в	4	2
190	бы и	4	2
191	в нашем	2	2
192	из этих	2	2
193	в себе	9	2
194	как он	3	2
195	тем не	4	2
196	пределах одного	1	2
197	не как	2	2
198	из виду	1	2
199	можно было	3	2
200	человека в	4	2
201	от нее	1	2
202	могла бы	2	2
203	что все	3	2
