N	2gram	Vinokur_Ku_3	Russkaja
1	не может	6	22
2	и не	10	19
3	в том	22	17
4	в этом	16	17
5	и в	23	14
6	то что	4	13
7	то же	6	11
8	точки зрения	23	11
9	таким образом	9	11
10	в то	3	10
11	же время	1	10
12	но и	3	10
13	в себе	1	9
14	не только	17	9
15	том что	11	9
16	с точки	16	9
17	может быть	14	9
18	во всяком	2	9
19	того чтобы	11	8
20	прежде всего	9	8
21	как на	8	8
22	самом деле	14	7
23	отнюдь не	3	7
24	и если	2	7
25	и с	3	7
26	в данном	7	7
27	к тому	3	7
28	не будет	1	7
29	о том	6	7
30	мы должны	3	7
31	в своем	4	6
32	и к	3	6
33	в россии	2	6
34	с тем	6	6
35	и при	2	6
36	признать что	1	6
37	если бы	8	6
38	все это	2	6
39	и для	1	6
40	для того	12	6
41	что он	6	6
42	всяком случае	1	6
43	для него	1	6
44	на самом	3	6
45	вопрос о	11	5
46	и на	1	5
47	между собой	1	5
48	при этом	6	5
49	он не	3	5
50	было бы	16	5
51	в своей	4	5
52	никогда не	1	5
53	потому что	12	5
54	между тем	4	5
55	а потому	2	5
56	и только	3	5
57	только в	6	5
58	хотя бы	9	5
59	конечно не	2	5
60	или иной	7	5
61	до сих	8	5
62	из которых	1	5
63	по существу	3	5
64	сих пор	8	5
65	а в	5	5
66	и то	1	4
67	бы то	1	4
68	но не	3	4
69	все же	5	4
70	более или	2	4
71	не в	5	4
72	в корне	2	4
73	то ни	1	4
74	том случае	4	4
75	его в	2	4
76	как и	5	4
77	или менее	2	4
78	в их	6	4
79	точку зрения	2	4
80	тогда когда	4	4
81	во всем	1	4
82	а лишь	3	4
83	от того	5	4
84	не могут	5	4
85	когда они	1	4
86	при таких	1	4
87	приводит к	1	4
88	можно было	11	4
89	при том	1	4
90	путь к	2	4
91	в его	11	4
92	так как	9	4
93	со стороны	1	4
94	вместе с	2	4
95	он будет	2	4
96	что же	5	4
97	как бы	5	4
98	к вопросу	2	4
99	возможно лишь	1	4
100	отказаться от	1	4
101	что в	13	4
102	к этой	1	4
103	все что	1	4
104	вряд ли	1	3
105	и т	54	3
106	то в	3	3
107	признание что	1	3
108	так чтобы	1	3
109	говорить о	6	3
110	еще не	9	3
111	он сам	1	3
112	из этих	5	3
113	что они	2	3
114	во что	1	3
115	в самом	13	3
116	что это	3	3
117	главным образом	2	3
118	на том	2	3
119	был и	1	3
120	в другом	1	3
121	лишь в	8	3
122	о которых	1	3
123	несмотря на	1	3
124	должно быть	7	3
125	всех этих	1	3
126	но если	3	3
127	таким же	1	3
128	том чтобы	4	3
129	связи с	6	3
130	то это	3	3
131	той или	5	3
132	приходит к	1	3
133	что все	2	3
134	данном случае	4	3
135	ни стало	1	3
136	для этого	6	3
137	сводится к	1	3
138	может не	1	3
139	при котором	2	3
140	но мы	2	3
141	в вопросах	1	3
142	что и	6	3
143	что бы	1	3
144	в лучшем	1	3
145	того что	11	3
146	одной из	1	3
147	в качестве	2	3
148	тем чтобы	2	3
149	в виде	1	3
150	тем что	5	3
151	именно в	3	3
152	что для	1	3
153	не было	4	3
154	и потому	1	3
155	таких условиях	1	3
156	культуры в	1	3
157	этом случае	4	3
158	она может	2	3
159	о котором	1	3
160	и как	2	3
161	все они	2	3
162	не есть	3	3
163	речь идет	3	2
164	говоря о	1	2
165	зависимость от	1	2
166	бы для	1	2
167	и есть	5	2
168	должна быть	3	2
169	из всех	1	2
170	но она	1	2
171	на себя	2	2
172	в ней	3	2
173	в таком	4	2
174	время в	3	2
175	они будут	1	2
176	вполне и	1	2
177	именно на	2	2
178	по отношению	3	2
179	тогда как	1	2
180	претендующих на	1	2
181	не просто	2	2
182	друг от	1	2
183	сама по	2	2
184	всю эту	2	2
185	с этим	1	2
186	последнее время	1	2
187	помнить что	1	2
188	целый ряд	4	2
189	но в	2	2
190	не можем	1	2
191	это есть	1	2
192	а во-вторых	2	2
193	все эти	7	2
194	что ничего	1	2
195	и тот	2	2
196	и те	1	2
197	состоит в	2	2
198	не к	1	2
199	и вот	3	2
200	использовать в	1	2
201	на этой	1	2
202	того или	3	2
203	по себе	6	2
204	и тем	6	2
205	ведь в	1	2
206	русской культуры	1	2
207	этого не	1	2
208	в этих	2	2
209	во время	1	2
210	что такое	4	2
211	могут не	1	2
212	в котором	2	2
213	в силу	6	2
214	друг другу	1	2
