N	2gram	Medvedev_B_1	VrazhdaK
1	не только	1	9
2	и в	1	8
3	что в	1	7
4	все же	1	6
5	об этом	1	5
6	не было	1	5
7	и не	2	5
8	в ней	2	4
9	все это	2	4
10	далеко не	1	3
11	по нашему	1	3
12	и о	1	3
13	и во	1	3
14	отнюдь не	1	2
15	таким образом	1	2
16	в своей	1	2
17	и ее	1	2
18	же не	1	2
19	еще не	1	2
20	тем более	1	2
21	говорить о	1	1
22	не мешало	1	1
23	не все	1	1
24	говорить не	1	1
25	было бы	1	1
26	свою книгу	1	1
27	всяком случае	1	1
28	по крайней	1	1
29	также что	1	1
30	нельзя не	1	1
31	более что	1	1
32	так и	1	1
33	короче говоря	1	1
34	во всяком	1	1
35	говорить об	1	1
36	крайней мере	1	1
37	первый у	1	1
38	бы больше	1	1
39	с другой	1	1
40	прежде всего	1	1
41	нашему мнению	1	1
42	до конца	1	1
43	а о	1	1
44	другой стороны	1	1
