N	2gram	Medvedev_F_1	Sovremen
1	не может	16	17
2	может быть	14	12
3	точки зрения	16	12
4	таким образом	13	11
5	мы не	3	9
6	в каждом	3	8
7	в этом	15	7
8	не можем	2	7
9	и в	24	7
10	ничего не	2	6
11	как и	11	6
12	и не	20	6
13	в результате	2	6
14	только одна	1	6
15	и наконец	3	5
16	все эти	6	5
17	что же	1	5
18	прежде всего	22	5
19	с точки	13	5
20	в условиях	1	5
21	в зависимости	2	4
22	вопрос о	2	4
23	зависимости от	3	4
24	нет и	2	4
25	совокупности условий	1	4
26	в том	6	4
27	в целом	6	4
28	если мы	2	4
29	из них	1	4
30	так как	1	4
31	каждого элемента	2	4
32	мы видели	2	4
33	не только	7	4
34	с помощью	3	4
35	как бы	6	4
36	вместе с	2	4
37	это не	2	4
38	а в	6	4
39	жизни и	7	4
40	он может	1	3
41	в первом	1	3
42	с самого	1	3
43	то же	10	3
44	ясно что	3	3
45	между собой	1	3
46	может не	1	3
47	его развития	1	3
48	отнюдь не	6	3
49	все же	3	3
50	еще не	6	3
51	но в	5	3
52	мы получаем	1	3
53	он в	2	3
54	в этой	6	3
55	в себе	3	3
56	как он	1	3
57	в одном	2	3
58	в нем	14	3
59	при этом	5	3
60	на этой	1	3
61	было бы	6	3
62	а не	10	3
63	и потому	9	3
64	не в	8	3
65	все это	9	3
66	самого начала	1	3
67	при таком	4	3
68	не подлежит	1	3
69	одна из	2	3
70	для нас	1	3
71	и все	6	3
72	в системе	2	3
73	у нас	5	3
74	поэтому мы	1	3
75	с необходимостью	1	3
76	и к	4	3
77	отличается от	3	3
78	в области	3	3
79	как мы	5	2
80	период развития	1	2
81	свою очередь	6	2
82	между всеми	1	2
83	и есть	1	2
84	приводит к	2	2
85	роль в	1	2
86	все те	1	2
87	той же	1	2
88	в и	1	2
89	каждого из	2	2
90	на этом	1	2
91	из одного	1	2
92	и даже	3	2
93	говорить о	1	2
94	настоящее время	10	2
95	и что	2	2
96	на их	2	2
97	и во	1	2
98	самом деле	6	2
99	в его	23	2
100	с этим	2	2
101	быть и	4	2
102	в самом	5	2
103	по мнению	1	2
104	в которой	4	2
105	или же	3	2
106	в нашем	2	2
107	из этих	1	2
108	тот или	2	2
109	с одной	4	2
110	со всеми	3	2
111	первый период	1	2
112	уже не	2	2
113	так сказать	3	2
114	в виде	1	2
115	на его	2	2
116	о принципиальной	1	2
117	тем не	1	2
118	мы знаем	1	2
119	всяком случае	4	2
120	еще мало	1	2
121	у него	1	2
122	и по	1	2
123	отличие от	1	2
124	но все	2	2
125	то ни	3	2
126	значение в	3	2
127	или иной	1	2
128	в живом	6	2
129	специальных вопросов	1	2
130	и пр	17	2
131	а на	1	2
132	мы с	1	2
133	такой же	1	2
134	свою собственную	1	2
135	что такое	2	2
136	он должен	3	2
137	из которых	1	2
138	в отличие	1	2
139	знаем что	1	2
140	не менее	11	2
141	на котором	1	2
142	в настоящее	10	2
143	в науке	2	2
144	еще более	1	2
145	мы видим	1	2
146	не дает	2	2
147	в свою	8	2
148	представлять себе	3	2
149	своего предмета	1	2
150	совершенно не	1	2
151	не могут	1	2
152	могут быть	1	2
153	что при	1	2
154	что в	4	2
155	только одну	1	2
156	если же	2	2
157	во всяком	4	2
158	должен быть	5	1
159	новое время	1	1
160	правда не	1	1
161	и это	2	1
162	деталях и	1	1
163	можно говорить	1	1
164	диалектического материализма	1	1
165	для этих	1	1
166	времени не	1	1
167	в объяснении	1	1
168	то она	1	1
169	с ее	7	1
170	начало нового	1	1
171	на самом	7	1
172	этот метод	1	1
173	ведь в	1	1
174	это и	3	1
175	возникновения и	1	1
176	них своя	1	1
177	между двумя	1	1
178	отношению к	4	1
179	так в	1	1
180	по преимуществу	1	1
181	и до	5	1
182	бы к	1	1
183	в мире	4	1
184	входящих в	2	1
185	по аналогии	3	1
186	мы уже	1	1
187	здесь нет	1	1
188	во многом	1	1
189	осуществляется в	1	1
190	элементы и	1	1
191	и само	1	1
192	же как	2	1
193	еще в	2	1
194	действительно если	1	1
195	и наш	1	1
