N	2gram	Berdyaev_V_1	Problema
1	то есть	1	46
2	в его	4	43
3	и не	20	42
4	и в	16	38
5	может быть	1	26
6	как бы	5	22
7	и с	1	17
8	в этом	4	15
9	в нем	4	15
10	и т	2	14
11	только в	2	13
12	прежде всего	2	13
13	но не	2	12
14	в искусстве	1	12
15	во всех	3	11
16	ни в	3	11
17	и для	3	11
18	отношение к	1	10
19	в их	1	10
20	к нему	1	10
21	не только	2	9
22	не имеет	3	9
23	но и	5	9
24	в том	3	8
25	то что	9	8
26	еще не	8	7
27	в самом	1	7
28	как и	4	7
29	не в	3	7
30	как мы	1	7
31	с другой	1	7
32	между тем	2	7
33	в своей	3	7
34	что в	3	7
35	не к	2	6
36	не всегда	1	6
37	не есть	6	6
38	ничего не	1	6
39	все же	1	6
40	а в	2	6
41	в своем	1	5
42	все эти	3	5
43	то же	1	5
44	это не	2	5
45	в них	3	5
46	так и	4	5
47	никогда не	3	5
48	с ним	2	5
49	конечно не	2	5
50	а не	7	5
51	могут быть	2	5
52	должно быть	3	5
53	должна быть	3	4
54	в виду	1	4
55	в ней	4	4
56	как в	1	4
57	но в	3	4
58	перестает быть	1	4
59	формы есть	1	4
60	в ее	1	4
61	можно было	2	4
62	не с	2	4
63	своим предметом	1	4
64	с ними	1	4
65	в форме	2	4
66	что не	4	4
67	и потому	7	4
68	лишь как	1	4
69	хотя бы	3	4
70	может и	1	4
71	другой стороны	1	4
72	говорить о	4	3
73	бы то	1	3
74	мы будем	1	3
75	менее всего	1	3
76	нет и	2	3
77	нас за	2	3
78	в целом	1	3
79	к миру	1	3
80	то ни	1	3
81	в мире	5	3
82	и тем	1	3
83	том что	2	3
84	на него	1	3
85	и это	2	3
86	хотя и	5	3
87	и от	1	3
88	мы в	1	3
89	природы и	1	3
90	но с	1	3
91	мы увидим	1	3
92	слова не	1	3
93	и должна	1	3
94	бытия в	1	3
95	оно не	3	3
96	себя и	1	3
97	связь с	1	3
98	и на	1	3
99	да и	2	3
100	но это	3	3
101	все это	5	3
102	от него	2	3
103	и все	4	3
104	все что	4	3
105	они не	1	3
106	и есть	4	2
107	в котором	4	2
108	его не	2	2
109	их и	1	2
110	есть не	1	2
111	но она	1	2
112	я не	1	2
113	со словами	1	2
114	в чем	3	2
115	с его	3	2
116	но как	1	2
117	и закономерности	1	2
118	ивана карамазова	2	2
119	в едином	1	2
120	в истории	8	2
121	к чему	3	2
122	что это	1	2
123	а к	2	2
124	не имеют	1	2
125	на этом	1	2
126	человека в	1	2
127	ценности и	2	2
128	лишь в	3	2
129	не могли	2	2
130	и вообще	1	2
131	раз и	1	2
132	она не	1	2
133	в познании	1	2
134	одна из	2	2
135	и именно	1	2
136	того чтобы	2	2
137	во всем	1	2
138	у нас	1	2
139	освобождается от	1	2
140	не могут	2	2
141	что оно	1	2
142	слова с	1	2
143	для того	1	2
144	что все	4	2
145	в себя	2	2
146	и которые	1	2
147	и что	3	2
148	от них	1	2
149	и во	2	2
150	к личности	4	2
151	человека как	2	2
152	и мир	1	2
153	того что	5	2
154	в двух	1	2
155	что он	4	2
156	и ее	1	2
157	в виде	1	2
158	должно иметь	1	2
159	что и	3	2
160	вовсе не	1	2
161	тем что	2	2
162	миру и	1	2
163	души и	1	2
164	не было	3	2
165	как это	1	2
166	в этих	3	2
167	и другие	1	2
168	в своих	1	2
169	и эта	1	2
170	к этому	1	2
171	бы все	1	1
172	а между	2	1
173	человека и	6	1
174	от своей	2	1
175	нем нет	2	1
176	нем но	1	1
177	в нашу	1	1
178	его связь	1	1
179	ницше и	1	1
180	и за	2	1
181	и могут	1	1
182	за них	1	1
183	что уже	1	1
184	вопрос о	1	1
185	который был	1	1
186	на себя	5	1
187	бы ни	1	1
188	свой предмет	1	1
189	отказ от	1	1
190	мы же	3	1
191	мир лишь	1	1
192	в новом	1	1
193	себе и	1	1
194	нам право	1	1
195	которые не	2	1
196	это самое	1	1
197	пути в	1	1
198	есть что-то	1	1
199	им в	1	1
200	тот который	1	1
201	могли бы	1	1
202	в противоположность	1	1
203	бы и	3	1
204	и я	4	1
205	в этой	1	1
206	не нужны	1	1
207	и если	1	1
208	т д	2	1
209	стало возможным	2	1
210	они в	3	1
211	в понимании	1	1
212	и вот	1	1
213	теперь еще	1	1
214	значение в	1	1
215	себя не	1	1
216	художественный образ	1	1
217	мы указывали	1	1
218	и мы	3	1
219	истории и	2	1
220	для них	2	1
221	она и	1	1
222	все равно	2	1
223	с тем	2	1
224	и уже	1	1
225	но я	1	1
226	места в	1	1
227	по сравнению	1	1
228	в которых	1	1
229	государстве и	1	1
230	тому что	3	1
231	что есть	5	1
232	какие бы	1	1
233	можно ли	1	1
234	как можно	1	1
235	что их	2	1
236	и два	1	1
237	бытия и	1	1
238	нам и	1	1
239	найти в	1	1
240	и всегда	1	1
241	под этим	2	1
242	мире и	1	1
243	в сознании	1	1
244	в процессе	1	1
245	до того	2	1
246	уже и	1	1
247	мы все	1	1
248	его с	1	1
249	себя только	1	1
250	из всего	1	1
251	спасение это	1	1
252	как не	3	1
253	свободно и	1	1
254	боге который	1	1
255	могут и	1	1
256	ни стало	1	1
257	если в	1	1
258	на том	2	1
259	способна понять	1	1
260	на нее	1	1
261	в одном	1	1
262	не были	1	1
263	это только	1	1
264	свободной и	2	1
265	это как	1	1
266	смысле и	1	1
267	но может	1	1
268	мы это	2	1
269	есть моя	1	1
270	для нас	2	1
271	содержанием то	1	1
272	в которую	1	1
273	ее от	1	1
274	всем в	1	1
275	это имеет	1	1
276	в глазах	1	1
277	лишь к	1	1
278	что бы	1	1
279	слова для	1	1
280	мы во	2	1
281	и быть	1	1
282	из сторон	1	1
283	и теперь	2	1
284	это ни	1	1
285	уже не	2	1
286	о свободной	1	1
287	есть уже	2	1
288	его во	3	1
289	каким образом	1	1
290	в праве	1	1
291	или даже	1	1
292	его и	2	1
293	чего бы	1	1
294	свою свободу	1	1
295	для него	2	1
296	и навсегда	1	1
297	не для	1	1
298	к ним	1	1
299	если оно	1	1
300	но что	1	1
301	не просто	1	1
302	нас как	1	1
303	ли он	1	1
304	свободе и	2	1
305	не создает	2	1
306	во что	1	1
307	основной вопрос	1	1
308	власти и	1	1
309	человеческой жизни	1	1
310	с которым	1	1
311	моей личности	1	1
312	о чем	1	1
313	в боге	5	1
314	что мы	4	1
315	слова которое	1	1
316	стороны в	1	1
317	вместе с	1	1
318	так же	1	1
319	сравнению с	1	1
320	образ и	1	1
321	в тот	1	1
322	не осуществляет	1	1
323	и менее	1	1
324	есть и	1	1
325	этого слова	1	1
326	дело во	1	1
