N	3gram	Tiupa_Disk_1	Istorich
1	с другой стороны	3	7
2	в этом случае	1	5
3	до сих пор	1	5
4	в том что	13	5
5	тем не менее	1	5
6	как мы видели	1	5
7	в данном случае	2	3
8	в связи с	1	3
9	том что в	2	2
10	состоит в том	2	2
11	по отношению к	9	2
12	что в них	1	2
13	с одной стороны	9	2
14	во всяком случае	1	2
15	о том что	5	2
16	но все же	1	2
17	как и в	1	2
18	к тому же	4	2
19	и более поздних	1	1
20	и в различных	1	1
21	то что и	1	1
22	мы имеем дело	2	1
23	подобно тому как	2	1
24	в том числе	2	1
25	в соответствии с	2	1
26	друг друга так	1	1
27	с точки зрения	1	1
28	но далеко не	1	1
29	что он ничего	1	1
30	сами по себе	2	1
31	только то что	1	1
32	из того что	1	1
33	в таком случае	1	1
34	вместе с тем	1	1
35	но в таком	1	1
36	не только в	2	1
37	заключается в том	1	1
38	имеем дело с	1	1
39	во-первых в том	1	1
40	и в том	1	1
41	то что происходило	1	1
42	что они хотят	1	1
43	в тех случаях	1	1
44	они и не	1	1
45	одной стороны он	1	1
46	в свою очередь	3	1
47	это и есть	1	1
48	и прежде всего	1	1
49	на самом деле	1	1
50	в сказке но	1	1
51	не может быть	3	1
52	с самого начала	1	1
53	и даже не	1	1
54	можно сказать что	2	1
55	также и в	1	1
56	на то что	1	1
57	тех случаях когда	1	1
58	в большинстве случаев	1	1
59	может быть в	1	1
60	мог быть и	1	1
61	на том что	1	1
