N	3gram	Medvedev_U_1	formyVre
1	то же время	3	9
2	в то же	3	6
3	и в то	1	5
4	до сих пор	2	3
5	в этом отношении	2	3
6	не может быть	4	3
7	равно как и	1	2
8	и не только	1	2
9	но по существу	1	2
10	и в частности	2	2
11	не только в	1	2
12	с одной стороны	1	2
13	в буквальном смысле	1	2
14	в точном смысле	1	2
15	в широком смысле	1	2
16	и прежде всего	1	2
17	в том что	2	2
18	для всех этих	1	1
19	и в различных	1	1
20	имеем в виду	1	1
21	в самом деле	2	1
22	что мы и	1	1
23	на первый план	1	1
24	в той же	1	1
25	не входит в	1	1
26	с тем что	1	1
27	не о чем	1	1
28	в значительной мере	1	1
29	в данном случае	1	1
30	но в то	1	1
31	не могут быть	2	1
32	в этом случае	1	1
33	мы имеем в	1	1
34	в частности с	1	1
35	но конечно не	1	1
36	друг с другом	1	1
