N	3gram	Medvedev_F_1	VrazhdaK
1	то же время	8	4
2	в то же	8	4
3	в связи с	2	3
4	с точки зрения	13	2
5	но в то	2	2
6	не может быть	5	2
7	в том что	1	2
8	это то что	1	1
9	между прочим и	1	1
10	же время и	1	1
11	в этом смысле	1	1
12	а с точки	1	1
13	до сих пор	6	1
14	и не может	2	1
15	в той же	1	1
16	в этом отношении	1	1
17	в литературе и	1	1
18	все же в	1	1
19	в литературной среде	1	1
20	может быть и	3	1
21	и в то	1	1
22	в это время	1	1
23	так же как	1	1
24	в высшей степени	1	1
25	и в этом	2	1
26	во всяком случае	4	1
27	с другой стороны	1	1
28	связи с этим	2	1
29	тем не менее	1	1
30	заключается в том	1	1
31	в свою очередь	6	1
32	не только не	2	1
33	не с точки	1	1
