N	2gram	Potebnia_M_1	DiskursI
1	не только	21	28
2	в том	26	23
3	а не	21	22
4	то есть	42	20
5	тогда как	2	19
6	том что	16	19
7	может быть	27	17
8	как и	9	16
9	и в	39	16
10	в этом	15	15
11	еще не	6	14
12	но и	20	14
13	при этом	6	13
14	по своей	1	11
15	но не	8	11
16	прежде всего	4	11
17	и не	18	11
18	как в	10	10
19	далеко не	1	10
20	с другой	7	10
21	по отношению	13	9
22	в нем	20	9
23	не может	22	9
24	с одной	3	9
25	одной стороны	3	9
26	отношению к	13	9
27	но в	9	8
28	о том	2	8
29	так и	13	8
30	не было	4	7
31	в себе	13	7
32	то же	6	7
33	не в	15	7
34	роль в	1	7
35	со стороны	8	7
36	в его	5	7
37	только в	25	7
38	в своем	3	6
39	и как	6	6
40	и на	1	5
41	во всех	5	5
42	в котором	1	5
43	в их	2	5
44	в данном	1	5
45	как бы	6	5
46	к тому	4	5
47	а в	5	5
48	то что	10	5
49	в своей	3	5
50	и о	2	4
51	в которых	1	4
52	с его	1	4
53	в истории	7	4
54	уже не	2	4
55	в целом	2	4
56	на его	1	4
57	не как	1	4
58	лишь в	1	4
59	в них	3	4
60	привело к	1	4
61	потому что	52	4
62	могут быть	9	4
63	для себя	3	4
64	внимание на	1	4
65	же время	4	4
66	между тем	5	4
67	во втором	5	4
68	что он	1	4
69	для него	4	4
70	что не	10	4
71	связи с	3	4
72	такого рода	1	4
73	не предполагает	1	4
74	что в	22	4
75	того же	3	3
76	и потому	5	3
77	в первом	5	3
78	в основании	3	3
79	имеет свою	1	3
80	в каждой	1	3
81	столь же	3	3
82	в одной	1	3
83	с этим	7	3
84	перед нами	1	3
85	в самом	3	3
86	вследствие этого	1	3
87	зрения на	1	3
88	заключается в	3	3
89	это не	7	3
90	ведет к	1	3
91	и того	2	3
92	точки зрения	8	3
93	в своих	4	3
94	однако в	4	3
95	бы быть	4	3
96	по себе	10	3
97	в то	4	3
98	принадлежат к	1	3
99	таким образом	13	3
100	должны быть	7	3
101	как не	1	3
102	свою очередь	4	3
103	но при	3	3
104	в ее	1	3
105	в произведении	1	3
106	времени и	2	3
107	не с	1	3
108	еще в	1	3
109	и даже	4	3
110	имея в	1	3
111	что и	6	3
112	хотя бы	2	3
113	из них	1	3
114	к ним	2	3
115	тем что	9	3
116	именно в	1	3
117	имеет место	2	3
118	себе не	1	3
119	понятие о	1	3
120	тому как	4	3
121	того что	8	3
122	один из	1	3
123	все же	6	3
124	в свою	4	3
125	сказать что	3	3
126	другой стороны	5	3
127	в действительности	4	3
128	отношения к	1	2
129	одним из	2	2
130	например в	1	2
131	языка с	6	2
132	и есть	2	2
133	едва ли	1	2
134	мы имеем	1	2
135	в сущности	2	2
136	совпадает с	1	2
137	на себя	1	2
138	ему в	1	2
139	в виду	2	2
140	влияния на	1	2
