N	3gram	Medvedev_U_1	Analitik
1	не может быть	4	16
2	в том что	2	9
3	в то же	3	8
4	то же время	3	6
5	большей или меньшей	1	4
6	в конечном счете	4	4
7	бы то ни	3	3
8	то ни было	3	3
9	с одной стороны	1	3
10	не в том	1	3
11	быть не может	1	3
12	в самом деле	2	2
13	то же самое	2	2
14	в этом отношении	2	2
15	в данном случае	1	2
16	но в то	1	2
17	не могут быть	2	2
18	с другой стороны	3	2
19	в широком смысле	1	2
20	тех или иных	2	2
21	но прежде всего	1	1
22	в художественном творчестве	2	1
23	более или менее	1	1
24	по меньшей мере	1	1
25	равно как и	1	1
26	имеем в виду	1	1
27	он может быть	1	1
28	до сих пор	2	1
29	сам по себе	1	1
30	о нем но	1	1
31	в противном случае	2	1
32	эстетического объекта и	1	1
33	по крайней мере	2	1
34	и в частности	2	1
35	истории литературы как	1	1
36	и т.д в	1	1
37	не только в	1	1
38	в художественном произведении	2	1
39	на первый взгляд	1	1
40	в большей или	1	1
41	или меньшей степени	1	1
42	все же не	1	1
43	как нам представляется	1	1
44	в той же	1	1
45	между тем в	1	1
46	мы имеем в	1	1
47	в этом смысле	2	1
48	конечном счете только	1	1
49	друг с другом	1	1
