N	2gram	Savitsky_E_1	VelikijI
1	и не	14	20
2	и в	37	16
3	так как	7	9
4	то что	6	9
5	в истории	2	8
6	на земле	1	7
7	а не	2	7
8	и потому	5	7
9	не есть	2	6
10	на себя	3	5
11	но и	14	5
12	того что	7	5
13	хотя и	2	5
14	в мире	2	5
15	как бы	6	5
16	говорить о	1	4
17	в его	2	4
18	мы хотим	1	4
19	в этом	12	4
20	потому что	3	4
21	в нем	1	4
22	так и	10	4
23	что все	2	4
24	что не	1	4
25	как и	7	4
26	что мы	1	4
27	в котором	2	4
28	в ней	4	4
29	в силах	1	4
30	и все	2	4
31	все что	1	4
32	от этого	5	3
33	этого мира	1	3
34	и что	2	3
35	должна быть	2	3
36	хотя бы	15	3
37	то это	1	3
38	как не	2	3
39	лишь в	1	3
40	с его	1	3
41	во всех	6	3
42	мы же	1	3
43	что и	3	3
44	и будет	1	3
45	в том	11	3
46	тот же	1	3
47	но в	14	3
48	бы и	3	3
49	по этому	1	3
50	все эти	1	3
51	в своей	8	3
52	и мы	3	3
53	в жизни	1	3
54	в них	3	3
55	не было	1	3
56	должно быть	1	3
57	если не	1	3
58	в этих	2	3
59	нет ничего	1	3
60	что во	1	3
61	не в	5	3
62	тому что	1	3
63	но это	1	3
64	не имеет	4	3
65	никогда не	3	3
66	и для	3	3
67	к тому	8	3
68	жизни и	2	3
69	что в	21	3
70	людей в	1	3
71	оно не	1	3
72	и это	1	2
73	того чтобы	6	2
74	и то	2	2
75	от своей	1	2
76	это мы	1	2
77	и сам	1	2
78	и т	1	2
79	можно было	3	2
80	мы не	4	2
81	когда в	1	2
82	в последнем	1	2
83	с ним	1	2
84	будет уже	1	2
85	вместо того	1	2
86	ее и	1	2
87	и во	2	2
88	между тем	8	2
89	вслед за	6	2
90	которые не	1	2
91	мы во	1	2
92	его к	1	2
93	только в	9	2
94	конечно не	1	2
95	уже не	1	2
96	не только	18	2
97	стало возможным	1	2
98	для него	1	2
99	не к	2	2
100	в существе	2	2
101	в прошлом	3	2
102	тем что	3	2
103	не будет	3	2
104	ценности и	1	2
105	т д	1	2
106	истории и	1	2
107	прежде всего	9	2
108	для них	2	2
109	с тем	3	2
110	один из	1	2
111	мира в	4	2
112	более чем	2	2
113	не могут	2	2
114	является в	1	2
115	человечество не	1	2
116	одна из	1	2
117	том что	6	2
118	а к	1	2
119	для нас	4	2
120	и теперь	2	2
121	ее в	3	2
122	а в	2	2
123	но не	5	2
124	человечества на	1	2
125	могут быть	2	2
126	всего в	2	2
127	во всяком	3	2
128	всегда в	1	1
129	света в	1	1
130	эта идея	1	1
131	речь идет	1	1
132	как мы	5	1
