N	2gram	Tiupa_Narr_1	Poddanst
1	не только	32	17
2	и в	19	14
3	и не	20	12
4	в области	2	11
5	в этом	17	10
6	в качестве	21	9
7	но в	6	9
8	то же	4	9
9	в том	18	9
10	в пределах	2	8
11	хотя бы	4	8
12	только в	4	7
13	в обстановке	1	7
14	в то	3	7
15	же время	4	7
16	в ней	3	6
17	было бы	4	6
18	но и	23	6
19	быть может	2	6
20	в смысле	1	6
21	в которых	1	5
22	с другой	8	5
23	может быть	25	5
24	и пр	1	5
25	не в	14	5
26	если бы	1	4
27	тех кто	1	4
28	а также	7	4
29	в своем	2	4
30	и к	1	4
31	как бы	4	4
32	но также	1	4
33	том что	14	4
34	не может	10	4
35	и потому	2	4
36	в котором	1	4
37	по себе	5	4
38	в русской	1	4
39	что в	3	4
40	же в	4	4
41	а в	11	4
42	то что	11	4
43	мы не	1	3
44	сводится к	3	3
45	столь же	3	3
46	между тем	3	3
47	это не	2	3
48	вслед за	4	3
49	хотя и	3	3
50	и как	5	3
51	тот же	1	3
52	с ними	1	3
53	с одной	7	3
54	в себе	8	3
55	в нем	4	3
56	ей в	1	3
57	сами по	2	3
58	в россии	1	3
59	прежде всего	4	3
60	одной стороны	7	3
61	что мы	2	3
62	с точки	2	3
63	но не	5	3
64	наряду с	2	3
65	могут быть	3	3
66	тем самым	6	3
67	потому что	1	3
68	точки зрения	10	3
69	отношения к	2	2
70	например в	2	2
71	в ее	3	2
72	переход от	4	2
73	и есть	1	2
74	в мире	9	2
75	было в	2	2
76	есть не	1	2
77	начала и	1	2
78	осуществляется в	1	2
79	является в	1	2
80	в глубинах	1	2
81	есть нечто	1	2
82	которое в	1	2
83	время в	2	2
84	в значительной	2	2
85	во всех	1	2
86	говорить о	2	2
87	если в	3	2
88	в общем	1	2
89	во всей	2	2
90	со стороны	9	2
91	отнюдь не	5	2
92	того что	1	2
93	есть в	2	2
94	но о	3	2
95	в начале	1	2
96	в его	9	2
97	из них	3	2
98	где бы	1	2
99	в силу	4	2
100	как раз	2	2
101	по-видимому не	1	2
102	в последние	2	2
103	именно как	1	2
104	и с	4	2
105	точек зрения	2	2
106	именно в	6	2
107	мира с	1	2
108	и тем	4	2
109	в них	1	2
110	церкви и	1	2
111	не было	2	2
112	а не	12	2
113	образом на	1	2
114	не столько	4	2
115	культуры в	1	2
116	ней не	1	2
117	не менее	3	2
118	не о	3	2
119	одна из	3	2
120	мысль о	1	2
121	да и	4	2
122	тем более	2	2
123	для нас	1	2
124	может и	1	2
125	в частности	14	2
126	взгляда на	1	2
127	том числе	6	2
128	поскольку не	1	1
129	также и	1	1
130	же как	3	1
131	с другом	1	1
132	и через	1	1
133	происходит и	2	1
134	и то	1	1
135	как известно	2	1
136	чем было	1	1
137	в себя	6	1
138	к жизни	1	1
139	на две	1	1
140	должна быть	2	1
141	те же	4	1
142	не с	3	1
143	особенно в	3	1
144	идти в	1	1
145	в собственном	2	1
146	оно есть	1	1
147	на себя	3	1
148	с ее	3	1
149	и ее	2	1
150	в некотором	1	1
151	мы и	1	1
152	и здесь	1	1
153	церкви в	1	1
154	последней в	1	1
155	может не	3	1
156	историю в	1	1
157	внутреннего зрения	4	1
158	еще не	7	1
159	и на	3	1
160	вечности и	1	1
161	и который	1	1
162	в различных	1	1
163	с его	6	1
164	бы она	1	1
165	восходит к	3	1
166	и главное	1	1
167	от наиболее	1	1
168	грань между	1	1
169	не все	5	1
170	что и	1	1
171	отличие от	5	1
172	них в	1	1
173	факты в	1	1
174	которой в	1	1
175	в рамках	12	1
176	как условие	1	1
177	человеческого бытия	1	1
178	на будущее	3	1
179	в современной	1	1
180	известном смысле	2	1
181	мира который	1	1
182	все же	7	1
183	и где	1	1
184	в отрыве	1	1
185	политического и	1	1
186	более или	2	1
187	в какой	2	1
188	может оказаться	2	1
189	поскольку мы	1	1
190	в самом	1	1
191	только то	1	1
192	но как	2	1
193	во времени	8	1
194	что это	3	1
195	формы в	1	1
196	могли бы	1	1
197	представляет собой	13	1
198	из этих	3	1
199	тот или	1	1
200	человека с	1	1
201	себя в	5	1
202	в известном	2	1
203	сливаются в	1	1
204	мира но	1	1
205	уже в	3	1
206	но на	1	1
207	наш взгляд	1	1
208	личный опыт	1	1
209	в мир	1	1
210	не могла	1	1
211	мир в	1	1
212	одно из	2	1
213	не как	2	1
214	и должна	1	1
215	мы можем	1	1
216	и только	2	1
217	само по	1	1
218	какой бы	1	1
219	каждый из	2	1
220	при отсутствии	1	1
221	на наш	1	1
222	и по	1	1
223	следует понимать	1	1
224	представляют собой	2	1
225	из двух	3	1
226	реальность в	1	1
227	или иной	5	1
228	когда-то и	1	1
229	его в	2	1
230	сознания к	2	1
231	связаны с	1	1
232	и тех	1	1
233	живет в	1	1
234	и иных	1	1
235	и быть	1	1
236	было и	1	1
237	а с	3	1
238	что не	4	1
239	в это	1	1
240	или хотя	1	1
241	обратиться к	1	1
242	с богом	1	1
243	собой его	1	1
244	выступает в	2	1
245	из нее	1	1
246	не одной	1	1
247	кто не	1	1
248	где он	1	1
249	церковь и	1	1
250	далеко не	5	1
251	в этой	5	1
252	как и	7	1
253	и уже	1	1
254	с которым	1	1
255	как ни	2	1
256	в развитии	1	1
257	не об	1	1
258	рамках этого	1	1
259	когда в	1	1
260	или менее	2	1
261	отрыве от	1	1
262	что если	1	1
263	в ходе	1	1
264	от первой	1	1
265	и при	1	1
266	бытия как	1	1
267	это ощущение	1	1
268	так же	2	1
269	от церкви	1	1
270	все основные	1	1
271	к предмету	1	1
272	что именно	2	1
273	место в	1	1
274	в отличие	5	1
275	мысли и	1	1
276	в данном	5	1
277	в церковь	1	1
278	к иным	1	1
279	он живет	1	1
280	теми же	1	1
281	что было	1	1
282	как к	2	1
283	и более	1	1
284	в прошлом	3	1
285	друг с	1	1
286	распадается на	1	1
287	может идти	1	1
288	времени эта	1	1
289	в историческом	1	1
290	от тех	1	1
291	в напряжении	1	1
292	она не	2	1
293	исторического бытия	1	1
294	есть прежде	1	1
295	религиозные и	1	1
296	этом смысле	1	1
297	случаях когда	1	1
298	она может	2	1
299	не имеет	2	1
300	никогда не	3	1
301	и конца	1	1
302	в результате	2	1
303	о котором	1	1
304	этих двух	1	1
305	по стилю	1	1
306	история не	1	1
307	более что	1	1
308	что по	2	1
309	другой стороны	4	1
310	если будет	1	1
311	составляющих ее	2	1
312	выборе и	1	1
313	на фоне	1	1
314	над ним	1	1
315	нет ничего	1	1
316	отношением к	1	1
317	мыслилась как	1	1
318	происходящего в	2	1
319	в иной	2	1
320	что все	1	1
321	этом не	1	1
322	числе и	4	1
323	что оно	1	1
324	ни на	1	1
325	не есть	3	1
326	все еще	1	1
327	который не	1	1
328	они не	2	1
