N	3gram	Potebnia_M_2	Russkaja
1	то же время	2	10
2	в то же	2	10
3	в том что	7	7
4	на самом деле	2	6
5	во всяком случае	7	6
6	для того чтобы	2	6
7	а между тем	4	5
8	до сих пор	4	5
9	более или менее	8	4
10	на то что	3	4
11	бы то ни	1	4
12	в том случае	1	4
13	не может быть	2	4
14	в этом случае	1	3
15	том случае если	1	3
16	вместе с тем	1	3
17	и не может	1	3
18	в зависимость от	1	2
19	только в том	1	2
20	чтобы понять что	1	2
21	о том что	1	2
22	и тем самым	1	2
23	друг от друга	1	2
24	в большинстве случаев	1	2
25	сама по себе	2	2
26	и того же	6	1
27	в том виде	1	1
28	есть та форма	1	1
29	и в жизни	2	1
30	и другое возможно	1	1
31	состоит в том	1	1
32	прежде всего на	1	1
33	то есть не	3	1
34	дело в том	1	1
35	в свою очередь	6	1
36	но даже и	1	1
37	и то и	1	1
38	и в других	1	1
39	что не только	1	1
40	заключает в себе	4	1
41	как и при	1	1
42	но вряд ли	1	1
43	сих пор был	1	1
44	не может но	1	1
45	по крайней мере	5	1
46	то и другое	4	1
47	только для того	1	1
48	только стремление к	1	1
49	в применении к	1	1
50	в том чтобы	1	1
51	и при отсутствии	1	1
52	что и то	1	1
53	то ни было	1	1
54	в некоторых из	1	1
55	смысле этого слова	3	1
56	только один из	1	1
57	и в этом	1	1
58	во всех этих	1	1
59	и как бы	1	1
60	в связи с	1	1
61	внутренней и внешней	1	1
62	друг к другу	1	1
63	что касается до	1	1
64	о которых мы	1	1
65	потому что и	1	1
66	она могла бы	1	1
67	а в том	1	1
68	а в нем	1	1
69	мы прежде всего	1	1
70	от того что	4	1
71	даже и в	1	1
72	для всех или	1	1
73	может быть достигнуто	1	1
74	так как это	1	1
75	с самого начала	2	1
76	как бы ни	3	1
77	вопрос о том	1	1
78	но все же	1	1
79	в нем самом	1	1
80	если мы в	1	1
81	одного и того	6	1
82	мы не знаем	1	1
83	тем не менее	5	1
84	во многих случаях	1	1
85	бы для него	1	1
86	не только от	1	1
