N	2gram	Vinokur_Ku_1	ViktorSh
1	и в	24	2
2	том что	21	2
3	в том	30	2
4	в конце	1	2
5	и только	1	1
6	крайней мере	5	1
7	тем более	2	1
8	в устах	1	1
9	оно с	1	1
10	все дело	1	1
11	и стоит	1	1
12	под влиянием	3	1
13	хотя бы	10	1
14	и не	12	1
15	все время	1	1
16	и его	5	1
17	потому что	23	1
18	не даром	1	1
19	я не	2	1
20	даже не	1	1
21	сводится к	3	1
22	один пример	2	1
23	и изменяется	1	1
24	и то	3	1
25	же с	1	1
26	хочу сказать	2	1
27	себе лишь	1	1
28	самом деле	9	1
29	языка если	2	1
30	все это	6	1
31	совершенно ясно	1	1
32	именно в	6	1
33	главным образом	1	1
34	этом и	1	1
35	по своим	2	1
36	в теории	1	1
37	в их	3	1
38	как же	1	1
39	собственно и	1	1
40	их как	1	1
41	дело в	1	1
42	с большой	1	1
43	в частности	4	1
44	речи и	5	1
45	одно и	1	1
46	стоит на	1	1
47	все то	1	1
48	история языка	7	1
49	столь же	1	1
50	время в	1	1
51	говоря о	1	1
52	в которых	6	1
53	с головой	1	1
54	в самом	10	1
55	для них	2	1
56	только в	11	1
57	то же	8	1
58	ясно что	3	1
59	так как	9	1
60	далеко не	1	1
61	что слово	3	1
62	бы уже	2	1
63	чем к	1	1
64	то немногое	1	1
65	другое дело	2	1
66	но это	1	1
67	что язык	7	1
68	в этом	14	1
69	да и	1	1
70	имеется в	1	1
71	по крайней	5	1
72	а только	8	1
73	по существу	4	1
74	к этому	1	1
75	гораздо более	3	1
76	том же	2	1
77	связанным с	1	1
