N	2gram	Nazirov_Tv_1	EvropaiE
1	и в	21	37
2	в отношении	1	32
3	что в	12	21
4	не только	7	18
5	в то	15	16
6	то же	13	15
7	хотя бы	5	15
8	отношении к	1	15
9	в своем	4	14
10	но в	7	14
11	же время	12	14
12	в качестве	2	14
13	но и	3	14
14	и не	7	14
15	в этом	6	12
16	в их	3	11
17	в области	1	11
18	в том	7	11
19	так и	2	10
20	отнюдь не	5	9
21	в себе	2	9
22	западной европы	1	9
23	только в	5	9
24	прежде всего	4	9
25	все более	2	9
26	не может	4	9
27	так же	3	9
28	т е	1	9
29	в смысле	1	9
30	в ее	1	8
31	было бы	1	8
32	в своей	4	8
33	к тому	2	8
34	между тем	1	8
35	с одной	1	8
36	одной стороны	1	8
37	также и	1	7
38	нам кажется	1	7
39	того что	3	7
40	так как	3	7
41	с другой	3	7
42	как и	12	7
43	по своему	1	7
44	между прочим	1	7
45	может быть	5	6
46	и на	7	6
47	во всех	1	6
48	то есть	12	6
49	том что	11	6
50	вслед за	2	6
51	вовсе не	5	6
52	и даже	3	6
53	как бы	17	6
54	с этой	1	6
55	то что	8	6
56	же как	1	5
57	столь же	1	5
58	но не	3	5
59	не в	2	5
60	в россии	3	5
61	и по	3	5
62	но если	3	5
63	тем самым	7	5
64	одной из	4	5
65	в виде	3	5
66	в частности	2	5
67	то в	2	4
68	в полной	1	4
69	но даже	1	4
70	в ней	2	4
71	в самом	3	4
72	то ни	1	4
73	чем в	1	4
74	даже в	3	4
75	не имеет	1	4
76	и притом	2	4
77	в процессе	1	4
78	иными словами	2	4
79	к ней	2	4
80	в направлении	2	4
81	бы то	1	4
82	по себе	1	4
83	можно сказать	2	4
84	тем более	1	4
85	именно в	2	4
86	ни было	1	4
87	не на	1	4
88	мира в	2	4
89	как это	1	4
90	сказать что	2	4
91	в сфере	1	3
92	из всех	4	3
93	бы и	1	3
94	на себя	1	3
95	и со	1	3
96	того же	2	3
97	время в	3	3
98	как в	8	3
99	когда он	2	3
100	и к	1	3
101	себе не	2	3
102	или иную	1	3
103	всего лишь	1	3
104	представляет собой	3	3
105	в известном	1	3
106	но на	1	3
107	не будет	2	3
108	и тем	2	3
109	в них	1	3
110	с тем	1	3
111	можно считать	1	3
112	и некоторые	1	3
113	во второй	2	3
114	европейской культуры	1	3
115	дело в	3	3
116	никогда не	3	3
117	потому что	5	3
118	заключает в	1	3
119	ли это	1	3
120	по нашему	5	3
121	во все	1	3
122	о том	6	3
123	как было	1	3
124	от них	1	3
125	место в	3	3
126	что и	2	3
127	отметить что	1	3
128	существования в	1	3
129	известном смысле	1	3
130	из них	2	3
131	ту или	1	3
132	к ним	1	3
133	тем что	1	3
134	в свою	7	3
135	говорит о	3	3
136	ни на	3	3
137	в данном	2	3
138	и от	4	3
139	жизни в	6	3
140	ее в	3	3
141	в таком	1	3
142	сплошь и	1	2
143	по преимуществу	2	2
144	и этот	1	2
145	есть не	2	2
146	что если	1	2
147	не нужно	2	2
148	между собой	1	2
149	он сам	6	2
150	совершенно прав	1	2
151	в истории	1	2
152	с этим	1	2
153	хотя и	3	2
154	целый ряд	1	2
155	и как	4	2
156	что это	1	2
157	в этой	5	2
158	выход на	1	2
159	и если	1	2
160	он не	8	2
161	отношений между	2	2
162	таким образом	5	2
163	это значит	1	2
164	в мире	4	2
165	и с	3	2
166	заключается в	1	2
167	все другие	1	2
168	и рядом	1	2
169	для них	1	2
170	океана и	1	2
171	далеко не	3	2
172	в своих	5	2
173	одна и	1	2
174	в не	1	2
175	духовной жизни	1	2
176	такой же	2	2
177	и того	2	2
178	в этих	2	2
179	в котором	6	2
180	представление о	3	2
181	не к	1	2
182	и более	1	2
183	она не	1	2
184	и имеет	1	2
185	как будто	5	2
186	что на	1	2
187	не могут	1	2
188	могут быть	2	2
189	имеет место	1	2
190	но по	1	2
191	свою очередь	1	2
192	данном случае	2	2
193	решения проблемы	1	2
194	культуры и	1	2
195	во многом	7	2
196	на месте	1	2
197	и та	2	2
198	и что	1	2
199	кажется что	1	2
200	к нему	1	2
201	в его	13	2
202	во всей	2	2
203	новый принцип	1	2
204	мы должны	1	2
205	в сферу	1	2
206	но с	1	2
207	этот вопрос	1	2
208	в какой	1	2
209	если в	2	2
210	при помощи	2	2
211	и других	3	2
212	в одном	1	2
213	заметить что	1	2
214	в других	1	2
215	влияние на	2	2
216	каких бы	2	2
217	более к	1	2
218	на этот	1	2
219	нашему мнению	5	2
220	а не	5	2
221	не означает	2	2
222	и тут	1	2
223	что все	3	2
224	следовало бы	2	2
225	начиная с	1	2
226	вместе с	2	2
227	и xix	1	2
228	не дают	1	2
229	наряду с	1	2
230	что же	1	2
231	ко всему	1	2
232	с большой	4	2
233	или в	2	2
234	и все	6	2
235	еще более	2	2
236	и наконец	2	2
237	же в	1	2
238	а в	6	2
239	не есть	1	2
240	другой стороны	1	2
241	приводит нас	1	2
242	жизни и	3	2
243	себя как	2	1
244	как известно	1	1
245	которая приводит	1	1
246	ту же	3	1
247	и т	3	1
248	в русских	1	1
249	связана с	1	1
250	отметим что	1	1
251	некоторые из	2	1
252	и это	1	1
253	но тем	1	1
254	от своей	1	1
255	и до	1	1
256	исходит из	1	1
257	той же	3	1
258	на тех	1	1
259	он считает	1	1
260	по-разному в	1	1
261	чтобы не	1	1
262	время как	1	1
263	говорить о	1	1
264	на практике	1	1
265	нет ли	1	1
266	то это	1	1
267	не сразу	1	1
268	не способен	1	1
269	до состояния	1	1
