N	3gram	Propp_Russ_1	Marksizm
1	с точки зрения	3	13
2	по отношению к	1	8
3	в связи с	4	7
4	в том что	15	6
5	в большинстве случаев	2	5
6	может быть и	2	5
7	в свою очередь	2	5
8	в русском языке	1	4
9	и того же	1	4
10	на самом деле	1	4
11	одного и того	1	4
12	и пр и	1	4
13	о том что	4	3
14	в таком случае	1	3
15	к тому что	4	3
16	в отличие от	1	3
17	как мы уже	1	3
18	на самом же	1	3
19	как мы видели	1	3
20	самом же деле	1	3
21	привела к тому	1	2
22	в противном случае	1	2
23	или может быть	1	2
24	мы уже знаем	1	2
25	а иногда и	3	2
26	на то что	1	2
27	в собственном смысле	1	2
28	во всяком случае	1	2
29	далеко не так	1	1
30	что именно эти	1	1
31	такое уподобление является	1	1
32	а в связи	1	1
33	приводит к тому	1	1
34	друг с другом	1	1
35	а следовательно и	1	1
36	и связанные с	2	1
37	не только в	1	1
38	не только по	2	1
39	как и в	1	1
40	этого слова в	1	1
41	и в том	1	1
42	можно сказать что	1	1
43	тому что в	1	1
44	это не совсем	1	1
45	у него нет	1	1
46	но тем не	2	1
47	но все же	2	1
48	точки зрения в	1	1
49	ни одна из	1	1
50	в этом случае	5	1
51	с тем что	1	1
52	только по отношению	1	1
53	и в других	4	1
54	слово для обозначения	1	1
55	из всего этого	1	1
56	как мы знаем	1	1
57	прямо и непосредственно	1	1
58	не что иное	2	1
59	от него он	1	1
60	в равной степени	2	1
61	приводит его к	1	1
62	так и из	1	1
63	в этом отношении	1	1
64	связанные с этим	1	1
65	же деле это	1	1
66	независимо от того	1	1
67	самом деле как	1	1
68	что иное как	2	1
69	не совсем так	1	1
70	быть не может	1	1
71	том что это	1	1
72	они состоят из	1	1
73	как мы увидим	5	1
74	в этот поток	1	1
75	во всех этих	1	1
76	тем не менее	3	1
77	которые приводят к	1	1
