N	2gram	Tiupa_Teor_1	KFilosof
1	может быть	17	43
2	в его	6	39
3	в нем	4	31
4	не может	4	27
5	в бытии	1	26
6	и не	13	26
7	по отношению	4	25
8	и в	18	22
9	в себе	9	21
10	отношению к	4	21
11	для меня	2	20
12	в ее	5	17
13	и его	8	17
14	а не	9	17
15	только в	6	16
16	точки зрения	9	13
17	в этом	8	13
18	для него	2	12
19	ни в	2	12
20	и это	2	12
21	но не	9	12
22	все эти	2	11
23	к нему	1	11
24	не в	7	11
25	в своей	6	11
26	во всех	1	10
27	это не	2	10
28	с точки	3	10
29	в своем	4	10
30	от себя	3	10
31	все это	2	10
32	и для	2	9
33	но и	9	9
34	в целом	3	9
35	в их	2	9
36	как бы	5	9
37	не было	1	8
38	со стороны	2	8
39	момент его	1	8
40	лишь в	6	8
41	если бы	3	8
42	было бы	1	8
43	вовсе не	3	7
44	и здесь	2	7
45	в себя	3	7
46	то что	3	7
47	в единстве	1	7
48	на основе	2	7
49	что и	2	7
50	должен быть	1	7
51	себя в	6	7
52	момент в	1	6
53	и их	1	6
54	и я	1	6
55	поступок в	1	6
56	отношение к	5	6
57	совершенно не	1	6
58	в том	16	6
59	и только	1	6
60	в мире	19	6
61	отнюдь не	3	6
62	уже не	4	6
63	он не	3	6
64	я не	2	6
65	мира в	1	6
66	ни одно	1	5
67	не знает	3	5
68	жизни в	2	5
69	как и	4	5
70	для себя	1	5
71	эстетического созерцания	3	5
72	никогда не	4	5
73	но как	1	5
74	должно быть	1	5
75	в контексте	3	5
76	мы имеем	7	5
77	в основе	3	5
78	именно в	3	5
79	то же	7	5
80	но в	9	5
81	от своей	1	5
82	его в	2	5
83	но эта	1	5
84	не только	16	5
85	от его	1	5
86	жизни как	4	5
87	бы быть	1	4
88	места в	1	4
89	входит в	1	4
90	место в	5	4
91	при этом	12	4
92	в каком	1	4
93	не по	1	4
94	тем самым	4	4
95	в одном	2	4
96	а в	13	4
97	что в	9	4
98	здесь мы	1	4
99	мира и	1	4
100	между тем	5	4
101	со мной	1	4
102	в чем	1	4
103	времени и	2	4
104	и т.д	3	4
105	ни было	1	4
106	к ним	1	4
107	во всей	1	4
108	в своих	1	4
109	эмоционально-волевым тоном	1	4
110	время и	1	4
111	ценностного центра	3	4
112	том что	9	4
113	с ними	1	4
114	еще не	4	3
115	в другом	3	3
116	этом смысле	2	3
117	могла бы	2	3
118	и тем	3	3
119	для которого	1	3
120	нет в	1	3
121	не должно	1	3
122	здесь не	1	3
123	в акте	2	3
124	не менее	4	3
125	из его	1	3
126	и жизни	1	3
127	рядом с	1	3
128	что это	1	3
129	в каждом	1	3
130	независимо от	1	3
131	ним и	1	3
132	на язык	1	3
133	того или	3	3
134	тем как	1	3
135	меня в	1	3
136	действительной жизни	1	3
137	нигде не	1	3
138	к чему	2	3
139	того что	4	3
140	в данный	2	3
141	в момент	2	3
142	с человеком	1	3
143	что не	1	3
144	в то	6	3
145	этого мира	1	3
146	для того	1	3
147	данный момент	2	3
148	тем что	1	3
149	по своему	2	3
150	в виду	5	3
151	во мне	2	3
152	могут быть	4	3
153	о том	1	3
154	и на	1	3
155	ближе к	1	3
156	когда я	1	3
157	быть и	2	3
158	или иного	3	3
159	котором он	1	3
160	с моей	1	3
161	своей значимости	1	3
162	и делает	1	3
163	в свою	3	3
164	единства в	1	2
165	или иное	1	2
166	ответственность за	1	2
167	отношении к	2	2
168	и того	3	2
169	же время	5	2
170	моего сознания	1	2
171	вопрос о	1	2
172	говорить о	3	2
173	отказаться от	1	2
174	бы то	1	2
175	его с	1	2
176	было и	1	2
177	прежде всего	2	2
178	не будет	2	2
179	так и	10	2
180	жизни является	1	2
181	вокруг него	1	2
182	в жизни	2	2
183	жить и	2	2
184	того чтобы	1	2
185	свою жизнь	2	2
186	по себе	1	2
187	вследствие этого	1	2
188	то ни	1	2
189	с тем	1	2
190	в это	1	2
191	или иным	3	2
192	в принципе	4	2
193	совсем не	1	2
194	сводится к	5	2
