1	в том что	5	9
2	и т д	18	8
3	не может быть	2	8
4	на то что	2	8
5	о том что	2	7
6	в зависимости от	1	5
7	подобно тому как	3	5
8	с одной стороны	3	5
9	с другой стороны	2	5
10	так же как	4	4
11	до сих пор	6	3
12	в отличие от	1	3
13	что у него	1	3
14	одной и той	1	3
15	точно так же	6	3
16	не в состоянии	1	3
17	и той же	1	3
18	надо сказать что	1	3
19	не только не	1	3
20	несмотря на то	1	2
21	как одна из	1	2
22	мы увидим что	3	2
23	по этому поводу	1	2
24	тем не менее	1	2
25	потому что он	2	2
26	мы не можем	1	2
27	смысле этого слова	1	2
28	мы видим что	5	2
29	на самом деле	2	2
30	по себе а	1	2
31	мы видели что	1	2
32	вместе с тем	5	2
33	то что он	1	1
34	т д все	1	1
35	казалось бы что	1	1
36	и для нас	1	1
37	же значение как	1	1
38	что иное как	2	1
39	с самого начала	2	1
40	и только после	2	1
41	но я не	1	1
42	как бы его	1	1
43	т д то	1	1
44	бросается в глаза	1	1
45	бы составить предмет	2	1
46	так же и	3	1
47	не что иное	2	1
48	в связи с	4	1
49	том что он	1	1
50	по существу то	1	1
51	но так как	1	1
52	в тех случаях	1	1
53	если мы не	1	1
54	в которой она	1	1
55	в себя и	1	1
56	не только в	4	1
57	но это только	1	1
58	это и есть	1	1
59	так как это	1	1
60	в связи со	1	1
61	мы обратимся к	1	1
62	к тому же	2	1
63	не то что	1	1
64	значение как и	1	1
65	мы видим в	1	1
66	а может быть	1	1
67	образом мы видим	1	1
68	вместо того чтобы	2	1
69	на вопрос о	1	1
70	то что она	1	1
71	совершенно ясно показывает	1	1
72	с этим и	1	1
73	же и в	1	1
74	отметить что этот	1	1
75	что мы имеем	1	1
76	такое же значение	1	1
77	объясняется то что	1	1
78	т д и	2	1
79	дело не в	2	1
80	таким образом мы	1	1
81	не только у	1	1
82	но вместе с	1	1
83	что при этом	1	1
84	что при помощи	1	1
85	и вместе с	2	1
86	как в результате	1	1
87	в это время	1	1
88	до конца и	1	1
89	так как в	2	1
90	можно найти в	1	1
91	на задний план	1	1
92	другой стороны в	1	1
93	и то же	1	1
94	вместить в себя	1	1
